HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
65,"LIVE HORSES, ASSES, MULES AND HINNIES - HORSES:",Nil,,01/07/2017,
266760,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES",Nil,,01/07/2017,
266768,`,Nil,,01/07/2017,
1011090.0,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER",Nil,,01/07/2017,
1019010.0,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO",Nil,,01/07/2017,
1019020.0,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK",Nil,,01/07/2017,
1019090.0,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - OTHER",Nil,,01/07/2017,
66,LIVE BOVINE ANIMALS - CATTLE:,Nil,,01/07/2017,
270856,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS : ADULT,Nil,,01/07/2017,
270864,"LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT",Nil,,01/07/2017,
270872,"LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES",Nil,,01/07/2017,
1021090.0,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER,Nil,,01/07/2017,
1029010.0,LIVE BOVINE ANIMALS - OTHER - BULLS - ADULT,Nil,,01/07/2017,
1029020.0,"LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES",Nil,,01/07/2017,
1029090.0,LIVE BOVINE ANIMALS - OTHER - OTHER,Nil,,01/07/2017,
67,LIVE SWINE,Nil,,01/07/2017,
274944,LIVE SWINE PURE-BRED BREEDING ANIMALS,Nil,,01/07/2017,
1039100.0,LIVE SWINE - OTHER - WEIGHING LESS THAN 50 KG.,Nil,,01/07/2017,
1039200.0,LIVE SWINE- OTHER WEIGHING 50KG. OR MORE,Nil,,01/07/2017,
68,LIVE SHEEP AND GOATS,Nil,,01/07/2017,
279048,LIVE SHEEP AND GOATS - SHEEP : SHEEP INCLUDING LAMB FOR BREEDING PURPOSE,Nil,,01/07/2017,
1041090.0,LIVE SHEEP A ND GOATS SHEEP OTHER,Nil,,01/07/2017,
279552,LIVE SHEEP AND GOATS GOATS,Nil,,01/07/2017,
69,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS - WEIGHING NOT MORE THAN 185 G:",Nil,,01/07/2017,
283200,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : FOWLSOFTHESPECIESGALLUSDOMESTICUS",Nil,,01/07/2017,
283264,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : TURKEYS",Nil,,01/07/2017,
1051900.0,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : OTHER",Nil,,01/07/2017,
1059200.0,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS WEIGHING NOT MORE THAN 2000G",Nil,,01/07/2017,
1059300.0,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUSDOMESTICUS WEIGHING MORE THAN 2000G,",Nil,,01/07/2017,
1059400.0,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS",Nil,,01/07/2017,
1059900.0,"SPECIES GALLUSDOMESTICUS, DUCKS, GEESE,TURKEYS AND GUINEA FOWLS - OTHER - OTHER",Nil,,01/07/2017,
70,OTHER LIVE ANIMALS - MAMMALS:,Nil,,01/07/2017,
287296,OTHER LIVE ANIMALS MAMMALS : PRIMATES,Nil,,01/07/2017,
287360,"OTHER LIVE ANIMALS MAMMALS WHALES,DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA); MANATEES AND DUGONGS(MAMMALS OF THE ORDER SIRENIA)",Nil,,01/07/2017,
1061900.0,OTHER LIVE ANIMALS MAMMALS OTHER,Nil,,01/07/2017,
287744,OTHER LIVE ANIMALS REPTILES (INCLUDING SNAKES AND TURTLES),Nil,,01/07/2017,
288320,OTHER LIVE ANIMALS BIRDS : BIRDS OF PREY,Nil,,01/07/2017,
288384,"OTHER LIVE ANIMALS BIRDS PSITTACIFORMES(INCLUDING PARROTS, PARAKEETS,MACAWS AND COCKATOOS)",Nil,,01/07/2017,
1063900.0,OTHER LIVE ANIMALS BIRDS OTHER,Nil,,01/07/2017,
1069010.0,"OTHERLIVE ANIMALS- OTHER - BEESANDOTHERINSECTS,NOTELSEWHEREINCLUDEDORSPECIFIED",Nil,,01/07/2017,
1069020.0,OTHER LIVE ANIMALS - OTHER - PURE LINE STOCK,Nil,,01/07/2017,
1069090.0,OTHER LIVE ANIMALS - OTHER - OTHER,Nil,,01/07/2017,
