HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
1001,WHEAT AND MESLIN - DURUM WHEAT :,5%,,01/07/2017,
1001,WHEAT AND MESLIN - DURUM WHEAT :,0%,,01/07/2017,
100110,DURUM WHEAT,5%,,01/07/2017,
10011010,WHEAT AND MESLIN DURUM WHEAT : OF SEED QUALITY,5%,,01/07/2017,
10011090,WHEAT AND MESLIN DURUM WHEAT : OTHER,5%,,01/07/2017,
100111,DURUM WHEAT,5%,,01/07/2017,
10011100,SEED,5%,,01/07/2017,
100119,OTHER,5%,,01/07/2017,
10011900,OTHER,5%,,01/07/2017,
100190,OTHER,5%,,01/07/2017,
10019010,WHEAT AND MESLIN OTHER : WHEAT OF SEED QUALITY,5%,,01/07/2017,
10019020,WHEAT AND MESLIN OTHER : OTHER WHEAT,5%,,01/07/2017,
10019031,WHEAT AND MESLIN OTHER : MESLIN : OF SEED QUALITY,5%,,01/07/2017,
10019039,WHEAT AND MESLIN OTHER : MESLIN : OTHER,5%,,01/07/2017,
100191,OTHER,5%,,01/07/2017,
10019100,SEED,5%,,01/07/2017,
100199,OTHER,5%,,01/07/2017,
10019910,WHEAT,5%,,01/07/2017,
10019920,MESLIN,5%,,01/07/2017,
1002,RYE,5%,,01/07/2017,
1002,RYE,0%,,01/07/2017,
100200,RYE,5%,,01/07/2017,
10020010,RYE RYE : OF SEED QUALITY,5%,,01/07/2017,
10020090,RYE RYE : OTHER,5%,,01/07/2017,
100210,RYE SEED,5%,,01/07/2017,
10021000,SEED,5%,,01/07/2017,
100290,OTHER,5%,,01/07/2017,
10029000,OTHER,5%,,01/07/2017,
1003,BARLEY,5%,,01/07/2017,
1003,BARLEY,0%,,01/07/2017,
100300,BARLEY,5%,,01/07/2017,
10030010,BARLEY BARLEY : OF SEED QUALITY,5%,,01/07/2017,
10030090,BARLEY BARLEY : OTHER,5%,,01/07/2017,
100310,SEED,5%,,01/07/2017,
10031000,SEED,5%,,01/07/2017,
100390,OTHER,5%,,01/07/2017,
10039000,OTHER,5%,,01/07/2017,
1004,OATS,5%,,01/07/2017,
