HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
1101,WHEAT OR MESLIN FLOUR,5%,,01/07/2017,
1101,WHEAT OR MESLIN FLOUR,0%,,01/07/2017,
11010000,WHEAT OR MESLIN FLOUR,5%,,01/07/2017,
1102,CEREAL FLOURS OTHER THAN THAT OF WHEAT OR MESLIN,5%,,01/07/2017,
1102,CEREAL FLOURS OTHER THAN THAT OF WHEAT OR MESLIN,0%,,01/07/2017,
11021000,CEREAL FLOURS OTHER THAN THAT OF WHEAT OR MESLIN RYE FLOUR,5%,,01/07/2017,
11022000,CEREAL FLOURS OTHER THAN THAT OF WHEAT OR MESLIN MAIZE (CORN) FLOUR,5%,,01/07/2017,
11023000,CEREAL FLOURS OTHER THAN THAT OF WHEAT OR MESLIN RICE FLOUR,5%,,01/07/2017,
110290,OTHER,5%,,01/07/2017,
11029000,CEREAL FLOURS OTHER THAN THAT OF WHEAT OR MESLIN OTHER,5%,,01/07/2017,
11029021,BROWN RICE FLOUR,5%,,01/07/2017,
11029022,WHITE RICE FLOUR,5%,,01/07/2017,
11029029,OTHER,5%,,01/07/2017,
11029090,OTHER,5%,,01/07/2017,
1103,"CEREAL GROATS, MEAL AND PELLETS - GROATS AND MEAL :",5%,,01/07/2017,
1103,"CEREAL GROATS, MEAL AND PELLETS - GROATS AND MEAL :",0%,,01/07/2017,
110311,OF WHEAT,5%,,01/07/2017,
11031110,"CEREAL GROATS, MEAL AND PELLETS GROATS AND MEAL : OF WHEAT : GROAT",5%,,01/07/2017,
11031120,"CEREAL GROATS, MEAL AND PELLETS GROATS AND MEAL : OF WHEAT : MEAL",5%,,01/07/2017,
11031300,"CEREAL GROATS, MEAL AND PELLETS GROATS AND MEAL : OF MAIZE (CORN)",5%,,01/07/2017,
11031900,"CEREAL GROATS, MEAL AND PELLETS GROATS AND MEAL : OF OTHER CEREALS",5%,,01/07/2017,
11032000,"CEREAL GROATS, MEAL AND PELLETS PELLETS",5%,,01/07/2017,
1104,"CEREAL GRAINS OTHERWISE WORKED (FOR EXAMPLE, HULLED, ROLLED, FLAKED, PEARLED, SLICED, OR KIBBLED), EXCEPT RICE OF HEADING 1006; GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND - ROLLED OR FLAKED GRAINS :",5%,,01/07/2017,
1104,"CEREAL GRAINS OTHERWISE WORKED (FOR EXAMPLE, HULLED, ROLLED, FLAKED, PEARLED, SLICED, OR KIBBLED), EXCEPT RICE OF HEADING 1006; GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND - ROLLED OR FLAKED GRAINS :",0%,,01/07/2017,
11041200,"CEREAL GRAINS OTHERWISE WORKED (FOR EXAMPLE, HULLED, ROLLED, FLAKED, PEARLED, SLICED, OR KIBBLED), EXCEPT RICE OF HEADING 1006; GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND ROLLED OR FLAKED GRAINS : OF OATS",5%,,01/07/2017,
11041900,"CEREAL GRAINS OTHERWISE WORKED (FOR EXAMPLE, HULLED, ROLLED, FLAKED, PEARLED, SLICED, OR KIBBLED), EXCEPT RICE OF HEADING 1006; GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND ROLLED OR FLAKED GRAINS : OF OTHER CEREALS",5%,,01/07/2017,
11042200,"CEREAL GRAINS OTHERWISE WORKED (FOR EXAMPLE, HULLED, ROLLED, FLAKED, PEARLED, SLICED, OR KIBBLED), EXCEPT RICE OF HEADING 1006; GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND OTHER WORKED GRAINS (FOR EXAMPLE, HULLED, PEARLED, SLICED OR KIBBLED) : OF OA",5%,,01/07/2017,
11042300,"CEREAL GRAINS OTHERWISE WORKED (FOR EXAMPLE, HULLED, ROLLED, FLAKED, PEARLED, SLICED, OR KIBBLED), EXCEPT RICE OF HEADING 1006; GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND OTHER WORKED GRAINS (FOR EXAMPLE, HULLED, PEARLED, SLICED OR KIBBLED) : OF MAI",5%,,01/07/2017,
11042900,"CEREAL GRAINS OTHERWISE WORKED (FOR EXAMPLE, HULLED, ROLLED, FLAKED, PEARLED, SLICED, OR KIBBLED), EXCEPT RICE OF HEADING 1006; GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND OTHER WORKED GRAINS (FOR EXAMPLE, HULLED, PEARLED, SLICED OR KIBBLED) : OF OTH",5%,,01/07/2017,
11043000,"CEREAL GRAINS OTHERWISE WORKED (FOR EXAMPLE, HULLED, ROLLED, FLAKED, PEARLED, SLICED, OR KIBBLED), EXCEPT RICE OF HEADING 1006; GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND",5%,,01/07/2017,
1105,"FLOUR, MEAL, POWDER, FLAKES, GRANULES AND PELLETS OF POTATOES",5%,,01/07/2017,
1105,"FLOUR, MEAL, POWDER, FLAKES, GRANULES AND PELLETS OF POTATOES",0%,,01/07/2017,
11051000,"FLOUR, MEAL, POWDER, FLAKES, GRANULES AND PELLETS OF POTATOES FLOUR, MEAL AND POWDER",5%,,01/07/2017,
11052000,"FLOUR, MEAL, POWDER, FLAKES, GRANULES AND PELLETS OF POTATOES FLAKES, GRANULES AND PELLETS",5%,,01/07/2017,
1106,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8",5%,,01/07/2017,
1106,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8",0%,,01/07/2017,
110610,OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713,5%,,01/07/2017,
11061000,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713",5%,,01/07/2017,
11061010,GUAR MEAL,0%,,15/11/2017                        1/07/2017,
11061090,OTHERS,5%,,01/07/2017,
110620,OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714,5%,,01/07/2017,
11062010,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 : OF SAGO",5%,,01/07/2017,
11062020,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 : OF MANIOC (CASSAVA)",5%,,01/07/2017,
11062090,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 : OF OTHER ROOTS AND TUBERS",5%,,01/07/2017,
110630,OF THE PRODUCTS OF CHAPTER 8,5%,,01/07/2017,
11063010,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF THE PRODUCTS OF CHAPTER 8 : OF TAMARIND",5%,,01/07/2017,
11063020,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF THE PRODUCTS OF CHAPTER 8 : OF SINGODA",5%,,01/07/2017,
11063030,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF THE PRODUCTS OF CHAPTER 8 : MANGO FLOUR",5%,,01/07/2017,
11063090,"FLOUR, MEAL AND POWDER OF THE DRIED LEGUMINOUS VEGETABLES OF HEADING 0713, OF SAGO OR OF ROOTS OR TUBERS OF HEADING 0714 OR OF THE PRODUCTS OF CHAPTER 8 OF THE PRODUCTS OF CHAPTER 8 : OTHER",5%,,01/07/2017,
1107,"MALT, WHETHER OR NOT ROASTED",18%,,01/07/2017,
11071000,"MALT, WHETHER OR NOT ROASTED NOT ROASTED",18%,,01/07/2017,
11072000,"MALT, WHETHER OR NOT ROASTED ROASTED",18%,,01/07/2017,
1108,STARCHES; INULIN - STARCHES :,12%,,01/07/2017,
11081100,STARCHES; INULIN STARCHES : WHEAT STARCH,12%,,01/07/2017,
11081200,STARCHES; INULIN STARCHES : MAIZE (CORN) STARCH,12%,,01/07/2017,
11081300,STARCHES; INULIN STARCHES : POTATO STARCH,12%,,01/07/2017,
11081400,STARCHES; INULIN STARCHES : MANIOC (CASSAVA) STARCH,12%,,01/07/2017,
110819,OTHER,12%,,01/07/2017,
11081910,STARCHES; INULIN STARCHES : OTHER : SAGO,12%,,01/07/2017,
11081990,STARCHES; INULIN STARCHES : OTHER : OTHER,12%,,01/07/2017,
11082000,STARCHES; INULIN INSULIN,12%,,01/07/2017,
1109,"WHEAT GLUTEN, WHETHER OR NOT DRIED",5%,,01/07/2017,
11090000,"WHEAT GLUTEN, WHETHER OR NOT DRIED",5%,,01/07/2017,
