HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
1201,"SOYA BEANS, WHETHER OR NOT BROKEN",5%,,01/07/2017,
120100,"SOYA BEANS, WHETHER OR NOT BROKEN",5%,,01/07/2017,
12010010,"SOYA BEANS, WHETHER OR NOT BROKEN SOYA BEANS, WHETHER OR NOT BROKEN : OF SEED QUALITY",5%,,01/07/2017,
12010090,"SOYA BEANS, WHETHER OR NOT BROKEN SOYA BEANS, WHETHER OR NOT BROKEN : OTHER",5%,,01/07/2017,
120110,SEED,5%,,01/07/2017,
12011000,SEED,5%,,01/07/2017,
120190,OTHER,5%,,01/07/2017,
12019000,OTHER,5%,,01/07/2017,
1202,"GROUND-NUTS, NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN",5%,,01/07/2017,
120210,IN SHELL,5%,,01/07/2017,
12021011,"GROUND?NUTS, NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN IN SHELL : H.P.S : OF SEED QUALITY",5%,,01/07/2017,
12021019,"GROUND?NUTS, NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN IN SHELL : H.P.S : OTHER",5%,,01/07/2017,
12021091,"GROUND?NUTS, NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN IN SHELL : OTHER : OF SEED QUALITY",5%,,01/07/2017,
12021099,"GROUND?NUTS, NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN IN SHELL : OTHER : OTHER",5%,,01/07/2017,
120220,"SHELLED, WHETHER OR NOT BROKEN",5%,,01/07/2017,
12022010,"GROUND?NUTS, NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN SHELLED, WHETHER OR NOT BROKEN : KERNELS, H.P.S.",5%,,01/07/2017,
12022090,"GROUND?NUTS, NOT ROASTED OR OTHERWISE COOKED, WHETHER OR NOT SHELLED OR BROKEN SHELLED, WHETHER OR NOT BROKEN : OTHER",5%,,01/07/2017,
120230,SEED,5%,,01/07/2017,
12023010,H.P.S.,5%,,01/07/2017,
12023090,OTHER,5%,,01/07/2017,
120241,IN SHELL,5%,,01/07/2017,
12024110,H.P.S.,5%,,01/07/2017,
12024190,OTHER,5%,,01/07/2017,
120242,"SHELLED, WHETHER OR NOT BROKEN",5%,,01/07/2017,
12024210,"KERNELS, H.P.S",5%,,01/07/2017,
12024220,"KERNELGS, OTHER",5%,,01/07/2017,
12024290,OTHER,5%,,01/07/2017,
1203,COPRA,5%,,01/07/2017,
12030000,COPRA,5%,,01/07/2017,
1204,"LINSEED, WHETHER OR NOT BROKEN",5%,,01/07/2017,
120400,"LINSEED, WHETHER OR NOT BROKEN",5%,,01/07/2017,
12040010,"LINSEED, WHETHER OR NOT BROKEN LINSEED, WHETHER OR NOT BROKEN : OF SEED QUALITY",5%,,01/07/2017,
12040090,"LINSEED, WHETHER OR NOT BROKEN LINSEED, WHETHER OR NOT BROKEN : OTHER",5%,,01/07/2017,
1205,"RAPE OR COLZA SEEDS, WHETHER OR NOT BROKEN",5%,,01/07/2017,
12051000,"RAPE OR COLZA SEEDS, WHETHER OR NOT BROKEN LOW ERUCIC ACID RAPE OR COLZA SEEDS",5%,,01/07/2017,
12059000,"RAPE OR COLZA SEEDS, WHETHER OR NOT BROKEN OTHER",5%,,01/07/2017,
