HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
1301,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS)",5%,,01/07/2017,
13011010,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS) LAC : SHELLAC",5%,,01/07/2017,
13011020,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS) LAC : SEED LAC",5%,,01/07/2017,
13011030,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS) LAC : STICK LAC",5%,,01/07/2017,
13011040,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS) LAC : DEWAXED AND DECOLOURISED LAC",5%,,01/07/2017,
13011050,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS) LAC : BLEACHED LAC",5%,,01/07/2017,
13011060,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS) LAC : GASKET LAC",5%,,01/07/2017,
13011070,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS) LAC : BUTTON LAC",5%,,01/07/2017,
13011080,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS) LAC : GARNET LAC",5%,,01/07/2017,
13011090,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS) LAC : OTHER",5%,,01/07/2017,
13012000,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS) GUM ARABIC",5%,,01/07/2017,
130190,OTHER,5%,,01/07/2017,
13019011,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS)OTHER : NATURAL GUMS : ASIAN GUM",5%,,01/07/2017,
13019012,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS)OTHER : NATURAL GUMS : AFRICAN GUM",5%,,01/07/2017,
13019013,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS)OTHER : NATURAL GUMS : ASAFOETIDA",5%,,01/07/2017,
13019014,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS)OTHER : NATURAL GUMS : BENJAMIN RAS",5%,,01/07/2017,
13019015,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS)OTHER : NATURAL GUMS : BENJAMIN COWRIE",5%,,01/07/2017,
13019016,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS)OTHER : NATURAL GUMS : KARAYA GUM (INDIAN TRAGACANTH) HASTAB",5%,,01/07/2017,
13019017,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS)OTHER : NATURAL GUMS : TRAGACANTH (ADRAGANTH)",5%,,01/07/2017,
13019018,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS)OTHER : NATURAL GUMS : STORAX",5%,,01/07/2017,
13019019,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS)OTHER : NATURAL GUMS : OTHER",5%,,01/07/2017,
13019021,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS)OTHER : RESINS : COPAL",5%,,01/07/2017,
13019022,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS)OTHER : RESINS : DAMMAR BATU",5%,,01/07/2017,
13019029,"LAC; NATURAL GUMS, RESINS, GUM-RESINS AND OLEORESINS (FOR EXAMPLE, BALSAMS)OTHER : RESINS : OTHER",5%,,01/07/2017,
