HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
1401,"VEGETABLE MATERIALS OF A KIND USED PRIMARILY FOR PLAITING (FOR EXAMPLE, BAMBOOS, RATTANS, REEDS, RUSHES, OSIER, RAFFIA, CLEANED, BLEACHED OR DYED CEREAL STRAW, AND LIME BARK)",5%,,01/07/2017,
14011000,"VEGETABLE MATERIALS OF A KIND USED PRIMARILY FOR PLAITING (FOR EXAMPLE, BAMBOOS, RATTANS, REEDS, RUSHES, OSIER, RAFFIA, CLEANED, BLEACHED OR DYED CEREAL STRAW, AND LIME BARK)BAMBOOS",5%,,01/07/2017,
14012000,"VEGETABLE MATERIALS OF A KIND USED PRIMARILY FOR PLAITING (FOR EXAMPLE, BAMBOOS, RATTANS, REEDS, RUSHES, OSIER, RAFFIA, CLEANED, BLEACHED OR DYED CEREAL STRAW, AND LIME BARK)RATTANS",5%,,01/07/2017,
140190,OTHER,5%,,01/07/2017,
14019010,"VEGETABLE MATERIALS OF A KIND USED PRIMARILY FOR PLAITING (FOR EXAMPLE, BAMBOOS, RATTANS, REEDS, RUSHES, OSIER, RAFFIA, CLEANED, BLEACHED OR DYED CEREAL STRAW, AND LIME BARK)OTHER : CANES",5%,,01/07/2017,
14019090,"VEGETABLE MATERIALS OF A KIND USED PRIMARILY FOR PLAITING (FOR EXAMPLE, BAMBOOS, RATTANS, REEDS, RUSHES, OSIER, RAFFIA, CLEANED, BLEACHED OR DYED CEREAL STRAW, AND LIME BARK)OTHER : OTHER",5%,,01/07/2017,
1402,-,0%,,01/07/2017,
14020000,"VEGETABLE MATERIALS OF A KIND USED PRIMARILY AS STUFFING OR AS PADDING (FOR EXAMPLE, KAPOK, VEGETABLE HAIR AND EEL?GRASS), WHETHER OR NOT PUT UP AS A LAYER WITH OR WITHOUT SUPPORTING MATERIAL",0%,,01/07/2017,
1403,"VEGETABLE MATERIAL OF A KIND USED PRIMARILY IN BROOMS OR IN BRUSHES (FOR EXAMPLE, BROOM-CORN, PIASSAVA, COUCH-GRASS AND ISTLE), WHETHER OR NOT IN HANKS OR BUNDLES",0%,,01/07/2017,
14030010,"VEGETABLE MATERIAL OF A KIND USED PRIMARILY IN BROOMS OR IN BRUSHES (FOR EXAMPLE, BROOM-CORN, PIASSAVA, COUCH-GRASS AND ISTLE), WHETHER OR NOT IN HANKS OR BUNDLES VEGETABLE MATERIAL OF A KIND USED PRIMARILY IN BROOMS OR IN BRUSHES (FOR EXAMPLE, BROOM-CORN",0%,,01/07/2017,
14030090,"VEGETABLE MATERIAL OF A KIND USED PRIMARILY IN BROOMS OR IN BRUSHES (FOR EXAMPLE, BROOM-CORN, PIASSAVA, COUCH-GRASS AND ISTLE), WHETHER OR NOT IN HANKS OR BUNDLES VEGETABLE MATERIAL OF A KIND USED PRIMARILY IN BROOMS OR IN BRUSHES (FOR EXAMPLE, BROOM-CORN",0%,,01/07/2017,
