HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
1602,"OTHER PREPARED OR PRESERVED MEAT, MEAT OFFAL OR BLOOD",12%,,01/07/2017,
16021000,"OTHER PREPARED OR PRESERVED MEAT, MEAT OFFAL OR BLOOD HOMOGENISED PREPARATIONS",12%,,01/07/2017,
16022000,"OTHER PREPARED OR PRESERVED MEAT, MEAT OFFAL OR BLOOD OF LIVER OF ANY ANIMAL",12%,,01/07/2017,
16023100,"OTHER PREPARED OR PRESERVED MEAT, MEAT OFFAL OR BLOOD OF POULTRY OF HEADING 0105 : OF TURKEYS",12%,,01/07/2017,
16023200,"OTHER PREPARED OR PRESERVED MEAT, MEAT OFFAL OR BLOOD OF POULTRY OF HEADING 0105 : OF FOWLS OF THE SPECIES GALLUS DOMESTICUS",12%,,01/07/2017,
16023900,"OTHER PREPARED OR PRESERVED MEAT, MEAT OFFAL OR BLOOD OF POULTRY OF HEADING 0105 : OTHER",12%,,01/07/2017,
16024100,"OTHER PREPARED OR PRESERVED MEAT, MEAT OFFAL OR BLOOD OF SWINE : HAMS AND CUTS THEREOF",12%,,01/07/2017,
16024200,"OTHER PREPARED OR PRESERVED MEAT, MEAT OFFAL OR BLOOD OF SWINE : SHOULDERS AND CUTS THEREOF",12%,,01/07/2017,
16024900,"OTHER PREPARED OR PRESERVED MEAT, MEAT OFFAL OR BLOOD OF SWINE : OTHER, INCLUDING MIXTURES",12%,,01/07/2017,
16025000,"OTHER PREPARED OR PRESERVED MEAT, MEAT OFFAL OR BLOOD OF BOVINE ANIMALS",12%,,01/07/2017,
16029000,"OTHER PREPARED OR PRESERVED MEAT, MEAT OFFAL OR BLOOD OTHER, INCLUDING PREPARATIONS OF BLOOD OF ANY ANIMAL",12%,,01/07/2017,
1603,"EXTRACTS AND JUICES OF MEAT, FISH OR CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",12%,,01/07/2017,
160300,"EXTRACTS AND JUICES OF MEAT, FISH OR CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",12%,,01/07/2017,
16030010,"EXTRACTS AND JUICES OF MEAT, FISH OR CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES EXTRACTS AND JUICES OF MEAT, FISH OR CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES : EXTRACTS AND JUICES OF MEAT",12%,,01/07/2017,
16030020,"EXTRACTS AND JUICES OF MEAT, FISH OR CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES EXTRACTS AND JUICES OF MEAT, FISH OR CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES : EXTRACTS OF FISH",12%,,01/07/2017,
16030090,"EXTRACTS AND JUICES OF MEAT, FISH OR CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATESEXTRACTS AND JUICES OF MEAT, FISH OR CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES : OTHER",12%,,01/07/2017,
1604,"PREPARED OR PRESERVED FISH; CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS - FISH, WHOLE OR IN PIECES, BUT NOT MINCED :",12%,,01/07/2017,
16041100,"PREPARED OR PRESERVED FISH; CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS FISH, WHOLE OR IN PIECES, BUT NOT MINCED : SALMON",12%,,01/07/2017,
160412,HERRINGS,12%,,01/07/2017,
16041210,"PREPARED OR PRESERVED FISH; CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS FISH, WHOLE OR IN PIECES, BUT NOT MINCED : HERRINGS : PICKLED",12%,,01/07/2017,
16041290,"PREPARED OR PRESERVED FISH; CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS FISH, WHOLE OR IN PIECES, BUT NOT MINCED : HERRINGS : OTHER",12%,,01/07/2017,
160413,"SARDINES, SARDINELLA AND BRISLING OR SPRATS",12%,,01/07/2017,
16041310,"PREPARED OR PRESERVED FISH; CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS FISH, WHOLE OR IN PIECES, BUT NOT MINCED : SARDINES, SARDINELLA AND BRISLING OR SPRATS : SARDINES, SARDINELLA AND BRISLING",12%,,01/07/2017,
16041320,"PREPARED OR PRESERVED FISH; CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS FISH, WHOLE OR IN PIECES, BUT NOT MINCED : SARDINES, SARDINELLA AND BRISLING OR SPRATS : SPRATS",12%,,01/07/2017,
160414,"TUNAS, SKIPJACK AND BONITO (SARDA SPP.)",12%,,01/07/2017,
16041410,"PREPARED OR PRESERVED FISH; CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS FISH, WHOLE OR IN PIECES, BUT NOT MINCED : TUNAS, SKIPJACK AND BONITO (SARDA SPP.) : TUNAS",12%,,01/07/2017,
