HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
1801,"COCOA BEANS, WHOLE OR BROKEN, RAW OR ROASTED",5%,,01/07/2017,
18010000,"COCOA BEANS, WHOLE OR BROKEN, RAW OR ROASTED",5%,,01/07/2017,
1802,"COCOA SHELLS, HUSKS, SKINS AND OTHER COCOA WASTE",5%,,01/07/2017,
18020000,"COCOA SHELLS, HUSKS, SKINS AND OTHER COCOA WASTE",5%,,01/07/2017,
1803,"COCOA PASTE, WHETHER OR NOT DEFATTED",5%,,01/07/2017,
18031000,"COCOA PASTE, WHETHER OR NOT DEFATTED NOT DEFATTED",5%,,01/07/2017,
18032000,"COCOA PASTE, WHETHER OR NOT DEFATTED WHOLLY OR PARTLY DEFATTED",5%,,01/07/2017,
1804,"COCOA BUTTER, FAT AND OIL",18%,,15/11/2017,
18040000,"COCOA BUTTER, FAT AND OIL",18%,,15/11/2017,
1805,"COCOA POWDER, NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",18%,,15/11/2017,
18050000,"COCOA POWDER, NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",18%,,15/11/2017,
1806,CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA,18%,,15/11/2017,
18061000,"CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA - COCOA POWDER, CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",18%,,15/11/2017,
18062000,"CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA - OTHER PREPARATIONS IN BLOCKS, SLABS OR BARS WEIGHING MORE THAN 2 KG OR IN LIQUID, PASTE, POWDER, GRANULAR OR OTHER BULK FORM IN CONTAINERS OR IMMEDIATE PACKINGS, OF A CONTENT EXCEEDING 2 KG",18%,,15/11/2017,
18063100,"CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA - OTHER, IN BLOCKS, SLABS OR BARS : FILLED",18%,,15/11/2017,
18063200,"CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA - OTHER, IN BLOCKS, SLABS OR BARS : NOT FILLED",18%,,15/11/2017,
180690,OTHER,18%,,15/11/2017,
18069010,CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA - OTHER : CHOCOLATE AND CHOCOLATE PRODUCTS,18%,,15/11/2017,
18069020,CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA - OTHER : SUGAR CONFECTIONARY CONTAINING COCOA,18%,,15/11/2017,
18069030,CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA - OTHER : SPREADS CONTAINING COCOA,18%,,15/11/2017,
18069040,CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA - OTHER : PREPARATIONS CONTAINING COCOA FOR MAKING BEVERAGES,18%,,15/11/2017,
18069090,CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA - OTHER : OTHER,18%,,15/11/2017,
