HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
129,"MEAT OF BOVINE ANIMALS, FRESH AND CHILLED",Nil,,01/07/2017,
528896,"MEAT OF BOVINE ANIMALS, FRESH AND CHILLED CARCASSES AND HALF CARCASSES",Nil,,01/07/2017,
529408,"MEAT OF BOVINE ANIMALS, FRESH AND CHILLED OTHER CUTS WITH BONE IN",Nil,,01/07/2017,
529920,"MEAT OF BOVINE ANIMALS, FRESH AND CHILLED BONELESS",Nil,,01/07/2017,
130,"MEAT OF BOVINE ANIMALS, FROZEN",5%,,15/11/2017,
532992,"MEAT OF BOVINE ANIMALS, FROZEN CARCASSES AND HALF-CARCASSES",5%,,15/11/2017,
533504,"MEAT OF BOVINE ANIMALS, FROZEN OTHER CUTS WITH BONE IN",5%,,15/11/2017,
534016,"MEAT OF BOVINE ANIMALS, FROZEN BONELESS",5%,,15/11/2017,
131,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN - FRESH OR CHILLED:",5%,,15/11/2017,
131,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN - FRESH OR CHILLED:",0%,,01/07/2017,
537152,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN FRESH OR CHILLED : CARCASSES AND HALF-CARCASSES",5%,,15/11/2017,
537216,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN HAMS, SHOULDERS AND CUTS THERE OF, WITH BONE IN",5%,,15/11/2017,
2031900.0,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN HAMS, SHOULDERS AND CUTS THERE OF, WITH BONE INOTHER",5%,,15/11/2017,
537664,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN FROZEN : CARCASSES AND HALF-CARCASSES",5%,,15/11/2017,
537728,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN FROZEN : HAMS, SHOULDERS AND CUTS THERE OF, WITH BONE IN",5%,,15/11/2017,
2032900.0,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN FROZEN OTHER",5%,,15/11/2017,
132,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN",5%,,15/11/2017,
132,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN",0%,,01/07/2017,
