HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
2001,"VEGETABLES, FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, PREPARED OR PRESERVED BY VINEGAR OR ACETIC ACID",12%,,01/07/2017,
20011000,"VEGETABLES, FRUIT, NUTS AND OTHER EDIBLEPARTS OF PLANTS, PREPARED OR PRESERVEDBY VINEGAR OR ACETIC ACID CUCUMBERS AND GHERKINS",12%,,01/07/2017,
20019000,"VEGETABLES, FRUIT, NUTS AND OTHER EDIBLEPARTS OF PLANTS, PREPARED OR PRESERVEDBY VINEGAR OR ACETIC ACID OTHER",12%,,01/07/2017,
2002,TOMATOES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID,12%,,01/07/2017,
20021000,"TOMATOES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID TOMATOES, WHOLE OR IN PIECES",12%,,01/07/2017,
20029000,TOMATOES PREPARED OR PRESERVED OTHERWISETHAN BY VINEGAR OR ACETIC ACID OTHER,12%,,01/07/2017,
2003,ACETIC ACID,12%,,01/07/2017,
20031000,"MUSHROOMS AND TRUFFLES, PREPARED ORPRESERVED OTHERWISE THAN BY VINEGAR ORACETIC ACID MUSHROOMS OF THE GENUS AGARICUS",12%,,01/07/2017,
200390,OTHER,12%,,01/07/2017,
20039010,"MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID-OTHER---TRUFFLES",12%,,01/07/2017,
20039090,"MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID-OTHER---OTHER",12%,,01/07/2017,
2004,"OTHER VEGETABLES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, FROZEN, OTHER THAN PRODUCTS OF HEADING 2006",12%,,01/07/2017,
20041000,"OTHER VEGETABLES PREPARED OR PRESERVEDOTHERWISE THAN BY VINEGAR OR ACETIC ACID, FROZEN, OTHER THAN PRODUCTS OF HEADING 2006 POTATOES",12%,,01/07/2017,
20049000,"OTHER VEGETABLES PREPARED OR PRESERVEDOTHERWISE THAN BY VINEGAR OR ACETIC ACID, FROZEN, OTHER THAN PRODUCTS OF HEADING 2006 OTHER VEGETABLES AND MIXTURES OF VEGETABLES",12%,,01/07/2017,
2005,"OTHER VEGETABLES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN, OTHER THAN PRODUCTS OF HEADING 2006",12%,,01/07/2017,
20051000,"OTHER VEGETABLES PREPARED OR PRESERVEDOTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN, OTHER THAN PRODUCTS OF HEADING 2006 HOMOGENISED VEGETABLES",12%,,01/07/2017,
20052000,"OTHER VEGETABLES PREPARED OR PRESERVEDOTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN, OTHER THAN PRODUCTS OF HEADING 2006 POTATOES",12%,,01/07/2017,
20054000,"OTHER VEGETABLES PREPARED OR PRESERVEDOTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN, OTHER THAN PRODUCTS OF HEADING 2006 PEAS (PISUM, SATIVUM)",12%,,01/07/2017,
20055100,"OTHER VEGETABLES PREPARED OR PRESERVEDOTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN, OTHER THAN PRODUCTS OF HEADING 2006 - BEANS (VIGNA SPP., PHASEOLUS SPP.) : BEANS, SHELLED",12%,,01/07/2017,
20055900,"OTHER VEGETABLES PREPARED OR PRESERVEDOTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN, OTHER THAN PRODUCTS OF HEADING 2006 - BEANS (VIGNA SPP., PHASEOLUS SPP.) : OTHER",12%,,01/07/2017,
20056000,"OTHER VEGETABLES PREPARED OR PRESERVEDOTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN, OTHER THAN PRODUCTS OF HEADING 2006 ASPARAGUS",12%,,01/07/2017,
20057000,"OTHER VEGETABLES PREPARED OR PRESERVEDOTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN, OTHER THAN PRODUCTS OF HEADING 2006 OLIVES",12%,,01/07/2017,
20058000,"OTHER VEGETABLES PREPARED OR PRESERVEDOTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN, OTHER THAN PRODUCTS OF HEADING 2006 SWEET CORN (ZEA MAYS VAR. SACCHARATA)",12%,,01/07/2017,
20059000,"OTHER VEGETABLES PREPARED OR PRESERVEDOTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN, OTHER THAN PRODUCTS OF HEADING 2006 OTHER VEGETABLES AND MIXTURES OF VEGETABLES",12%,,01/07/2017,
20059100,"OTHER VEGETABLES PREPARED OR PRESERVEDOTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN, OTHER THAN PRODUCTS OF HEADING 2006 -OTHER VEGETABLES AND MIXTURES OF VEGETABLES: -- BAMBOO SHOOTS",12%,,01/07/2017,
20059900,"OTHER VEGETABLES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN, OTHER THAN PRODUCTS OF HEADING 2006 -OTHER VEGETABLES AND MIXTURES OF VEGETABLES: -- OTHER",12%,,01/07/2017,
2006,"VEGETABLES, FRUITS, NUTS, FRUIT-PEEL AND OTHER PARTS OF PLANTS, PRESERVED BY SUGAR (DRAINED, GLACE OR CRYSTALLISED)",12%,,01/07/2017,
20060000,"VEGETABLES, FRUITS, NUTS, FRUIT-PEEL AND OTHER PARTS OF PLANTS, PRESERVED BY SUGAR (DRAINED, GLACE OR CRYSTALLISED)",12%,,01/07/2017,
2007,"JAMS, FRUIT JELLIES, MARMALADES, FRUIT OR NUT PUREE AND FRUIT OR NUT PASTES, OBTAINED BY COOKING, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",12%,,01/07/2017,
20071000,"JAMS, FRUIT JELLIES, MARMALADES, FRUIT ORNUT PUREE AND FRUIT OR NUT PASTES, OBTAINEDBY COOKING, WHETHER OR NOT CONTAININGADDED SUGAR OR OTHER SWEETENING MATTER HOMOGENISED PREPARATIONS",12%,,01/07/2017,
20079100,"JAMS, FRUIT JELLIES, MARMALADES, FRUIT ORNUT PUREE AND FRUIT OR NUT PASTES, OBTAINEDBY COOKING, WHETHER OR NOT CONTAININGADDED SUGAR OR OTHER SWEETENING MATTER - OTHER : CITRUS FRUIT",12%,,01/07/2017,
200799,OTHER,12%,,01/07/2017,
20079910,"JAMS, FRUIT JELLIES, MARMALADES, FRUIT ORNUT PUREE AND FRUIT OR NUT PASTES, OBTAINEDBY COOKING, WHETHER OR NOT CONTAININGADDED SUGAR OR OTHER SWEETENING MATTER - OTHER : OTHER : MANGO",12%,,01/07/2017,
20079920,"JAMS, FRUIT JELLIES, MARMALADES, FRUIT ORNUT PUREE AND FRUIT OR NUT PASTES, OBTAINEDBY COOKING, WHETHER OR NOT CONTAININGADDED SUGAR OR OTHER SWEETENING MATTER - OTHER : OTHER : GUAVA",12%,,01/07/2017,
20079930,"JAMS, FRUIT JELLIES, MARMALADES, FRUIT ORNUT PUREE AND FRUIT OR NUT PASTES, OBTAINEDBY COOKING, WHETHER OR NOT CONTAININGADDED SUGAR OR OTHER SWEETENING MATTER - OTHER : OTHER : PINE APPLE",12%,,01/07/2017,
20079940,"JAMS, FRUIT JELLIES, MARMALADES, FRUIT ORNUT PUREE AND FRUIT OR NUT PASTES, OBTAINEDBY COOKING, WHETHER OR NOT CONTAININGADDED SUGAR OR OTHER SWEETENING MATTER - OTHER : OTHER : APPLE",12%,,01/07/2017,
20079990,"JAMS, FRUIT JELLIES, MARMALADES, FRUIT ORNUT PUREE AND FRUIT OR NUT PASTES, OBTAINEDBY COOKING, WHETHER OR NOT CONTAININGADDED SUGAR OR OTHER SWEETENING MATTER - OTHER : OTHER : OTHER",12%,,01/07/2017,
2008,"FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR SPIRIT, NOT ELSEWHERE SPECIFIED OR INCLUDED - NUTS, GROUND-NUTS AND OTHER SEEDS, WHETHER OR NOT MIXED TOGET",12%,,01/07/2017,
20081100,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - NUTS, GROUND - NUTS AND OTHER SEEDS, WHETHER OR NOT MIXED TOGETHE",12%,,01/07/2017,
200819,"OTHER, INCLUDING MIXTURES",12%,,01/07/2017,
20081910,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - NUTS, GROUND - NUTS AND OTHER SEEDS, WHETHER OR NOT MIXED TOGETHE",12%,,01/07/2017,
20081920,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - NUTS, GROUND - NUTS AND OTHER SEEDS, WHETHER OR NOT MIXED TOGETHE",12%,,01/07/2017,
20081930,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - NUTS, GROUND - NUTS AND OTHER SEEDS, WHETHER OR NOT MIXED TOGETHE",12%,,01/07/2017,
20081940,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - NUTS, GROUND - NUTS AND OTHER SEEDS, WHETHER OR NOT MIXED TOGETHE",12%,,01/07/2017,
20081990,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - NUTS, GROUND - NUTS AND OTHER SEEDS, WHETHER OR NOT MIXED TOGETHE",12%,,01/07/2017,
20082000,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED PINEAPPLES",12%,,01/07/2017,
200830,CITRUS FRUIT,12%,,01/07/2017,
20083010,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - CITRUS FRUIT : ORANGE",12%,,01/07/2017,
20083090,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - CITRUS FRUIT : OTHER",12%,,01/07/2017,
20084000,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - PEARS",12%,,01/07/2017,
20085000,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - APRICOTS",12%,,01/07/2017,
20086000,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED -CHERRIES",12%,,01/07/2017,
20087000,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - PEACHES, INCLUDING NECTARINES",12%,,01/07/2017,
20088000,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - STRAWBERRIES",12%,,01/07/2017,
20089100,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - - OTHER, INCLUDING MIXTURES OTHER THAN THOSE OF SUB-HEADING 2008",12%,,01/07/2017,
200893,CRANBERRIES,12%,,01/07/2017,
20089300,"FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR SPIRIT, NOT ELSEWHERE SPECIFIED OR INCLUDED-OTHER, INCLUDING MIXTURES OTHER THAN THOSE OF SUB-HEADING 2008 1",12%,,01/07/2017,
200897,MIXTURES,12%,,01/07/2017,
20089700,"FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR SPIRIT, NOT ELSEWHERE SPECIFIED OR INCLUDED-OTHER, INCLUDING MIXTURES OTHER THAN THOSE OF SUB-HEADING 2008 1",12%,,01/07/2017,
200899,OTHER,12%,,01/07/2017,
20089911,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - - OTHER, INCLUDING MIXTURES OTHER THAN THOSE OF SUB-HEADING 2008",12%,,01/07/2017,
20089912,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - - OTHER, INCLUDING MIXTURES OTHER THAN THOSE OF SUB-HEADING 2008",12%,,01/07/2017,
20089913,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - - OTHER, INCLUDING MIXTURES OTHER THAN THOSE OF SUB-HEADING 2008",12%,,01/07/2017,
20089914,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - - OTHER, INCLUDING MIXTURES OTHER THAN THOSE OF SUB-HEADING 2008",12%,,01/07/2017,
20089919,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED -- OTHER, INCLUDING MIXTURES OTHER THAN THOSE OF SUB-HEADIN",12%,,01/07/2017,
20089991,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - - OTHER, INCLUDING MIXTURES OTHER THAN THOSE OF SUB-HEADING 2008",12%,,01/07/2017,
20089992,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - - OTHER, INCLUDING MIXTURES OTHER THAN THOSE OF SUB-HEADING 2008",12%,,01/07/2017,
20089993,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - - OTHER, INCLUDING MIXTURES OTHER THAN THOSE OF SUB-HEADING 2008",12%,,01/07/2017,
20089994,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED - - OTHER, INCLUDING MIXTURES OTHER THAN THOSE OF SUB-HEADING 2008",12%,,01/07/2017,
20089999,"FRUIT, NUTS AND OTHER EDIBLE PARTS OFPLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OROTHER SWEETENING MATTER OR SPIRIT, NOTELSEWHERE SPECIFIED OR INCLUDED -- OTHER, INCLUDING MIXTURES OTHER THAN THOSE OF SUB-HEADIN",12%,,01/07/2017,
2009,"FRUIT JUICES (INCLUDING GRAPE MUST) AND VEGETABLE JUICES, UNFERMENTED AND NOT CONTAINING ADDED SPIRIT, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER - ORANGE JUICE :",12%,,01/07/2017,
