HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
22087011,,0%,,01/07/2017,
2201,Drinking water packed in 20 litres bottle,12%,,25/01/2018                           1/07/2017,
2201,"Water [other than aerated, mineral, purified, distilled, medicinal, ionic, battery, de-mineralized and water sold in sealed container]
Non-alcoholic Toddy, Neera including date and palm neera",0%,,01/07/2017,
2201,"WATERS, INCLUDING NATURAL OR ARTIFICIAL MINERAL WATERS AND AERATED WATERS, NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER NOR FLAVOURED; ICE AND SNOW",18%,,25/01/2018                           1/07/2017,
220110,MINERAL WATERS AND AERATED WATERS,18%,,25/01/2018                           1/07/2017,
22011010,"WATERS, INCLUDING NATURAL OR ARTIFICIALMINERAL WATERS AND AERATED WATERS, NOTCONTAINING ADDED SUGAR OR OTHERSWEETENING MATTER NOR FLAVOURED; ICEAND SNOW - MINERAL WATERS AND AERATED WATERS : MINERAL WATERS",18%,,25/01/2018                           1/07/2017,
22011020,"WATERS, INCLUDING NATURAL OR ARTIFICIALMINERAL WATERS AND AERATED WATERS, NOTCONTAINING ADDED SUGAR OR OTHERSWEETENING MATTER NOR FLAVOURED; ICEAND SNOW - MINERAL WATERS AND AERATED WATERS : AERATED WATERS",18%,,25/01/2018                           1/07/2017,
220190,OTHER,18%,,25/01/2018                           1/07/2017,
22019010,"WATERS, INCLUDING NATURAL OR ARTIFICIALMINERAL WATERS AND AERATED WATERS, NOTCONTAINING ADDED SUGAR OR OTHERSWEETENING MATTER NOR FLAVOURED; ICEAND SNOW - OTHER : ICE AND SNOW",5%,,01/07/2017,
22019090,"WATERS, INCLUDING NATURAL OR ARTIFICIALMINERAL WATERS AND AERATED WATERS, NOTCONTAINING ADDED SUGAR OR OTHERSWEETENING MATTER NOR FLAVOURED; ICEAND SNOW - OTHER : OTHER",18%,,25/01/2018                           1/07/2017,
2202,"WATERS, INCLUDING MINERAL WATERS AND AERATED WATERS, CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR FLAVOURED, AND OTHER NON-ALCOHOLIC BEVERAGES, NOT INCLUDING FRUIT OR VEGETABLE JUICES OF HEADING 2009",0%,,01/07/2017,
220210,"WATERS, INCLUDING MINERAL WATERS AND AERATED WATERS, CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR FLAVOURED",28%,,01/07/2017,
22021010,"WATERS, INCLUDING MINERAL WATERS ANDAERATED WATERS, CONTAINING ADDED SUGAROR OTHER SWEETENING MATTER OR FLAVOURED,AND OTHER NON - ALCOHOLIC BEVERAGES, NOTINCLUDING FRUIT OR VEGETABLE JUICES OFHEADING 2009 - WATERS, INCLUDING MINERAL WATERS AND AERATEDWATE",0%,12%,01/07/2017,
