HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
2301,"FLOURS, MEALS AND PELLETS, OF MEAT OR MEAT OFFAL, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES, UNFIT FOR HUMAN CONSUMPTION; GREAVES",5%,,01/07/2017,
230110,"FLOURS, MEALS AND PELLETS, OF MEAT OR MEAT OFFAL; GREAVES",5%,,01/07/2017,
23011010,"FLOURS, MEALS AND PELLETS, OF MEATOR MEAT OFFAL, OF FISH OR OFCRUSTACEANS, MOLLUSCS OR OTHERAQUATIC INVERTEBRATES, UNFIT FOR HUMAN CONSUMPTION; GREAVES - FLOURS, MEALS AND PELLETS, OF MEAT OR MEAT OFFAL; GREAVES : MEAT MEALS AND PELLETS (INCLUDING TANKAGE",5%,,01/07/2017,
23011090,"FLOURS, MEALS AND PELLETS, OF MEATOR MEAT OFFAL, OF FISH OR OFCRUSTACEANS, MOLLUSCS OR OTHERAQUATIC INVERTEBRATES, UNFIT FOR HUMAN CONSUMPTION; GREAVES - FLOURS, MEALS AND PELLETS, OF MEAT OR MEAT OFFAL; GREAVES : OTHER (INCLUDING GREAVES)",5%,,01/07/2017,
230120,"FLOURS, MEALS AND PELLETS, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",5%,,01/07/2017,
23012011,"FLOURS, MEALS AND PELLETS, OF MEATOR MEAT OFFAL, OF FISH OR OFCRUSTACEANS, MOLLUSCS OR OTHERAQUATIC INVERTEBRATES, UNFIT FOR HUMAN CONSUMPTION; GREAVES - FLOURS, MEALS AND PELLETS, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES : FISH",5%,,01/07/2017,
23012019,"FLOURS, MEALS AND PELLETS, OF MEATOR MEAT OFFAL, OF FISH OR OFCRUSTACEANS, MOLLUSCS OR OTHERAQUATIC INVERTEBRATES, UNFIT FOR HUMAN CONSUMPTION; GREAVES - FLOURS, MEALS AND PELLETS, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES : FISH",5%,,01/07/2017,
23012090,"FLOURS, MEALS AND PELLETS, OF MEATOR MEAT OFFAL, OF FISH OR OFCRUSTACEANS, MOLLUSCS OR OTHERAQUATIC INVERTEBRATES, UNFIT FOR HUMAN CONSUMPTION; GREAVES - FLOURS, MEALS AND PELLETS, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES : OTHER",5%,,01/07/2017,
2302,"BRAN, SHARPS AND OTHER RESIDUES, WHETHER OR NOT IN THE FORM OF PELLETS, DERIVED FROM THE SIFTING, MILLING OR OTHER WORKING OF CEREALS OR OF LEGUMINOUS PLANTS",5%,,25/01/2018,
230210,OF MAIZE (CORN),5%,,25/01/2018,
23021010,"BRAN, SHARPS AND OTHER RESIDUES, WHETHEROR NOT IN THE FORM OF PELLETS, DERIVED FROM THE SIFTING, MILLING OR OTHER WORKING OF CEREALS OR OF LEGUMINOUS PLANTS - OF MAIZE (CORN) : MAIZE BRAN",5%,,25/01/2018,
23021090,"BRAN, SHARPS AND OTHER RESIDUES, WHETHEROR NOT IN THE FORM OF PELLETS, DERIVED FROM THE SIFTING, MILLING OR OTHER WORKING OF CEREALS OR OF LEGUMINOUS PLANTS - OF MAIZE (CORN) : OTHER",5%,,25/01/2018,
23022010,"BRAN, SHARPS AND OTHER RESIDUES, WHETHEROR NOT IN THE FORM OF PELLETS, DERIVED FROM THE SIFTING, MILLING OR OTHER WORKING OF CEREALS OR OF LEGUMINOUS PLANTS - OF RICE : DE-OILED RICE BRAN",5%,,25/01/2018,
23022020,"BRAN, SHARPS AND OTHER RESIDUES, WHETHEROR NOT IN THE FORM OF PELLETS, DERIVED FROM THE SIFTING, MILLING OR OTHER WORKING OF CEREALS OR OF LEGUMINOUS PLANTS - OF RICE : RICE BRAN, RAW",5%,,25/01/2018,
