HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
2401,Tobacco leaves,5%,,01/07/2017,
2401,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE ,TOBACCO LEAVES AS SUCH OR BROKEN TOBACCO LEAVES OR LEAVES STEMS, UNMANUFACTURED TOBACCO (WITHOUT LIME TUBE) – BEARING A BRAND NAME, UNMANUFACTURED TOBACCO (WITH LIME TUBE) – BEARING A BRAND",28%,71%/65%,01/07/2017,
240110,"TOBACCO, NOT STEMMED OR STRIPPED",28%,,01/07/2017,
24011010,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE - TOBACCO, NOT STEMMED OR STRIPPED : FLUE CURED VIRGINIA TOBACCO",28%,,01/07/2017,
24011020,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE - TOBACCO, NOT STEMMED OR STRIPPED : SUN CURED COUNTRY (NATU) TOBACCO",28%,,01/07/2017,
24011030,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE - TOBACCO, NOT STEMMED OR STRIPPED : SUN CURED VIRGINIA TOBACCO",28%,,01/07/2017,
24011040,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE - TOBACCO, NOT STEMMED OR STRIPPED : BURLEY TOBACCO",28%,,01/07/2017,
24011050,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE - TOBACCO, NOT STEMMED OR STRIPPED : TOBACCO FOR MANUFACTURE OF BIRIS, NOT STEMMED",28%,,01/07/2017,
24011060,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE - TOBACCO, NOT STEMMED OR STRIPPED : TOBACCO FOR MANUFACTURE OF CHEWING TOBACCO",28%,,01/07/2017,
24011070,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE - TOBACCO, NOT STEMMED OR STRIPPED : TOBACCO FOR MANUFACTURE OF CIGAR AND CHEROOT",28%,,01/07/2017,
24011080,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE - TOBACCO, NOT STEMMED OR STRIPPED : TOBACCO FOR MANUFACTURE OF HOOKAH TOBACCO",28%,,01/07/2017,
24011090,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE - TOBACCO, NOT STEMMED OR STRIPPED : OTHER",28%,,01/07/2017,
240120,"TOBACCO, PARTLY OR WHOLLY STEMMED OR STRIPPED",28%,,01/07/2017,
24012010,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE - TOBACCO, PARTLY OR WHOLLY STEMMED OR STRIPPED : FLUE CURED VIRGINIA TOBACCO",28%,,01/07/2017,
24012020,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE - TOBACCO, PARTLY OR WHOLLY STEMMED OR STRIPPED : SUN CURED COUNTRY (NATU) TOBACCO",28%,,01/07/2017,
24012030,"UNMANUFACTURED TOBACCO; TOBACCO REFUSE - TOBACCO, PARTLY OR WHOLLY STEMMED OR STRIPPED : SUN CURED VIRGINIA TOBACCO",28%,,01/07/2017,
