HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
2501,"SALT (INCLUDING TABLE SALT AND DENATURED SALT) AND PURE SODIUM CHLORIDE, WHETHER OR NOT IN AQUEOUS SOLUTION OR CONTAINING ADDED ANTI-CAKING OR FREE FLOWING AGENTS; SEA WATER",Nil,,01/07/2017,
250100,"SALT (INCLUDING TABLE SALT AND DENATURED SALT) AND PURE SODIUM CHLORIDE, WHETHER OR NOT IN AQUEOUS SOLUTION OR CONTAINING ADDED ANTI-CAKING OR FREE FLOWING AGENTS; SEA WATER",Nil,,01/07/2017,
25010010,"SALT (INCLUDING TABLE SALT AND DENATURED SALT) AND PURE SODIUM CHLORIDE, WHETHER OR NOT IN AQUEOUS SOLUTION OR CONTAINING ADDED ANTI-CAKING OR FREE FLOWING AGENTS; SEA WATER - SALT (INCLUDING TABLE SALT AND DENATURED SALT) AND PURE SODIUM CHLORIDE, WHETHE",Nil,,01/07/2017,
25010020,"SALT (INCLUDING TABLE SALT AND DENATURED SALT) AND PURE SODIUM CHLORIDE, WHETHER OR NOT IN AQUEOUS SOLUTION OR CONTAINING ADDED ANTI-CAKING OR FREE FLOWING AGENTS; SEA WATER - SALT (INCLUDING TABLE SALT AND DENATURED SALT) AND PURE SODIUM CHLORIDE, WHETHE",Nil,,01/07/2017,
25010090,"SALT (INCLUDING TABLE SALT AND DENATURED SALT) AND PURE SODIUM CHLORIDE, WHETHER OR NOT IN AQUEOUS SOLUTION OR CONTAINING ADDED ANTI-CAKING OR FREE FLOWING AGENTS; SEA WATER - SALT (INCLUDING TABLE SALT AND DENATURED SALT) AND PURE SODIUM CHLORIDE, WHETHE",Nil,,01/07/2017,
2502,UNROASTED IRON PYRITES,5%,,01/07/2017,
25020000,UNROASTED IRON PYRITES,5%,,01/07/2017,
2503,"SULPHUR OF ALL KINDS, OTHER THAN SUBLIMED SULPHUR, PRECIPITATED SULPHUR AND COLLODIAL SULPHUR",5%,,15/11/2017,
250300,"SULPHUR OF ALL KINDS, OTHER THAN SUBLIMED SULPHUR, PRECIPITATED SULPHUR AND COLLODIAL SULPHUR",5%,,15/11/2017,
25030010,"SULPHUR OF ALL KINDS, OTHER THAN SUBLIMED SULPHUR, PRECIPITATED SULPHUR AND COLLODIAL SULPHUR - SULPHUR OF ALL KINDS, OTHER THAN SUBLIMED SULPHUR, PRECIPITATED SULPHUR AND COLLODIAL SULPHUR: SULPHUR RECOVERED AS BY-PRODUCT IN REFINING OF CRUDE OIL",5%,,15/11/2017,
25030090,"SULPHUR OF ALL KINDS, OTHER THAN SUBLIMED SULPHUR, PRECIPITATED SULPHUR AND COLLODIAL SULPHUR - SULPHUR OF ALL KINDS, OTHER THAN SUBLIMED SULPHUR, PRECIPITATED SULPHUR AND COLLODIAL SULPHUR: OTHER",5%,,15/11/2017,
2504,NATURAL GRAPHITE,5%,,01/07/2017,
250410,IN POWDER OR IN FLAKES,5%,,01/07/2017,
25041010,"NATURAL GRAPHITE - IN POWDER OR IN FLAKES:GRAPHITE, CRYSTALLINE",5%,,01/07/2017,
25041020,"NATURAL GRAPHITE - IN POWDER OR IN FLAKES:GRAPHITE, AMORPHOUS",5%,,01/07/2017,
25041090,NATURAL GRAPHITE - IN POWDER OR IN FLAKES:OTHER,5%,,01/07/2017,
250490,OTHER,5%,,01/07/2017,
25049010,"NATURAL GRAPHITE - OTHER: GRAPHITE, MICRONISED",5%,,01/07/2017,
25049090,NATURAL GRAPHITE - OTHER: OTHER,5%,,01/07/2017,
2505,"NATURAL SANDS OF ALL KINDS, WHETHER OR NOT COLOURED, OTHER THAN METAL-BEARING SANDS OF CHAPTER 26",5%,,01/07/2017,
250510,SILICA SANDS AND QUARTZ SANDS,5%,,01/07/2017,
25051011,"NATURAL SANDS OF ALL KINDS, WHETHER OR NOT COLOURED, OTHER THAN METAL-BEARING SANDS OF CHAPTER 26 - SILICA SANDS AND QUARTZ SANDS: SILICA SANDS: PROCESSED (WHITE)",5%,,01/07/2017,
25051012,"NATURAL SANDS OF ALL KINDS, WHETHER OR NOT COLOURED, OTHER THAN METAL-BEARING SANDS OF CHAPTER 26 - SILICA SANDS AND QUARTZ SANDS: SILICA SANDS: PROCESSED (BROWN)",5%,,01/07/2017,
25051019,"NATURAL SANDS OF ALL KINDS, WHETHER OR NOT COLOURED, OTHER THAN METAL-BEARING SANDS OF CHAPTER 26 - SILICA SANDS AND QUARTZ SANDS: SILICA SANDS: OTHER",5%,,01/07/2017,
25051020,"NATURAL SANDS OF ALL KINDS, WHETHER OR NOT COLOURED, OTHER THAN METAL-BEARING SANDS OF CHAPTER 26 - SILICA SANDS AND QUARTZ SANDS: QUARTZ SANDS",5%,,01/07/2017,
25059000,"NATURAL SANDS OF ALL KINDS, WHETHER OR NOT COLOURED, OTHER THAN METAL-BEARING SANDS OF CHAPTER 26 OTHER",5%,,01/07/2017,
2506,"QUARTZ (OTHER THAN NATURAL SANDS); QUARTZITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE",5%,,01/07/2017,
250610,QUARTZ,5%,,01/07/2017,
25061010,"QUARTZ (OTHER THAN NATURAL SANDS); QUARTZITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE - QUARTZ: IN LUMPS",5%,,01/07/2017,
