HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
2701,"COAL; BRIQUETTES, OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL - COAL, WHETHER OR NOT PULVERISED, BUT NOT AGGLOMERATED:",5%,Rs.400 per tonne,01/07/2017,
27011100,"COAL; BRIQUETTES, OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL - COAL, WHETHER OR NOT PULVERISED, BUT NOT AGGLOMERATED: ANTHRACITE",5%,Rs.400 per tonne,01/07/2017,
27011200,"COAL; BRIQUETTES, OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL - COAL, WHETHER OR NOT PULVERISED, BUT NOT AGGLOMERATED: BITUMINOUS COAL",5%,Rs.400 per tonne,01/07/2017,
270119,OTHER COAL,5%,Rs.400 per tonne,01/07/2017,
27011910,"COAL; BRIQUETTES, OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL - COAL, WHETHER OR NOT PULVERISED, BUT NOT AGGLOMERATED: - OTHER COAL: COKING COAL",5%,Rs.400 per tonne,01/07/2017,
27011920,"COAL; BRIQUETTES, OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL - COAL, WHETHER OR NOT PULVERISED, BUT NOT AGGLOMERATED: - OTHER COAL: STEAM COAL",5%,Rs.400 per tonne,01/07/2017,
27011990,"COAL; BRIQUETTES, OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL - COAL, WHETHER OR NOT PULVERISED, BUT NOT AGGLOMERATED: - OTHER COAL: OTHER",5%,Rs.400 per tonne,01/07/2017,
270120,"BRIQUETTES, OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL",5%,Rs.400 per tonne,01/07/2017,
27012010,"COAL; BRIQUETTES, OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL - BRIQUETTES, OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL: ANTHRACITE AGGLOMERATED",5%,Rs.400 per tonne,01/07/2017,
27012090,"COAL; BRIQUETTES, OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL - BRIQUETTES, OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL: OTHER",5%,Rs.400 per tonne,01/07/2017,
