HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
2801,"FLUORINE, CHLORINE, BROMINE AND (IODINE)",12%,,01/07/2017,
28011000,"FLUORINE, CHLORINE, BROMINE (OTHER THAN IODINE)",18%,,01/07/2017,
28011000,"FLUORINE, CHLORINE, BROMINE AND IODINE - CHLORINE",18%,,01/07/2017,
280120,IODINE,12%,,01/07/2017,
28012000,"FLUORINE, CHLORINE, BROMINE AND IODINE - IODINE",12%,,01/07/2017,
280130,FLUORINE; BROMINE,18%,,01/07/2017,
28013010,"FLUORINE, CHLORINE, BROMINE AND IODINE - FLUORINE; BROMINE : FLUORINE",18%,,01/07/2017,
28013020,"FLUORINE, CHLORINE, BROMINE AND IODINE - FLUORINE; BROMINE : BROMINE",18%,,01/07/2017,
2802,"SULPHUR, SUBLIMED OR PRECIPITATED; COLLOIDAL SULPHUR",1800%,,01/07/2017,
280200,"SULPHUR, SUBLIMED OR PRECIPITATED; COLLOIDAL SULPHUR",1800%,,01/07/2017,
28020010,"SULPHUR, SUBLIMED OR PRECIPITATED; COLLOIDAL SULPHUR - SULPHUR, SUBLIMED OR PRECIPITATED; COLLOIDAL SULPHUR : SUBLIMED SULPHUR",1800%,,01/07/2017,
28020020,"SULPHUR, SUBLIMED OR PRECIPITATED; COLLOIDAL SULPHUR - SULPHUR, SUBLIMED OR PRECIPITATED; COLLOIDAL SULPHUR : PRECIPITATED SULPHUR",1800%,,01/07/2017,
28020030,"SULPHUR, SUBLIMED OR PRECIPITATED; COLLOIDAL SULPHUR - SULPHUR, SUBLIMED OR PRECIPITATED; COLLOIDAL SULPHUR : COLLOIDAL SULPHUR",1800%,,01/07/2017,
2803,CARBON (CARBON BLACKS AND OTHER FORMS OF CARBON NOT ELSEWHERE SPECIFIED OR INCLUDED),1800%,,01/07/2017,
280300,CARBON (CARBON BLACKS AND OTHER FORMS OF CARBON NOT ELSEWHERE SPECIFIED OR INCLUDED),1800%,,01/07/2017,
28030010,CARBON (CARBON BLACKS AND OTHER FORMS OF CARBON NOT ELSEWHERE SPECIFIED OR INCLUDED) - CARBON (CARBON BLACKS AND OTHER FORMS OF CARBON NOT ELSEWHERE SPECIFIED OR INCLUDED) : CARBON BLACKS,1800%,,01/07/2017,
28030020,CARBON (CARBON BLACKS AND OTHER FORMS OF CARBON NOT ELSEWHERE SPECIFIED OR INCLUDED) - CARBON (CARBON BLACKS AND OTHER FORMS OF CARBON NOT ELSEWHERE SPECIFIED OR INCLUDED) : ACETYLENE BLACK,1800%,,01/07/2017,
28030090,CARBON (CARBON BLACKS AND OTHER FORMS OF CARBON NOT ELSEWHERE SPECIFIED OR INCLUDED) - CARBON (CARBON BLACKS AND OTHER FORMS OF CARBON NOT ELSEWHERE SPECIFIED OR INCLUDED) : OTHER,1800%,,01/07/2017,
2804,"HYDROGEN, RARE GASES AND OTHER NON-METALS",18%,,01/07/2017,
28041000,"HYDROGEN, RARE GASES AND OTHER NON-METALS - HYDROGEN",18%,,01/07/2017,
28042100,"HYDROGEN, RARE GASES AND OTHER NON-METALS - RARE GASES : ARGON",18%,,01/07/2017,
280429,OTHER,18%,,01/07/2017,
28042910,"HYDROGEN, RARE GASES AND OTHER NON-METALS - RARE GASES : - OTHER : HELIUM",18%,,01/07/2017,
28042990,"HYDROGEN, RARE GASES AND OTHER NON-METALS - RARE GASES : - OTHER : OTHER",18%,,01/07/2017,
28043000,"HYDROGEN, RARE GASES AND OTHER NON-METALS - NITROGEN",18%,,01/07/2017,
280440,OXYGEN,18%,,01/07/2017,
28044010,MEDICAL GRADE OXYGEN,12%,,15/11/2017,
28044010,"HYDROGEN, RARE GASES AND OTHER NON-METALS - OXYGEN :MEDICINAL GRADE",12%,,15/11/2017,
28044090,"HYDROGEN, RARE GASES AND OTHER NON-METALS - OXYGEN :OTHER",18%,,01/07/2017,
280450,BORON; TELLURIUM,18%,,01/07/2017,
28045010,"HYDROGEN, RARE GASES AND OTHER NON-METALS - BORON; TELLURIUM : BORON",18%,,01/07/2017,
28045020,"HYDROGEN, RARE GASES AND OTHER NON-METALS - BORON; TELLURIUM : TELLURIUM",18%,,01/07/2017,
28046100,"HYDROGEN, RARE GASES AND OTHER NON-METALS - SILICON : CONTAINING BY WEIGHT NOT LESS THAN 99.99% OF SILICON",18%,,01/07/2017,
28046900,"HYDROGEN, RARE GASES AND OTHER NON-METALS - SILICON : OTHER",18%,,01/07/2017,
280470,PHOSPHORUS,18%,,01/07/2017,
