HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
2901,ACYCLIC HYDROCARBONS,18%,,01/07/2017,
29011000,ACYCLIC HYDROCARBONS - SATURATED,18%,,01/07/2017,
29012100,ACYCLIC HYDROCARBONS - UNSATURATED : ETHYLENE,18%,,01/07/2017,
29012200,ACYCLIC HYDROCARBONS - UNSATURATED : PROPENE (PROPYLENE),18%,,01/07/2017,
29012300,ACYCLIC HYDROCARBONS - UNSATURATED : BUTENE (BUTYLENE) AND ISOMERS THEREOF,18%,,01/07/2017,
29012400,"ACYCLIC HYDROCARBONS - UNSATURATED : BUTA-1,3-DIENE AND ISOPRENE",18%,,01/07/2017,
290129,OTHER,18%,,01/07/2017,
29012910,"ACYCLIC HYDROCARBONS - UNSATURATED :-OTHER : ACETYLENE, WHETHER OR NOT IN DISSOLVED CONDITION",18%,,01/07/2017,
29012920,ACYCLIC HYDROCARBONS - UNSATURATED :-OTHER : HEPTENE (HEPTYLENE),18%,,01/07/2017,
29012930,DIHYDROMYRCENE,18%,,01/07/2017,
29012940,TETRADECENE,18%,,01/07/2017,
29012990,ACYCLIC HYDROCARBONS - UNSATURATED :-OTHER : OTHER,18%,,01/07/2017,
2902,"CYCLIC HYDROCARBONS - CYCLANES, CYCLENES AND CYCLOTERPENES :",18%,,01/07/2017,
29021100,"CYCLIC HYDROCARBONS - CYCLANES, CYCLENES AND CYCLOTERPENES : CYCLOHEXANE",18%,,01/07/2017,
290219,OTHER,18%,,01/07/2017,
29021900,"CYCLIC HYDROCARBONS - CYCLANES, CYCLENES AND CYCLOTERPENES : OTHER",18%,,01/07/2017,
29021910,CYCLOPROPYL ACETETYLENE,18%,,01/07/2017,
29021990,OTHER,18%,,01/07/2017,
29022000,CYCLIC HYDROCARBONS- BENZENE,18%,,01/07/2017,
29023000,CYCLIC HYDROCARBONS -TOLUENE,18%,,01/07/2017,
29024100,CYCLIC HYDROCARBONS - XYLENES : O-XYLENE,18%,,01/07/2017,
29024200,CYCLIC HYDROCARBONS - XYLENES : M-XYLENE,18%,,01/07/2017,
29024300,CYCLIC HYDROCARBONS - XYLENES : P-XYLENE,18%,,01/07/2017,
29024400,CYCLIC HYDROCARBONS - XYLENES : MIXED XYLENE ISOMERS,18%,,01/07/2017,
29025000,CYCLIC HYDROCARBONS - STYRENE,18%,,01/07/2017,
29026000,CYCLIC HYDROCARBONS - ETHYLBENZENE,18%,,01/07/2017,
29027000,CYCLIC HYDROCARBONS - CUMENE,18%,,01/07/2017,
290290,OTHER,18%,,01/07/2017,
29029010,CYCLIC HYDROCARBONS - OTHER :DIPENTENE,18%,,01/07/2017,
29029020,CYCLIC HYDROCARBONS - OTHER :DIPHENYL METHANE,18%,,01/07/2017,
29029030,CYCLIC HYDROCARBONS - OTHER :DODECYCLIC BENZENES (EXCLUDING MIXED ALKYLARENES),18%,,01/07/2017,
29029040,"CYCLIC HYDROCARBONS - OTHER :NAPTHALENE, PURE",18%,,01/07/2017,
29029050,CYCLIC HYDROCARBONS - OTHER :ISOBUTYL BENZENE,18%,,01/07/2017,
29029060,N-PROPYL BENZENE,18%,,01/07/2017,
29029090,CYCLIC HYDROCARBONS - OTHER :OTHER,18%,,01/07/2017,
2903,HALOGENATED DERIVATIVES OF HYDROCARBONS - SATURATED CHLORINATED DERIVATIVES OF ACYCLIC HYDROCARBONS :,18%,,01/07/2017,
290311,CHLOROMETHANE (METHYL CHLORIDE) AND CHLOROETHANE (ETHYL CHLORIDE),18%,,01/07/2017,
