HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
193,LIVE FISH - ORNAMENTAL FISH:,Nil,,01/07/2017,
791104,LIVE FISH -ORNAMENTAL FISH--FRESHWATER,Nil,,01/07/2017,
3011900.0,LIVE FISH -ORNAMENTAL FISH--OTHER,Nil,,01/07/2017,
3019100.0,"LIVE FISHOTHER LIVE FISH TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCORHYNCHUS CLARKI, ONCORHYNCHUSAGUABONITA, ONCORHYNCHUS GILAE,ONCORHYNCHUS APACHE AND ONCORHYNCHUSCHRYSOGASTER",Nil,,01/07/2017,
3019200.0,LIVE FISHOTHER LIVE FISH EELS (ANGUILLA SPP.),Nil,,01/07/2017,
3019400.0,LIVE FISH-OTHER LIVE FISH-- BLUEFIN TUNAS (THUNNUS THYNNUS),Nil,,01/07/2017,
3019500.0,LIVE FISH-OTHER LIVE FISH--SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII),Nil,,01/07/2017,
3019900.0,LIVE FISHOTHER LIVE FISH OTHER,Nil,,01/07/2017,
194,"FISH, FRESH OR CHILLED, EXCLUDING FISH FILLETS AND OTHER FISH MEAT OF HEADING 0304 - SALMONIDAE, EXCLUDING LIVERS AND ROES:",Nil,,01/07/2017,
795200,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304SALMONIDAE, EXCLUDING LIVERS AND ROES : TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCORHYNCHUS CLARKI, ONCORHYNCHUSAGUABONITA, ONCORHYNCHUS GILAE,ONCORHYNCHUS APACHE AND ONCO",Nil,,01/07/2017,
795328,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304-SALMONIDAE, EXCLUDING LIVERS AND ROES : --PACIFIC SALMON (ONCORHYNCHUS NERKA, ONCORHYNCHUS GORBUSCHA, ONCORHYNCHUSKETA, ONCORHYNCHUS TSCHAWYTSCHA,ONCORHYNCHUS KISUTCH, ONCOR",Nil,,01/07/2017,
795392,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304-SALMONIDAE, EXCLUDING LIVERS AND ROES : --ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON (HUCHO HUCHO)",Nil,,01/07/2017,
3021900.0,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304SALMONIDAE, EXCLUDING LIVERS AND ROES : OTHER",Nil,,01/07/2017,
795712,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304FLAT FISH (PLEUTRONECTIDAE, BOTHIDAE,CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAEAND CITHARIDAE), EXCLUDING LIVERS AND ROES : HALIBUT (REINHARDTIUS HIPPOGLOSSOIDES, HIPPOGLOSSUS H",Nil,,01/07/2017,
795776,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304FLAT FISH (PLEUTRONECTIDAE, BOTHIDAE,CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAEAND CITHARIDAE), EXCLUDING LIVERS AND ROES : PLAICE (PLEURONECTES PLATESSA)",Nil,,01/07/2017,
