HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
3101,ALL GOODS I.E. ANIMAL OR VEGETABLE FERTILISERS OR ORGANIC FERTILISERS PUT UP IN UNIT CONTAINERS AND BEARING A BRAND NAME,5%,,01/07/2017,
3101,"ALL GOODS AND ORGANIC MANURE OTHER THAN THOSE PUT UP IN UNIT CONTAINER AND,-(A) BEARING A REGISTERED BRAND NAME; OR (B) BEARING A BRAND NAME ON WHICH AN ACTIONABLE CLAIM OR ENFORCEABLE RIGHT IN A COURT OF LAW IS AVAILABLE [OTHER THAN THOSE WHERE ANY ACTIONABLE CLAIM OR ENFORCEABLE RIGHT IN RESPECT OF SUCH BRAND NAME HAS BEEN FOREGONE VOLUNTARILY, SUBJECT TO THE CONDITIONS AS IN THE ANNEXURE I]",5%,,01/07/2017,
3101,"ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TREATED; FERTILISERS PRODUCED BY THE MIXING OR CHEMICAL TREATMENT OF ANIMAL OR VEGETABLE PRODUCTS",5%,,01/07/2017,
310100,"ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TREATED; FERTILISERS PRODUCED BY THE MIXING OR CHEMICAL TREATMENT OF ANIMAL OR VEGETABLE PRODUCTS",5%,,01/07/2017,
31010010,"ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TREATED; FERTILISERS PRODUCED BY THE MIXING OR CHEMICAL TREATMENT OF ANIMAL OR VEGETABLE PRODUCTS ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TRE",5%,,01/07/2017,
31010091,"ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TREATED; FERTILISERS PRODUCED BY THE MIXING OR CHEMICAL TREATMENT OF ANIMAL OR VEGETABLE PRODUCTS ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TRE",5%,,01/07/2017,
31010092,"ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TREATED; FERTILISERS PRODUCED BY THE MIXING OR CHEMICAL TREATMENT OF ANIMAL OR VEGETABLE PRODUCTS ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TRE",5%,,01/07/2017,
31010099,"ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TREATED; FERTILISERS PRODUCED BY THE MIXING OR CHEMICAL TREATMENT OF ANIMAL OR VEGETABLE PRODUCTS ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TRE",5%,,01/07/2017,
3102,"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS, OTHER THAN THOSE WHICH ARE CLEARLY NOT TO BE USED AS FERTILIZERS",5%,,01/07/2017,
3102,"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS, WHICH ARE CLEARLY NOT TO BE USED AS FERTILIZERS",18%,,01/07/2017,
