HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
3601,PROPELLANT POWDERS,18%,,01/07/2017,
360100,PROPELLANT POWDERS,18%,,01/07/2017,
36010010,PROPELLANT POWDERS PROPELLANT POWDERS: BLASTING POWDER,18%,,01/07/2017,
36010020,PROPELLANT POWDERS PROPELLANT POWDERS: GUN POWDER,18%,,01/07/2017,
36010090,PROPELLANT POWDERS PROPELLANT POWDERS: OTHER,18%,,01/07/2017,
3602,"PREPARED EXPLOSIVES, OTHER THAN PROPELLANT POWDERS",18%,,15/11/2017,
360200,"PREPARED EXPLOSIVES, OTHER THAN PROPELLANT POWDERS",18%,,15/11/2017,
36020010,"PREPARED EXPLOSIVES, OTHER THAN PROPELLANT POWDERS PREPARED EXPLOSIVES, OTHER THAN PROPELLANT POWDERS: INDUSTRIAL EXPLOSIVES",18%,,15/11/2017,
36020090,"PREPARED EXPLOSIVES, OTHER THAN PROPELLANT POWDERS PREPARED EXPLOSIVES, OTHER THAN PROPELLANT POWDERS: OTHER",18%,,15/11/2017,
3603,SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS,18%,,01/07/2017,
360300,SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS,18%,,01/07/2017,
36030011,SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS: SAFETY FUSES: FOR MINE BLASTING,18%,,01/07/2017,
36030019,SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS: OTHER,18%,,01/07/2017,
36030020,SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS: DETONATING FUSES,18%,,01/07/2017,
36030031,SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS: PERCUSSION AND DETONATING CAPS: NONORDNANCE,18%,,01/07/2017,
36030039,SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS: PERCUSSION AND DETONATING CAPS: OTHER,18%,,01/07/2017,
36030041,SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS: IGNITERS: NONORDNANCE,18%,,01/07/2017,
36030049,SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS; IGNITERS; ELECTRIC DETONATORS: IGNITERS: OTHER,18%,,01/07/2017,
