HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
3901,"POLYMERS OF ETHYLENE, IN PRIMARY FORMS",18%,,01/07/2017,
390110,POLYETHYLENE HAVING A SPECIFIC GRAVITY OF LESS THAN 0.94,18%,,01/07/2017,
39011010,"POLYMERS OF ETHYLENE, IN PRIMARY FORMS - POLYETHYLENE HAVING A SPECIFIC GRAVITY OF LESS THAN 0.94 : LINEAR LOW DENSITY POLYETHYLENE (LLDPE)",18%,,01/07/2017,
39011020,LOW DENSITY POLYETHYLENE (LDPE),18%,,01/07/2017,
39011090,"POLYMERS OF ETHYLENE, IN PRIMARY FORMS - POLYETHYLENE HAVING A SPECIFIC GRAVITY OF LESS THAN 0.94 : OTHER",18%,,01/07/2017,
39012000,"POLYMERS OF ETHYLENE, IN PRIMARY FORMS POLYETHYLENE HAVING A SPECIFIC GRAVITY OF 0.94 OR MORE",18%,,01/07/2017,
39013000,"POLYMERS OF ETHYLENE, IN PRIMARY FORMS ETHYLENE - VINYL ACETATE COPOLYMERS",18%,,01/07/2017,
390140,"ETHYLENE-ALPHA-OLEFIN COPOLYMERS, HAVING A SPECIFIC GRAVITY OF LESS THAN 0.94",18%,,01/07/2017,
39014010,"LINEAR LOW DENSITY POLYETHYLENE (LLDPE), IN WHICH ETHYLENE MONOMER UNIT CONTRIBUTES LESS THAN 95% BY WEIGHT OF THE TOTAL POLYMER CONTENT",18%,,01/07/2017,
39014090,OTHER,18%,,01/07/2017,
390190,OTHER,18%,,01/07/2017,
39019000,OTHER,18%,,01/07/2017,
39019010,"POLYMERS OF ETHYLENE, IN PRIMARY FORMS - OTHER: LINEAR MEDIUM DENSITY POLYETHYLENE (LMDPE)",18%,,01/07/2017,
39019090,"POLYMERS OF ETHYLENE, IN PRIMARY FORMS - OTHER: OTHER",18%,,01/07/2017,
3902,"POLYMERS OF PROPYLENE OR OF OTHER OLEFINS, IN PRIMARY FORMS",18%,,01/07/2017,
39021000,"POLYMERS OF PROPYLENE OR OF OTHER OLEFINS, IN PRIMARY FORMS POLYPROPYLENE",18%,,01/07/2017,
39022000,"POLYMERS OF PROPYLENE OR OF OTHER OLEFINS, IN PRIMARY FORMS POLY ISO BUTYLENE",18%,,01/07/2017,
39023000,"POLYMERS OF PROPYLENE OR OF OTHER OLEFINS, IN PRIMARY FORMS PROPYLENE COPOLYMERS",18%,,01/07/2017,
39029000,"POLYMERS OF PROPYLENE OR OF OTHER OLEFINS, IN PRIMARY FORMS OTHER",18%,,01/07/2017,
3903,"POLYMERS OF STYRENE, IN PRIMARY FORMS - POLYSTYRENE:",18%,,01/07/2017,
39031100,"POLYMERS OF STYRENE, IN PRIMARY FORMS - POLYSTYRENE: EXPANSIBLE",18%,,01/07/2017,
390319,OTHER,18%,,01/07/2017,
39031910,"POLYMERS OF STYRENE, IN PRIMARY FORMS - POLYSTYRENE: OTHER: MOULDING POWDER",18%,,01/07/2017,
39031990,"POLYMERS OF STYRENE, IN PRIMARY FORMS - POLYSTYRENE: OTHER: OTHER",18%,,01/07/2017,
39032000,"POLYMERS OF STYRENE, IN PRIMARY FORMS - STYRENE - ACRYLONITRILE (SAN) COPOLYMERS",18%,,01/07/2017,
39033000,"POLYMERS OF STYRENE, IN PRIMARY FORMS - ACRYLONITRILE - BUTADINE - STYRENE (ABS) COPOLYMERS",18%,,01/07/2017,
39039010,"POLYMERS OF STYRENE, IN PRIMARY FORMS - OTHER: COPOLYMERS, SOLELY OF STYRENE WITH ALLYL ALCOHOL, OF ANY ACETYL VALUE OF 175 OR MORE",18%,,01/07/2017,
39039020,"POLYMERS OF STYRENE, IN PRIMARY FORMS - OTHER: BROMINATED POLYSTYRENE, CONTAINING BY WEIGHT 58% OR MORE BUT NOT MORE THAN 71% OF BROMINE, IN ONE OF THE FORMS MENTIONED IN NOTE 6(B) TO THIS CHAPTER",18%,,01/07/2017,
