HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
4001,"NATURAL RUBBER, BALATA, GUTTA-PERCHA, GUAYULE, CHICLE AND SIMILAR NATURAL GUMS, IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP",5%,,01/07/2017,
400110,"NATURAL RUBBER LATEX, WHETHER OR NOT PRE-VULCANISED",5%,,01/07/2017,
40011010,"NATURAL RUBBER, BALATA, GUTTA-PERCHA, GUAYULE, CHICLE AND SIMILAR NATURAL GUMS, IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP - NATURAL RUBBER LATEX, WHETHER OR NOT PREVULCANISED : PREVULCANISED",5%,,01/07/2017,
40011020,"NATURAL RUBBER, BALATA, GUTTA-PERCHA, GUAYULE, CHICLE AND SIMILAR NATURAL GUMS, IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP - NATURAL RUBBER LATEX, WHETHER OR NOT PREVULCANISED : OTHER THAN PREVULCANISED",5%,,01/07/2017,
40012100,"NATURAL RUBBER, BALATA, GUTTA-PERCHA, GUAYULE, CHICLE AND SIMILAR NATURAL GUMS, IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP - NATURAL RUBBER IN OTHER FORMS : SMOKED SHEETS",5%,,01/07/2017,
40012200,"NATURAL RUBBER, BALATA, GUTTA-PERCHA, GUAYULE, CHICLE AND SIMILAR NATURAL GUMS, IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP - NATURAL RUBBER IN OTHER FORMS : TECHNICALLY SPECIFIED NATURAL RUBBER (TSNR)",5%,,01/07/2017,
400129,OTHER,5%,,01/07/2017,
40012910,"NATURAL RUBBER, BALATA, GUTTA-PERCHA, GUAYULE, CHICLE AND SIMILAR NATURAL GUMS, IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP - NATURAL RUBBER IN OTHER FORMS : OTHER : HEVEA",5%,,01/07/2017,
40012920,"NATURAL RUBBER, BALATA, GUTTA-PERCHA, GUAYULE, CHICLE AND SIMILAR NATURAL GUMS, IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP - NATURAL RUBBER IN OTHER FORMS : OTHER : PALE CREPE",5%,,01/07/2017,
40012930,"NATURAL RUBBER, BALATA, GUTTA-PERCHA, GUAYULE, CHICLE AND SIMILAR NATURAL GUMS, IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP - NATURAL RUBBER IN OTHER FORMS : OTHER : ESTATE BROWN CREPE",5%,,01/07/2017,
40012940,"NATURAL RUBBER, BALATA, GUTTA-PERCHA, GUAYULE, CHICLE AND SIMILAR NATURAL GUMS, IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP - NATURAL RUBBER IN OTHER FORMS : OTHER : OIL EXTENDED NATURAL RUBBER",5%,,01/07/2017,
