HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
4401,"FUEL WOOD, IN LOGS, IN BILLETS, IN TWIGS, IN FAGGOTS OR IN SIMILAR FORMS; WOOD IN CHIPS OR PARTICLES; SAWDUST AND WOOD WASTE AND SCRAP, WHETHER OR NOT AGGLOMERATED IN LOGS, BRIQUETTES, PELLETS OR SIMILAR FORMS",5%,,01/07/2017,
4401,"FUEL WOOD, IN LOGS, IN BILLETS, IN TWIGS, IN FAGGOTS OR IN SIMILAR FORMS; WOOD IN CHIPS OR PARTICLES; SAWDUST AND WOOD WASTE AND SCRAP, WHETHER OR NOT AGGLOMERATED IN LOGS, BRIQUETTES, PELLETS OR SIMILAR FORMS",0%,,01/07/2017,
440110,"FUEL WOOD, IN LOGS, IN BILLETS, IN TWIGS, IN FAGGOTS OR IN SIMILAR FORMS",5%,,01/07/2017,
44011010,"FUEL WOOD, IN LOGS, IN BILLETS, IN TWIGS, IN FAGGOTS OR IN SIMILAR FORMS; WOOD IN CHIPS OR PARTICLES; SAWDUST AND WOOD WASTE AND SCRAP, WHETHER OR NOT AGGLOMERATED IN LOGS, BRIQUETTES, PELLETS OR SIMILAR FORMS- FUEL WOOD, IN LOGS, IN BILLETS, IN TWIGS, IN",5%,,01/07/2017,
44011090,"FUEL WOOD, IN LOGS, IN BILLETS, IN TWIGS, IN FAGGOTS OR IN SIMILAR FORMS; WOOD IN CHIPS OR PARTICLES; SAWDUST AND WOOD WASTE AND SCRAP, WHETHER OR NOT AGGLOMERATED IN LOGS, BRIQUETTES, PELLETS OR SIMILAR FORMS- FUEL WOOD, IN LOGS, IN BILLETS, IN TWIGS, IN",5%,,01/07/2017,
440111,CONIFEROUS,5%,,01/07/2017,
44011110,IN LOGS,5%,,01/07/2017,
44011190,OTHER,5%,,01/07/2017,
440112,NON-CONIFEROUS,5%,,01/07/2017,
44011210,IN LOGS,5%,,01/07/2017,
44011290,OTHER,5%,,01/07/2017,
44012100,"FUEL WOOD, IN LOGS, IN BILLETS, IN TWIGS, IN FAGGOTS OR IN SIMILAR FORMS; WOOD IN CHIPS OR PARTICLES; SAWDUST AND WOOD WASTE AND SCRAP, WHETHER OR NOT AGGLOMERATED IN LOGS, BRIQUETTES, PELLETS OR SIMILAR FORMS - WOOD IN CHIPS OR PARTICLES : CONIFEROUS",5%,,01/07/2017,
44012200,"FUEL WOOD, IN LOGS, IN BILLETS, IN TWIGS, IN FAGGOTS OR IN SIMILAR FORMS; WOOD IN CHIPS OR PARTICLES; SAWDUST AND WOOD WASTE AND SCRAP, WHETHER OR NOT AGGLOMERATED IN LOGS, BRIQUETTES, PELLETS OR SIMILAR FORMS - WOOD IN CHIPS OR PARTICLES : NON-CONIFEROUS",5%,,01/07/2017,
440131,WOOD PELLETS,5%,,01/07/2017,
44013100,"FUEL WOOD, IN LOGS, IN BILLETS, IN TWIGS, IN FAGGOTS OR IN SIMILAR FORMS; WOOD IN CHIPS OR PARTICLES; SAWDUST AND WOOD WASTE AND SCRAP, WHETHER OR NOT AGGLOMERATED IN LOGS, BRIQUETTES, PELLETS OR SIMILAR FORMS - SAWDUST AND WOOD WASTE AND SCRAP, WHETHER O",5%,,01/07/2017,
440139,OTHER,5%,,01/07/2017,
