HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
4901,"PRINTED BOOKS, BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, WHETHER OR NOT IN SINGLE SHEETS",5%,,01/07/2017,
490110,"IN SINGLE SHEETS, WHETHER OR NOT FOLDED",5%,,01/07/2017,
49011010,"PRINTED BOOKS, BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, WHETHER OR NOT IN SINGLE SHEETS IN SINGLE SHEETS, WHETHER OR NOT FOLDED : PRINTED BOOKS",5%,,01/07/2017,
49011020,"PRINTED BOOKS, BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, WHETHER OR NOT IN SINGLE SHEETS IN SINGLE SHEETS, WHETHER OR NOT FOLDED : PAMPHLETS, BOOKLETS, BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER",5%,,01/07/2017,
49019100,"PRINTED BOOKS, BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, WHETHER OR NOT IN SINGLE SHEETS - OTHER : DICTIONARIES AND ENCYCLOPAEDIAS, AND SERIAL INSTALMENTS THEREOF",5%,,01/07/2017,
49019900,"PRINTED BOOKS, BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, WHETHER OR NOT IN SINGLE SHEETS - OTHER : OTHER",5%,,01/07/2017,
4902,"NEWSPAPERS, JOURNALS AND PERIODICALS, WHETHER OR NOT I LLUSTRATED OR CONTAINING ADVERTISING MATERIAL",Nil,,01/07/2017,
490210,APPEARING AT LEAST FOUR TIMES A WEEK,Nil,,01/07/2017,
49021010,"NEWSPAPERS, JOURNALS AND PERIODICALS, WHETHER OR NOT ILLUSTRATED OR CONTAINING ADVERTISING MATERIAL APPEARING AT LEAST FOUR TIMES A WEEK : NEWSPAPERS",Nil,,01/07/2017,
49021020,"NEWSPAPERS, JOURNALS AND PERIODICALS, WHETHER OR NOT ILLUSTRATED OR CONTAINING ADVERTISING MATERIAL APPEARING AT LEAST FOUR TIMES A WEEK : JOURNALS AND PERIODICALS",Nil,,01/07/2017,
490290,OTHER,Nil,,01/07/2017,
49029010,"NEWSPAPERS, JOURNALS AND PERIODICALS, WHETHER OR NOT ILLUSTRATED OR CONTAINING ADVERTISING MATERIAL OTHER : NEWSPAPERS",Nil,,01/07/2017,
49029020,"NEWSPAPERS, JOURNALS AND PERIODICALS, WHETHER OR NOT ILLUSTRATED OR CONTAINING ADVERTISING MATERIAL OTHER : JOURNALS AND PERIODICALS",Nil,,01/07/2017,
4903,"CHILDREN'S PICTURE, DRAWING OR COLOURING BOOKS",Nil,,01/07/2017,
490300,"CHILDREN'S PICTURE, DRAWING OR COLOURING BOOKS",Nil,,01/07/2017,
49030010,"CHILDREN'S PICTURE, DRAWING OR COLOURING BOOKS CHILDREN'S PICTURE, DRAWING OR COLOURING BOOKS : PICTURE BOOKS",Nil,,01/07/2017,
49030020,"CHILDREN'S PICTURE, DRAWING OR COLOURING BOOKS CHILDREN'S PICTURE, DRAWING OR COLOURING BOOKS : DRAWING OR COLOURING BOOKS",Nil,,01/07/2017,
4904,"MUSIC, PRINTED OR IN MANUSCRIPT, WHETHER OR NOT FOUND OR ILLUSTRATED",Nil,,01/07/2017,
49040000,"MUSIC, PRINTED OR IN MANUSCRIPT, WHETHER OR NOT FOUND OR ILLUSTRATED",Nil,,01/01/2019,
4905,"MAPS AND HYDROGRAPHIC OR SIMILAR CHARTS OF ALL KINDS, INCLUDING ATLASES, WALL MAPS, TOPOGRAPHICAL PLANS AND GLOBES, PRINTED",Nil,,01/07/2017,
49051000,"MAPS AND HYDROGRAPHIC OR SIMILAR CHARTS OF ALL KINDS, INCLUDING ATLASES, WALL MAPS, TOPOGRAPHICAL PLANS AND GLOBES, PRINTED GLOBES",Nil,,01/07/2017,
49059100,"MAPS AND HYDROGRAPHIC OR SIMILAR CHARTS OF ALL KINDS, INCLUDING ATLASES, WALL MAPS, TOPOGRAPHICAL PLANS AND GLOBES, PRINTED - OTHER : IN BOOK FORM",Nil,,01/07/2017,
490599,OTHER,Nil,,01/07/2017,
