HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
321,"HUMAN HAIR, UNWORKED, WHETHER OR NOT WASHED OR SCOURED; WASTE OF HUMAN HAIR",Nil,,01/07/2017,
1314824,"HUMAN HAIR, UNWORKED, WHETHER OR - NOT WASHED OR SCOURED; WASTE OF - HUMAN HAIR - HUMAN HAIR, UNWORKED, WHETHER OR NOT WASHED OR SCOURED; WASTE OF HUMAN HAIR : - HUMAN HAIR, UNWORKED,WHETHER OR NOT WASHED OR SCOURED",Nil,,01/07/2017,
1314832,"HUMAN HAIR, UNWORKED, WHETHER OR - NOT WASHED OR SCOURED; WASTE OF - HUMAN HAIR - HUMAN HAIR, UNWORKED, WHETHER OR NOT WASHED OR SCOURED; WASTE OF HUMAN HAIR : - WASTE OF HUMAN HAIR",Nil,,01/07/2017,
322,"PIGS, HOGS OR BOARS BRISTLES AND HAIR; BADGER HAIR AND OTHER BRUSH MAKING HAIR; WASTE OF SUCH BRISTLES OR HAIR",5%,,01/07/2017,
1319432,"PIGS, HOGSOR BOARSBRISTLES AND HAIR;BADGER HAIR AND OTHER BRUSH MAKINGHAIR; WASTE OF SUCH BRISTLES OR HAIR - PIGS, HOGS OR BOARS BRISTLES AND HAIR AND - WASTE THEREOF : - PIGS, HOGS OR BOARS BRISTLES AND HAIR",5%,,01/07/2017,
1319440,"PIGS, HOGS OR BOARS BRISTLES AND HAIR;BADGER HAIR ANDOTHER BRUSH MAKING - HAIR; WASTE OF SUCH BRISTLES OR HAIR - PIGS, HOGS OR BOARS BRISTLES AND HAIR AND WASTE THEREOF : - WASTE OF PIGS, HOGS OR BOARS BRISTLES AND HAIR",5%,,01/07/2017,
5029010.0,"PIGS, HOGS OR BOARS BRISTLES AND HAIR; - BADGER HAIR AND OTHER BRUSH MAKING - HAIR; WASTE OF SUCH BRISTLES OR HAIR - OTHER : - BADGER HAIR AND OTHER BRUSH MAKING HAIR",5%,,01/07/2017,
5029020.0,"PIGS, HOGS OR BOARS BRISTLES AND HAIR; - BADGER HAIR AND OTHER BRUSH MAKING - HAIR; WASTE OF SUCH BRISTLES OR HAIR - OTHER : - YAK TAIL HAIR",5%,,01/07/2017,
5029090.0,"PIGS, HOGS OR BOARS BRISTLES AND HAIR; - BADGER HAIR AND OTHER BRUSH MAKING - HAIR; WASTE OF SUCH BRISTLES OR HAIR - OTHER : - OTHER",5%,,01/07/2017,
323,-,0%,,01/07/2017,
1323008,"HORSEHAIR AND HORSEHAIR WASTE, WHETHER OR NOT PUT UP AS A LAYER WITH OR WITHOUT SUPPORTING MATERIAL",0%,,01/07/2017,
324,"GUTS, BLADDERS AND STOMACHS OF ANIMALS (OTHER THAN FISH), WHOLE AND PIECES THEREOF, FRESH, CHILLED, FROZEN, SALTED, IN BRINE, DRIED OR SMOKED",5%,,01/07/2017,
324,"GUTS, BLADDERS AND STOMACHS OF ANIMALS (OTHER THAN FISH), WHOLE AND PIECES THEREOF, FRESH, CHILLED, FROZEN, SALTED, IN BRINE, DRIED OR SMOKED",0%,,01/07/2017,
1327112,"GUTS, BLADDERS AND STOMACHS OF ANIMALS - (OTHER THAN FISH), WHOLE AND PIECES - THEREOF, FRESH, CHILLED, FROZEN, SALTED, - IN BRINE, DRIED OR SMOKED - GUTS, BLADDERS AND STOMACHS OF ANIMALS - (OTHER THAN FISH), WHOLE AND PIECES - THEREOF, FRESH, CHILLED, F",5%,,01/07/2017,
