HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
5001,SILK-WORM COCOONS SUITABLE FOR REELING,Nil,,01/07/2017,
50010000,SILK-WORM COCOONS SUITABLE FOR REELING,Nil,,01/07/2017,
5002,RAW SILK (NOT THROWN),Nil,,01/07/2017,
500200,RAW SILK (NOT THROWN),Nil,,01/07/2017,
50020010,RAW SILK (NOT THROWN) RAW SILK (NOT THROWN) MULBERRY RAW SILK,Nil,,01/07/2017,
50020020,RAW SILK (NOT THROWN) RAW SILK (NOT THROWN) MULBERRY DUPION SILK,Nil,,01/07/2017,
50020030,RAW SILK (NOT THROWN) RAW SILK (NOT THROWN) NON-MULBERRY SILK,Nil,,01/07/2017,
5003,"SILK WASTE (INCLUDING COCOONS UNSUITABLE FOR REELING, YARN WASTE AND GARNETTED STOCK)",Nil,,01/07/2017,
500300,"SILK WASTE (INCLUDING COCOONS UNSUITABLE FOR REELING, YARN WASTE AND GARNETED STOCK)",Nil,,01/07/2017,
50030010,MULBERRY SILK WASTE,Nil,,01/07/2017,
50030020,TUSSAR SILK WASTE,Nil,,01/07/2017,
50030030,DRI WASTE,Nil,,01/07/2017,
50030040,MUNGA WASTE,Nil,,01/07/2017,
50030090,SILK WASTE - OTHER,Nil,,01/07/2017,
50031010,"SILK WASTE (INCLUDING COCOONS UNSUITABLE FOR REELING, YARN WASTE AND GARNETTED STOCK) NOT CARDED OR COMBED MULBERRY SILK WASTE",Nil,,01/07/2017,
50031020,"SILK WASTE (INCLUDING COCOONS UNSUITABLE FOR REELING, YARN WASTE AND GARNETTED STOCK) NOT CARDED OR COMBED TUSSAR WASTE",Nil,,01/07/2017,
50031090,"SILK WASTE (INCLUDING COCOONS UNSUITABLE FOR REELING, YARN WASTE AND GARNETTED STOCK) NOT CARDED OR COMBED OTHER",Nil,,01/07/2017,
50039010,"SILK WASTE (INCLUDING COCOONS UNSUITABLE FOR REELING, YARN WASTE AND GARNETTED STOCK) - OTHER : MULBERRY SILK WASTE",Nil,,01/07/2017,
50039020,"SILK WASTE (INCLUDING COCOONS UNSUITABLE FOR REELING, YARN WASTE AND GARNETTED STOCK) - OTHER : TUSSAR WASTE",Nil,,01/07/2017,
50039030,"SILK WASTE (INCLUDING COCOONS UNSUITABLE FOR REELING, YARN WASTE AND GARNETTED STOCK) - OTHER : ERI WASTE",Nil,,01/07/2017,
50039040,"SILK WASTE (INCLUDING COCOONS UNSUITABLE FOR REELING, YARN WASTE AND GARNETTED STOCK) - OTHER : MUNGA WASTE",Nil,,01/07/2017,
50039090,"SILK WASTE (INCLUDING COCOONS UNSUITABLE FOR REELING, YARN WASTE AND GARNETTED STOCK) - OTHER : OTHER",Nil,,01/07/2017,
5004,SILK YARN (OTHER THAN YARN SPUN FROM SILK WASTE) NOT PUT UP FOR RETAIL SALE,5%,,01/07/2017,
500400,SILK YARN (OTHER THAN YARN SPUN FROM SILK WASTE) NOT PUT UP FOR RETAIL SALE,5%,,01/07/2017,
50040010,(OTHER THAN YARN SPUN FROM SILK WASTE) NOT PUT UP FOR RETAIL SALE : 100 PERCENT MULBERRY DUPION SILK YARN,5%,,01/07/2017,
50040090,SILK YARN (OTHER THAN YARN SPUN FROM SILK WASTE) NOT PUT UP FOR RETAIL SALE SILK YARN (OTHER THAN YARN SPUN FROM SILK WASTE) NOT PUT UP FOR RETAIL SALE : OTHER,5%,,01/07/2017,
5005,"YARN SPUN FROM SILK WASTE, NOT PUT UP FOR RETAIL SALE",5%,,01/07/2017,
500500,"YARN SPUN FROM SILK WASTE, NOT PUT UP FOR RETAIL SALE",5%,,01/07/2017,
50050011,"YARN SPUN FROM SILK WASTE, NOT PUT UP FOR RETAIL SALE YARN SPUN FROM SILK WASTE, NOT PUT UP FOR RETAIL SALE: - CONTAINING 85 PERCENT OR MORE BY WEIGHT OF SILK WASTE: OTHER THAN NOIL SILK",5%,,01/07/2017,
50050012,"YARN SPUN FROM SILK WASTE, NOT PUT UP FOR RETAIL SALE YARN SPUN FROM SILK WASTE, NOT PUT UP FOR RETAIL SALE: - CONTAINING 85 PERCENT OR MORE BY WEIGHT OF SILK WASTE: FROM NOIL SILK",5%,,01/07/2017,
50050021,"YARN SPUN FROM SILK WASTE, NOT PUT UP FOR RETAIL SALE YARN SPUN FROM SILK WASTE, NOT PUT UP FOR RETAIL SALE: - CONTAINING LESS THAN 85 PERCENT BY WEIGHT OF SILK : OTHER THAN NOIL SILK",5%,,01/07/2017,
50050022,"YARN SPUN FROM SILK WASTE, NOT PUT UP FOR RETAIL SALE YARN SPUN FROM SILK WASTE, NOT PUT UP FOR RETAIL SALE: - CONTAINING LESS THAN 85 PERCENT BY WEIGHT OF SILK : FROM NOIL SILK",5%,,01/07/2017,
5006,"SILK YARN AND YARN SPUN FROM SILK WASTE, PUT UP FOR RETAIL SALE; SILK-WORM GUT",5%,,01/07/2017,
500600,"SILK YARN AND YARN SPUN FROM SILK WASTE, PUT UP FOR RETAIL SALE; SILK WORM GUT",5%,,01/07/2017,
50060011,"SILK YARN AND YARN SPUN FROM SILK WASTE, PUT UP FOR RETAIL SALE; SILK-WORM GUT SILK YARN AND YARN SPUN FROM SILK WASTE, PUT UP FOR RETAIL SALE; SILK WORM GUT: - SILK YARN : SILK EMBROIDERY THREAD",5%,,01/07/2017,
