HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
5100,OTHER,0%,,01/07/2017,
5101,"WOOL, NOT CARDED OR COMBED : - GREASY, INCLUDING FLEECE-WASHED WOOL :",Nil,,01/07/2017,
51011100,"WOOL, NOT CARDED OR COMBED : GREASY, INCLUDING FLEECE-WASHED WOOL : SHORN WOOL",Nil,,01/07/2017,
51011900,"WOOL, NOT CARDED OR COMBED : GREASY, INCLUDING FLEECE-WASHED WOOL : OTHER",Nil,,01/07/2017,
51012100,"WOOL, NOT CARDED OR COMBED : DEGREASED, NOT CARBONIZED SHORN WOOL",Nil,,01/07/2017,
51012900,"WOOL, NOT CARDED OR COMBED : DEGREASED, NOT CARBONIZED OTHER",Nil,,01/07/2017,
51013000,"WOOL, NOT CARDED OR COMBED : CARBONISED",Nil,,01/07/2017,
5102,"FINE OR COARSE ANIMAL HAIR, NOT CARDED OR COMBED - FINE ANIMAL HAIR :",Nil,,01/07/2017,
510211,OF KASHMIR (CASHMERE) GOATS,Nil,,01/07/2017,
51021110,"FINE OR COARSE ANIMAL HAIR, NOT CARDED OR COMBED FINE ANIMAL HAIR : OF KASHMIR (CASHMERE) GOATS : MARINE ANGORA",Nil,,01/07/2017,
51021190,"FINE OR COARSE ANIMAL HAIR, NOT CARDED OR COMBED FINE ANIMAL HAIR : OF KASHMIR (CASHMERE) GOATS : OTHER",Nil,,01/07/2017,
510219,OTHER,Nil,,01/07/2017,
51021910,"FINE OR COARSE ANIMAL HAIR, NOT CARDED OR COMBED FINE ANIMAL HAIR :: OTHER : MARINE ANGORA",Nil,,01/07/2017,
51021990,"FINE OR COARSE ANIMAL HAIR, NOT CARDED OR COMBED FINE ANIMAL HAIR : OTHER : OTHER",Nil,,01/07/2017,
510220,COARSE ANIMAL HAIR,Nil,,01/07/2017,
51022010,"FINE OR COARSE ANIMAL HAIR, NOT CARDED OR COMBED COARSE ANIMAL HAIR : GOAT HAIR (OTHER THAN ANGORA)",Nil,,01/07/2017,
51022090,"FINE OR COARSE ANIMAL HAIR, NOT CARDED OR COMBED COARSE ANIMAL HAIR : OTHER (EXCLUDING PIG AND BOAR BRISTLES)",Nil,,01/07/2017,
5103,"WASTE OF WOOL OR OF FINE OR COARSE ANIMAL HAIR, INCLUDING YARN WASTE BUT EXCLUDING GARNETTED STOCK",Nil,,01/07/2017,
510310,NOILS OF WOOL OR OF FINE ANIMAL HAIR,Nil,,01/07/2017,
51031010,"WASTE OF WOOL OR OF FINE OR COARSE ANIMAL HAIR, INCLUDING YARN WASTE BUT EXCLUDING GARNETTED STOCK NOILS OF WOOL OR OF FINE ANIMAL HAIR : NOILS OF WOOL",Nil,,01/07/2017,
51031090,"WASTE OF WOOL OR OF FINE OR COARSE ANIMAL HAIR, INCLUDING YARN WASTE BUT EXCLUDING GARNETTED STOCK NOILS OF WOOL OR OF FINE ANIMAL HAIR : OTHER",Nil,,01/07/2017,
510320,OTHER WASTE OF WOOL OR OF FINE ANIMAL HAIR,Nil,,01/07/2017,
51032010,"WASTE OF WOOL OR OF FINE OR COARSE ANIMAL HAIR, INCLUDING YARN WASTE BUT EXCLUDING GARNETTED STOCK OTHER WASTE OF WOOL OR OF FINE ANIMAL HAIR : WASTE OF SHEEP'S AND LAMB'S WOOL",Nil,,01/07/2017,
51032020,"WASTE OF WOOL OR OF FINE OR COARSE ANIMAL HAIR, INCLUDING YARN WASTE BUT EXCLUDING GARNETTED STOCK OTHER WASTE OF WOOL OR OF FINE ANIMAL HAIR : YARN WASTE",Nil,,01/07/2017,
51032090,"WASTE OF WOOL OR OF FINE OR COARSE ANIMAL HAIR, INCLUDING YARN WASTE BUT EXCLUDING GARNETTED STOCK OTHER WASTE OF WOOL OR OF FINE ANIMAL HAIR : OTHER",Nil,,01/07/2017,
51033000,"WASTE OF WOOL OR OF FINE OR COARSE ANIMAL HAIR, INCLUDING YARN WASTE BUT EXCLUDING GARNETTED STOCK WASTE OF COARSE ANIMAL HAIR",Nil,,01/07/2017,
5104,GARNETTED STOCK OF WOOL OR OF FINE OR COARSE ANIMAL HAIR,5%,,01/07/2017,
510400,GARNETTED STOCK OF WOOL OR OF FINE OR COARSE ANIMAL HAIR,5%,,01/07/2017,
51040010,GARNETTED STOCK OF WOOL OR OF FINE OR COARSE ANIMAL HAIR - GARNETTED STOCK OF WOOL OR OF FINE OR COARSE ANIMAL HAIR : SHODDY WOOL,5%,,01/07/2017,
51040090,GARNETTED STOCK OF WOOL OR OF FINE OR COARSE ANIMAL HAIR - GARNETTED STOCK OF WOOL OR OF FINE OR COARSE ANIMAL HAIR : OTHER,5%,,01/07/2017,
5105,"WOOL AND FINE OR COARSE ANIMAL HAIR, CARDED OR COMBED (INCLUDING COMBED WOOL IN FRAGMENTS)",5%,,01/07/2017,
51051000,"WOOL AND FINE OR COARSE ANIMAL HAIR, CARDED OR COMBED (INCLUDING COMBED WOOL IN FRAGMENTS) CARDED WOOL",5%,,01/07/2017,
51052100,"WOOL AND FINE OR COARSE ANIMAL HAIR, CARDED OR COMBED (INCLUDING COMBED WOOL IN FRAGMENTS) - WOOL TOPS AND OTHER COMBED WOOL : COMBED WOOL IN FRAGMENTS",5%,,01/07/2017,
510529,OTHER,5%,,01/07/2017,
51052910,"WOOL AND FINE OR COARSE ANIMAL HAIR, CARDED OR COMBED (INCLUDING COMBED WOOL IN FRAGMENTS) - WOOL TOPS AND OTHER COMBED WOOL : OTHER : WOOL TOPS",5%,,01/07/2017,
51052990,"OOL AND FINE OR COARSE ANIMAL HAIR, CARDED OR COMBED (INCLUDING COMBED WOOL IN FRAGMENTS) - WOOL TOPS AND OTHER COMBED WOOL : OTHER : OTHER",5%,,01/07/2017,
51053100,"WOOL AND FINE OR COARSE ANIMAL HAIR, CARDED OR COMBED (INCLUDING COMBED WOOL IN FRAGMENTS) - FINE ANIMAL HAIR, CARDED OR COMBED : OF KASHMIR (CASHMERE) GOATS",5%,,01/07/2017,
51053900,"WOOL AND FINE OR COARSE ANIMAL HAIR, CARDED OR COMBED (INCLUDING COMBED WOOL IN FRAGMENTS) - FINE ANIMAL HAIR, CARDED OR COMBED : OTHER",5%,,01/07/2017,
