HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
5201,"COTTON, NOT CARDED OR COMBED",5%,,01/07/2017,
520100,"COTTON, NOT CARDED OR COMBED",5%,,01/07/2017,
52010011,"COTTON, NOT CARDED OR COMBED COTTON, NOT CARDED OR COMBED : INDIAN COTTON : BENGAL DESHI",5%,,01/07/2017,
52010012,"COTTON, NOT CARDED OR COMBED COTTON, NOT CARDED OR COMBED : INDIAN COTTON : INDIAN COTTON OF STAPLE LENGTHS 20.5 MM (25/32) AND BELOW (E. G. OOMRAS, YELLOW PICKING, ASSAM COMILLAS)""",5%,,01/07/2017,
52010013,"COTTON, NOT CARDED OR COMBED COTTON, NOT CARDED OR COMBED : INDIAN COTTON : INDIAN COTTON OF STAPLE LENGTH EXCEEDING 20.5MM (26/32) BUT NOT EXCEEDING 24.5MM (30/32"")""",5%,,01/07/2017,
52010014,"COTTON, NOT CARDED OR COMBED COTTON, NOT CARDED OR COMBED : INDIAN COTTON : INDIAN COTTON OF STAPLE LENGTH OVER 24.5 MM(31/32) TO 28 MM",5%,,01/07/2017,
52010015,"COTTON, NOT CARDED OR COMBED COTTON, NOT CARDED OR COMBED : INDIAN COTTON : INDIAN COTTON OF STAPLE LENGTH 28.5 (14/32) AND ABOVE BUT BELOW 34.5 MM MM",5%,,01/07/2017,
52010019,"COTTON, NOT CARDED OR COMBED COTTON, NOT CARDED OR COMBED : INDIAN COTTON : INDIAN COTTON OF ALL STAPLE LENGTH 34.5 AND ABOVE (112/32) MM",5%,,01/07/2017,
52010020,"COTTON, NOT CARDED OR COMBED COTTON, NOT CARDED OR COMBED : COTTON, OTHER THAN INDIAN, OF ALL STAPLE LENGTHS",5%,,01/07/2017,
5202,COTTON WASTE (INCLUDING YARN WASTE AND GARNETTED STOCK),5%,,01/07/2017,
52021000,COTTON WASTE (INCLUDING YARN WASTE AND GARNETTED STOCK) YARN WASTE (INCLUDING THREAD WASTE),5%,,01/07/2017,
52029100,COTTON WASTE (INCLUDING YARN WASTE AND GARNETTED STOCK) OTHER :GARNETTED STOCK,5%,,01/07/2017,
52029900,COTTON WASTE (INCLUDING YARN WASTE AND GARNETTED STOCK) OTHER :OTHER,5%,,01/07/2017,
5203,"COTTON, CARDED OR COMBED",5%,,01/07/2017,
52030000,"COTTON, CARDED OR COMBED",5%,,01/07/2017,
5204,"COTTON SEWING THREAD, WHETHER OR NOT PUT UP FOR RETAIL SALE - NOT PUT UP FOR RETAIL SALE :",5%,,01/07/2017,
520411,CONTAINING 85% OR MORE BY WEIGHT OF COTTON,5%,,01/07/2017,
52041110,"COTTON SEWING THREAD, WHETHER OR NOT PUTUP FOR RETAIL SALE - NOT PUT UP FOR RETAIL SALE : CONTAINING 85% OR MORE BY WEIGHT OFCOTTON : COTTON THREAD, SEWING,CONTAINING ANY SYNTHETIC STAPLE FIBRE",5%,,01/07/2017,
52041120,"COTTON SEWING THREAD, WHETHER OR NOT PUTUP FOR RETAIL SALE - NOT PUT UP FOR RETAIL SALE : CONTAINING 85% OR MORE BY WEIGHT OF COTTON : COTTON THREAD, DARNING",5%,,01/07/2017,
52041130,"COTTON SEWING THREAD, WHETHER OR NOT PUT UP FOR RETAIL SALE - NOT PUT UP FOR RETAIL SALE : CONTAINING 85% OR MORE BY WEIGHT OF COTTON : EMBROIDERY COTTON THREAD",5%,,01/07/2017,
52041140,"COTTON SEWING THREAD, WHETHER OR NOT PUT UP FOR RETAIL SALE - NOT PUT UP FOR RETAIL SALE : CONTAINING 85% OR MORE BY WEIGHT OF COTTON : COTTON SEWING THREAD, NOT CONTAINING ANY SYNTHETIC STAPLE FIBRE",5%,,01/07/2017,
52041190,"COTTON SEWING THREAD, WHETHER OR NOT PUT UP FOR RETAIL SALE - NOT PUT UP FOR RETAIL SALE : CONTAINING 85% OR MORE BY WEIGHT OF COTTON : OTHER",5%,,01/07/2017,
52041900,"COTTON SEWING THREAD, WHETHER OR NOT PUT UP FOR RETAIL SALE - NOT PUT UP FOR RETAIL SALE : OTHER",5%,,01/07/2017,
520420,PUT UP FOR RETAIL SALE,5%,,01/07/2017,
52042010,"COTTON SEWING THREAD, WHETHER OR NOT PUT UP FOR RETAIL SALE - PUT UP FOR RETAIL SALE : COTTON THREAD, SEWING, CONTAINING ANY SYNTHETIC STAPLE FIBRE",5%,,01/07/2017,
52042020,"COTTON SEWING THREAD, WHETHER OR NOT PUT UP FOR RETAIL SALE - PUT UP FOR RETAIL SALE : COTTON THREAD, DARNING",5%,,01/07/2017,
52042030,"COTTON SEWING THREAD, WHETHER OR NOT PUT UP FOR RETAIL SALE - PUT UP FOR RETAIL SALE : EMBROIDERY COTTON THREAD",5%,,01/07/2017,
52042040,"COTTON SEWING THREAD, WHETHER OR NOT PUT UP FOR RETAIL SALE - PUT UP FOR RETAIL SALE : COTTON SEWING THREAD, NOT CONTAINING ANY SYNTHETIC STAPLE FIBRE",5%,,01/07/2017,
52042090,"COTTON SEWING THREAD, WHETHER OR NOT PUT UP FOR RETAIL SALE - PUT UP FOR RETAIL SALE : OTHER",5%,,01/07/2017,
5205,"COTTON YARN (OTHER THAN SEWING THREAD), CONTAINING 85% OR MORE BY WEIGHT OF COTTON, NOT PUT UP FOR RETAIL SALE - SINGLE YARN, OF UNCOMBED FIBRES :",5%,,01/07/2017,
520511,MEASURING 714.29 DECITEX OR MORE (NOT EXCEEDING 14 METRIC NUMBER),5%,,01/07/2017,
52051110,"COTTON YARN (OTHER THAN SEWING THREAD), CONTAINING 85% OR MORE BY WEIGHT OF COTTON, NOT PUT UP FOR RETAIL SALE - SINGLE YARN, OF UNCOMBED FIBRES : MEASURING 714.29 DECITEX OR MORE (NOT EXCEEDING 14 METRIC NUMBER) : GREY",5%,,01/07/2017,
52051120,"COTTON YARN (OTHER THAN SEWING THREAD),CONTAINING 85% OR MORE BY WEIGHT OF COTTON,NOT PUT UP FOR RETAIL SALE - SINGLE YARN, OF UNCOMBED FIBRES : MEASURING 714.29 DECITEX OR MORE (NOT EXCEEDING 14 METRIC NUMBER) : BLEACHED",5%,,01/07/2017,
52051130,"COTTON YARN (OTHER THAN SEWING THREAD), CONTAINING 85% OR MORE BY WEIGHT OF COTTON, NOT PUT UP FOR RETAIL SALE - SINGLE YARN, OF UNCOMBED FIBRES : MEASURING 714.29 DECITEX OR MORE (NOT EXCEEDING 14 METRIC NUMBER) : DYED",5%,,01/07/2017,
52051190,"COTTON YARN (OTHER THAN SEWING THREAD),CONTAINING 85% OR MORE BY WEIGHT OF COTTON, NOT PUT UP FOR RETAIL SALE - SINGLE YARN, OF UNCOMBED FIBRES : MEASURING 714.29 DECITEX OR MORE (NOT EXCEEDING 14 METRIC NUMBER -OTHER",5%,,01/07/2017,
520512,MEASURING LESS THAN 714.29 DECITEX BUT NOT LESS THAN 232.56 DECITEX (EXCEEDING 14 METRIC NUMBER BUT NOT EXCEEDING 43 METRIC NUMBER),5%,,01/07/2017,
52051210,"COTTON YARN (OTHER THAN SEWING THREAD),CONTAINING 85% OR MORE BY WEIGHT OF COTTON,NOT PUT UP FOR RETAIL SALE - SINGLE YARN, OF UNCOMBED FIBRES : MEASURING LESS THAN 714.29 DECITEX BUT NOT LESS THAN 232.56 DECITEX (EXCEEDING 14 METRIC NUMBER BUT NOT EXCEED",5%,,01/07/2017,
52051220,"COTTON YARN (OTHER THAN SEWING THREAD),CONTAINING 85% OR MORE BY WEIGHT OF COTTON,NOT PUT UP FOR RETAIL SALE - SINGLE YARN, OF UNCOMBED FIBRES : MEASURING LESS THAN 714.29 DECITEX BUT NOT LESS THAN 232.56 DECITEX (EXCEEDING 14 METRIC NUMBER BUT NOT EXCEED",5%,,01/07/2017,
52051230,"COTTON YARN (OTHER THAN SEWING THREAD),CONTAINING 85% OR MORE BY WEIGHT OF COTTON,NOT PUT UP FOR RETAIL SALE - SINGLE YARN, OF UNCOMBED FIBRES : MEASURING LESS THAN 714.29 DECITEX BUT NOT LESS THAN 232.56 DECITEX (EXCEEDING 14 METRIC NUMBER BUT NOT EXCEED",5%,,01/07/2017,
52051290,"COTTON YARN (OTHER THAN SEWING THREAD),CONTAINING 85% OR MORE BY WEIGHT OF COTTON,NOT PUT UP FOR RETAIL SALE - SINGLE YARN, OF UNCOMBED FIBRES : MEASURING LESS THAN 714.29 DECITEX BUT NOT LESS THAN 232.56 DECITEX (EXCEEDING 14 METRIC NUMBER BUT NOT EXCEED",5%,,01/07/2017,
520513,MEASURING LESS THAN 232.56 DECITEX BUT NOT LESS THAN 192 .31 DECITEX (EXCEEDING 43 METRIC NUMBER BUT NOT EXCEEDING 52 METRIC NUMBER),5%,,01/07/2017,
52051310,"COTTON YARN (OTHER THAN SEWING THREAD),CONTAINING 85% OR MORE BY WEIGHT OF COTTON,NOT PUT UP FOR RETAIL SALE - SINGLE YARN, OF UNCOMBED FIBRES : MEASURING LESS THAN 232.56 DECITEX BUT NOT LESS THAN 192 .31 DECITEX (EXCEEDING 43 METRIC NUMBER BUT NOT EXCEE",5%,,01/07/2017,
52051320,"COTTON YARN (OTHER THAN SEWING THREAD),CONTAINING 85% OR MORE BY WEIGHT OF COTTON,NOT PUT UP FOR RETAIL SALE - SINGLE YARN, OF UNCOMBED FIBRES : MEASURING LESS THAN 232.56 DECITEX BUT NOT LESS THAN 192 .31 DECITEX (EXCEEDING 43 METRIC NUMBER BUT NOT EXCEE",5%,,01/07/2017,
