HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
5301,"FLAX, RAW OR PROCESSED BUT NOT SPUN; FLAX TOW AND WASTE (INCLUDING YARN WASTE AND GARNETTED STOCK)",5%,,01/07/2017,
53011000,"FLAX, RAW OR PROCESSED BUT NOT SPUN; FLAX TOW AND WASTE (INCLUDING YARN WASTE AND GARNETTED STOCK) FLAX, RAW OR RETTED",5%,,01/07/2017,
53012100,"FLAX, RAW OR PROCESSED BUT NOT SPUN; FLAX TOW AND WASTE (INCLUDING YARN WASTE AND GARNETTED STOCK) FLAX, BROKEN, SCUTCHED, HACKLED OR OTHERWISE PROCESSED, BUT NOT SPUN :BROKEN OR SCUTCHED",5%,,01/07/2017,
53012900,"FLAX, RAW OR PROCESSED BUT NOT SPUN; FLAX TOW AND WASTE (INCLUDING YARN WASTE AND GARNETTED STOCK) FLAX, BROKEN, SCUTCHED, HACKLED OR OTHERWISE PROCESSED, BUT NOT SPUN :OTHER",5%,,01/07/2017,
53013000,"FLAX, RAW OR PROCESSED BUT NOT SPUN; FLAX TOW AND WASTE (INCLUDING YARN WASTE AND GARNETTED STOCK) FLAX TOW AND WASTE",5%,,01/07/2017,
5302,"TRUE HEMP (CANNABIS SATIVA L ), RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF TRUE HEMP (INCLUDING YARN WASTE AND GARNETTED STOCK)",5%,,01/07/2017,
53021000,"TRUE HEMP (CANNABIS SATIVA L ), RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF TRUE HEMP (INCLUDING YARN WASTE AND GARNETTED STOCK) TRUE HEMP, RAW OR RETTED",5%,,01/07/2017,
53029000,"TRUE HEMP (CANNABIS SATIVA L ), RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF TRUE HEMP (INCLUDING YARN WASTE AND GARNETTED STOCK) OTHER",5%,,01/07/2017,
5303,"JUTE AND OTHER TEXTILE BAST FIBRES (EXCLUDING FLAX, TRUE HEMP AND RAMIE), RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK)",5%,,01/07/2017,
5303,"JUTE AND OTHER TEXTILE BAST FIBRES (EXCLUDING FLAX, TRUE HEMP AND RAMIE), RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK)",0%,,01/07/2017,
530310,"JUTE AND OTHER TEXTILE BAST FIBRES, RAW OR RETTED",5%,,01/07/2017,
53031010,"JUTE AND OTHER TEXTILE BAST FIBRES (EXCLUDING FLAX, TRUE HEMP AND RAMIE), RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) JUTE AND OTHER TEXTILE BAST FIBRES, RAW OR RETTED :JUTE, RAW OR RETTED",5%,,01/07/2017,
53031090,"JUTE AND OTHER TEXTILE BAST FIBRES (EXCLUDING FLAX, TRUE HEMP AND RAMIE), RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) JUTE AND OTHER TEXTILE BAST FIBRES, RAW OR RETTED :OTHER",5%,,01/07/2017,
530390,OTHER,5%,,01/07/2017,
53039010,"JUTE AND OTHER TEXTILE BAST FIBRES (EXCLUDING FLAX, TRUE HEMP AND RAMIE), RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OTHER : JUTE CUTTING",5%,,01/07/2017,
53039090,"JUTE AND OTHER TEXTILE BAST FIBRES (EXCLUDING FLAX, TRUE HEMP AND RAMIE), RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OTHER :OTHER",5%,,01/07/2017,
5304,OMITTED,0%,,01/07/2017,
53041010,"SISAL AND OTHER TEXTILE FIBRES OF THE GENUS AGAVE, RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) SISAL AND OTHER TEXTILE FIBRES OF THE GENUS AGAVE, RAW : SISAL FIBRE",0%,,01/07/2017,
53041020,"SISAL AND OTHER TEXTILE FIBRES OF THE GENUS AGAVE, RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) SISAL AND OTHER TEXTILE FIBRES OF THE GENUS AGAVE, RAW : ALOE FIBRE",0%,,01/07/2017,
53041090,"SISAL AND OTHER TEXTILE FIBRES OF THE GENUS AGAVE, RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) SISAL AND OTHER TEXTILE FIBRES OF THE GENUS AGAVE, RAW : OTHER",0%,,01/07/2017,
53049000,"SISAL AND OTHER TEXTILE FIBRES OF THE GENUS AGAVE, RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OTHER",0%,,01/07/2017,
5305,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILES NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETED STOCK)",5%,,01/07/2017,
5305,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILES NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETED STOCK)",0%,,01/07/2017,
530500,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILS NEC), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN, TOW NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETED STOCK)",5%,,01/07/2017,
53050010,"COCONUT ,ABACA,RAMIE AND OTHER VEGETABLE TEXTILE FIBRES,NOT",5%,,01/07/2017,
53050030,CURLED OR MACHINE TWISTED COIR FIBRE,5%,,01/07/2017,
53050040,COIR PITH,5%,,01/07/2017,
53050050,VEGETABLE TEXTILE FIRES - OF ABACA,5%,,01/07/2017,
53050090,VEGETABLE TEXTILE FIBRES - OF OTHERS,5%,,01/07/2017,
53051110,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OF COCONUT (CO",5%,,01/07/2017,
53051120,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OF COCONUT (CO",5%,,01/07/2017,
53051130,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OF COCONUT (CO",5%,,01/07/2017,
53051140,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OF COCONUT (CO",5%,,01/07/2017,
53051190,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OF COCONUT (CO",5%,,01/07/2017,
