HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
5401,"SEWING THREAD OF MAN-MADE FILAMENTS, WHETHER OR NOT PUT UP FOR RETAIL SALE",12%,,13/10/2017,
54011000,"SEWING THREAD OF MAN-MADE FILAMENTS, WHETHER OR NOT PUT UP FOR RETAIL SALE OF SYNTHETIC FILAMENTS",12%,,13/10/2017,
54012000,"SEWING THREAD OF MAN-MADE FILAMENTS, WHETHER OR NOT PUT UP FOR RETAIL SALE OF ARTIFICIAL FILAMENTS",12%,,13/10/2017,
5402,Synthetic or artificial filament yarns,12%,,13/10/2017,
5402,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX - HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES :",18%,,13/10/2017                             1/07/2017,
54021010,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES : NYLON TYRE YARN",18%,,13/10/2017                             1/07/2017,
54021090,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES : OTHER",18%,,13/10/2017                             1/07/2017,
54021110,HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES,18%,,13/10/2017                             1/07/2017,
540219,OTHER;,18%,,13/10/2017                             1/07/2017,
54021910,OTHER HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES,18%,,13/10/2017                             1/07/2017,
54021990,OTHER HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES,18%,,13/10/2017                             1/07/2017,
540220,"HIGH TENACITY YARN OF POLYESTERS, WHETHER OR NOT TEXTURED",18%,,13/10/2017                             1/07/2017,
54022010,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX HIGH TENACITY YARN OF POLYESTERS :OF TERYLENE DACRON",18%,,13/10/2017                             1/07/2017,
54022090,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX HIGH TENACITY YARN OF POLYESTERS :OTHER",18%,,13/10/2017                             1/07/2017,
54023100,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX TEXTURED YARN : OF NYLON OR OTHER POLYAMIDES, MEASURING PER SINGLE YARN NOT MORE THAN 50 TEX",18%,,13/10/2017                             1/07/2017,
54023200,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX TEXTURED YARN :OF NYLON OR OTHER POLYAMIDES, MEASURING PER SINGLE YARN MORE THAN 50 TEX",18%,,13/10/2017                             1/07/2017,
54023300,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX TEXTURED YARN :OF POLYESTERS",18%,,13/10/2017                             1/07/2017,
54023400,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX TEXTURED YARN :OF POLYPROPYLENE",18%,,13/10/2017                             1/07/2017,
540239,OTHER,18%,,13/10/2017                             1/07/2017,
54023910,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX TEXTURED YARN :OTHER : POLYPROPYLENE FILAMENT YARN",18%,,13/10/2017                             1/07/2017,
54023920,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX TEXTURED YARN :OTHER :ACRYLIC FILAMENT YARN",18%,,13/10/2017                             1/07/2017,
54023990,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX TEXTURED YARN :OTHER :OTHER",18%,,13/10/2017                             1/07/2017,
54024100,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, UNTWISTED OR WITH A TWIST NOT EXCEEDING 50 TURNS PER METRE : OF NYLON OR OTHER POLYAMIDES",18%,,13/10/2017                             1/07/2017,
54024200,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, UNTWISTED OR WITH A TWIST NOT EXCEEDING 50 TURNS PER METRE : OF POLYESTERS, PARTIALLY ORIENTED",18%,,13/10/2017                             1/07/2017,
54024300,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, UNTWISTED OR WITH A TWIST NOT EXCEEDING 50 TURNS PER METRE : OF POLYESTERS, OTHER",18%,,13/10/2017                             1/07/2017,
54024400,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, UNTWISTED OR WITH A TWIST NOT EXCEEDING 50 TURNS PER METRE : OF ELASTOMERS",18%,,13/10/2017                             1/07/2017,
54024500,"OTHER SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, UNTWISTED OR WITH A TWIST NOT EXCEEDING 50 TURNS PER METRE : OF NYLON OR OTHER POLYAMIDES",18%,,13/10/2017                             1/07/2017,
54024600,"OTHER SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, UNTWISTED OR WITH A TWIST NOT EXCEEDING 50 TURNS PER METRE : OF POLYESTERS, PARTIALLY ORIENT",18%,,13/10/2017                             1/07/2017,
54024700,"OTHER SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, UNTWISTED OR WITH A TWIST NOT EXCEEDING 50 TURNS PER METRE : OF POLYESTERS",18%,,13/10/2017                             1/07/2017,
54024800,"OTHER SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, UNTWISTED OR WITH A TWIST NOT EXCEEDING 50 TURNS PER METRE : OF POLYPROPYLENE",18%,,13/10/2017                             1/07/2017,
54024900,"OTHER HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES, NOT ELSEWHERE SPECIFIED",18%,,13/10/2017                             1/07/2017,
54025100,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, WITH A TWIST EXCEEDING 50 TURNS PER METRE : OF NYLON OR OTHER POLYAMIDES",18%,,13/10/2017                             1/07/2017,
54025200,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, WITH A TWIST EXCEEDING 50 TURNS PER METRE : OF POLYESTERS",18%,,13/10/2017                             1/07/2017,
54025300,OF POLYPROPYLENE,18%,,13/10/2017                             1/07/2017,
540259,OTHER,18%,,13/10/2017                             1/07/2017,
54025910,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, WITH A TWIST EXCEEDING 50 TURNS PER METRE : OTHER : POLYPROPYLENE FILAMENT YARN",18%,,13/10/2017                             1/07/2017,
54025990,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, WITH A TWIST EXCEEDING 50 TURNS PER METRE : OTHER : OTHER",18%,,13/10/2017                             1/07/2017,
54026100,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, MULTIPLE (FOLDED) OR CABLED : OF NYLON OR OTHER POLYAMIDES",18%,,13/10/2017                             1/07/2017,
54026200,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, MULTIPLE (FOLDED) OR CABLED :OF POLYESTERS",18%,,13/10/2017                             1/07/2017,
54026300,OF POLYPROPYLENE,18%,,13/10/2017                             1/07/2017,
540269,OTHER,18%,,13/10/2017                             1/07/2017,
54026910,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, MULTIPLE (FOLDED) OR CABLED : OTHER : POLYVINYL ACETATE FILAMENT YARN",18%,,13/10/2017                             1/07/2017,
54026920,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, MULTIPLE (FOLDED) OR CABLED : OTHER : POLYVINYL CHLORIDE FILAMENT YARN",18%,,13/10/2017                             1/07/2017,
54026930,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, MULTIPLE (FOLDED) OR CABLED : OTHER :POLYPROPYLENE FILAMENT YARN",18%,,13/10/2017                             1/07/2017,
54026940,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, MULTIPLE (FOLDED) OR CABLED : OTHER :ACRYLIC FILAMENT YARN",18%,,13/10/2017                             1/07/2017,
54026950,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, MULTIPLE (FOLDED) OR CABLED : OTHER :POLYTETRAFLUOROETHYLENE YARN",18%,,13/10/2017                             1/07/2017,
54026990,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, MULTIPLE (FOLDED) OR CABLED : OTHER :OTHER",18%,,13/10/2017                             1/07/2017,
5403,Synthetic or artificial filament yarns,12%,,13/10/2017,
5403,"ARTIFICIAL FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT FOR RETAIL SALE, INCLUDING ARTIFICIAL MONO FILAMENT OF LESS THAN 67 DECITEX",18%,,13/10/2017                             1/07/2017,
540310,HIGH TENACITY YARN OF VISCOSE RAYON,18%,,13/10/2017                             1/07/2017,
