HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
5501,"WOOL, NOT CARDED OR COMBED : SYNTHETIC FILAMENT TOW",18%,,01/07/2017,
55011000,SYNTHETIC FILAMENT TOW - OF NYLON OR OTHER POLYAMIDES,18%,,01/07/2017,
55012000,SYNTHETIC FILAMENT TOW - OF POLYESTERS,18%,,01/07/2017,
55013000,SYNTHETIC FILAMENT TOW - ACRYLIC OR MODACRYLIC,18%,,01/07/2017,
55014000,SYNTHETIC FILAMENT TOW - OF POLYPROPYLENE,18%,,01/07/2017,
550190,OTHER,18%,,01/07/2017,
55019010,SYNTHETIC FILAMENT TOW - OTHER : OF POLYPROPYLENE,18%,,01/07/2017,
55019090,SYNTHETIC FILAMENT TOW - OTHER : OTHER,18%,,01/07/2017,
5502,ARTIFICIAL FILAMENT TOW,18%,,01/07/2017,
550200,ARTIFICIAL FILAMENT TOW,18%,,01/07/2017,
55020010,ARTIFICIAL FILAMENT TOW - ARTIFICIAL FILAMENT TOW : ACETATE RAYON TOW,18%,,01/07/2017,
55020020,ARTIFICIAL FILAMENT TOW - ARTIFICIAL FILAMENT TOW : VISCOSE RAYON TOW,18%,,01/07/2017,
55020090,ARTIFICIAL FILAMENT TOW - ARTIFICIAL FILAMENT TOW : OTHER,18%,,01/07/2017,
550210,OF CELLULOSE ACETATE;,18%,,01/07/2017,
55021010,VISCOSE RAYON TOW,18%,,01/07/2017,
55021090,OTHER,18%,,01/07/2017,
550290,OTHER;,18%,,01/07/2017,
55029010,VISCOSE RAYON TOW,18%,,01/07/2017,
55029090,OTHER,18%,,01/07/2017,
5503,"SYNTHETIC STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - OF NYLON OR OTHER POLYAMIDES",18%,,01/07/2017,
55031000,"SYNTHETIC STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - OF NYLON OR OTHER POLYAMIDES",18%,,01/07/2017,
55031100,"SYNTHETIC STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - OF NYLON OR OTHER POLYAMIDES - OF ARAMIDES",18%,,01/07/2017,
55031900,"SYNTHETIC STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - OF NYLON OR OTHER POLYAMIDES-OTHERS",18%,,01/07/2017,
55032000,"SYNTHETIC STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - OF POLYESTERS",18%,,01/07/2017,
55033000,"SYNTHETIC STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - ACRYLIC OR MODACRYLIC",18%,,01/07/2017,
55034000,"SYNTHETIC STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - OF POLYPROPYLENE",18%,,01/07/2017,
550390,OTHER,18%,,01/07/2017,
55039010,"SYNTHETIC STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - OTHER : POLYVINYL STAPLE FIBRE",18%,,01/07/2017,
55039020,"SYNTHETIC STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - OTHER : POLYVINYL CHLORIDE STAPLE FIBRE",18%,,01/07/2017,
55039090,"SYNTHETIC STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - OTHER : OTHER",18%,,01/07/2017,
5504,"ARTIFICIAL STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING",18%,,01/07/2017,
550410,OF VISCOSE RAYON,18%,,01/07/2017,
55041000,"ARTIFICIAL STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - OF VISCOSE RAYON",18%,,01/07/2017,
55041010,OBTAINED FROM WOOD OTHER THAN BAMBOO,18%,,01/07/2017,
55041020,OBTAINED FROM BAMBOO,18%,,01/07/2017,
55041090,OTHER,18%,,01/07/2017,
550490,OTHER,18%,,01/07/2017,
55049010,"ARTIFICIAL STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - OTHER ACETATE RAYON STAPLE FIBRE",18%,,01/07/2017,
55049020,"ARTIFICIAL STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - OTHER POLYNOSIC STAPLE FIBRE",18%,,01/07/2017,
55049030,"ARTIFICIAL STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - OTHER HIGH WET MODULUS STAPLE FIBRE",18%,,01/07/2017,
55049090,"ARTIFICIAL STAPLE FIBRES, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - OTHER OTHER",18%,,01/07/2017,
5505,"WASTE (INCLUDING NOILS, YARN WASTE AND GARNETTED STOCK) OF MAN-MADE FIBRES",18%,,01/07/2017,
550510,OF SYNTHETIC FIBERS,18%,,01/07/2017,
55051010,"WASTE (INCLUDING NOILS, YARN WASTE AND GARNETTED STOCK) OF MAN-MADE FIBRES - OF SYNTHETIC FIBERS : OF ACRYLIC",18%,,01/07/2017,
55051090,"WASTE (INCLUDING NOILS, YARN WASTE AND GARNETTED STOCK) OF MAN-MADE FIBRES - OF SYNTHETIC FIBERS : OTHER",18%,,01/07/2017,
55052000,"WASTE (INCLUDING NOILS, YARN WASTE AND GARNETTED STOCK) OF MAN-MADE FIBRES OF ARTIFICIAL FIBRES",18%,,01/07/2017,
5506,"SYNTHETIC STAPLE FIBRES, CARDED COMBED OR OTHERWISE PROCESSED FOR SPINNING",18%,,01/07/2017,
55061000,"SYNTHETIC STAPLE FIBRES, CARDED COMBED OR OTHERWISE PROCESSED FOR SPINNING - OF NYLON OR OTHER POLYAMIDES",18%,,01/07/2017,
55062000,"SYNTHETIC STAPLE FIBRES, CARDED COMBED OR OTHERWISE PROCESSED FOR SPINNING - OF POLYESTERS",18%,,01/07/2017,
55063000,"SYNTHETIC STAPLE FIBRES, CARDED COMBED OR OTHERWISE PROCESSED FOR SPINNING - ACRYLIC OR MODACRYLIC",18%,,01/07/2017,
55064000,OF POLYPROPYLENE,18%,,01/07/2017,
550690,OTHER,18%,,01/07/2017,
55069010,"SYNTHETIC STAPLE FIBRES, CARDED COMBED OR OTHERWISE PROCESSED FOR SPINNING - OTHER : POLYPROPYLENE TOPS",18%,,01/07/2017,
55069090,"SYNTHETIC STAPLE FIBRES, CARDED COMBED OR OTHERWISE PROCESSED FOR SPINNING - OTHER : OTHER",18%,,01/07/2017,
5507,"ARTIFICIAL STAPLE FIBRES, CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING",18%,,01/07/2017,
550700,"ARTIFICIAL STAPLE FIBRES, CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING",18%,,01/07/2017,
55070010,"ARTIFICIAL STAPLE FIBRES, CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - ARTIFICIAL STAPLE FIBRES, CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING : ACETATE RAYON TOPS",18%,,01/07/2017,
55070020,"ARTIFICIAL STAPLE FIBRES, CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - ARTIFICIAL STAPLE FIBRES, CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING : VISCOSE TOPS",18%,,01/07/2017,
55070030,"ARTIFICIAL STAPLE FIBRES, CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - ARTIFICIAL STAPLE FIBRES, CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING : POLYNOSIC TOPS",18%,,01/07/2017,
55070040,"ARTIFICIAL STAPLE FIBRES, CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING - ARTIFICIAL STAPLE FIBRES, CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING : HIGH WET MODULUS TOPS",18%,,01/07/2017,
