HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
5601,"WADDING OF TEXTILE MATERIALS AND ARTICLES THEREOF; TEXTILE FIBRES, NOT EXCEEDING 5 MM IN LENGTH (FLOCK), TEXTILE DUST AND MILL NEPS ---- WADDING; OTHER ARTICLES OF WADDING",12%,,01/07/2017,
56011000,"WADDING OF TEXTILE MATERIALS AND ARTICLES THEREOF; TEXTILE FIBRES, NOT EXCEEDING 5 MM IN LENGTH (FLOCK), TEXTILE DUST AND MILL NEPS SANITARY TOWELS AND TAMPONS, NAPKINS AND NAPKIN LINERS FOR BABIES AND SIMILAR SANITARY ARTICLES, OF WADDING",12%,,01/07/2017,
560121,OF COTTON,12%,,01/07/2017,
56012110,"WADDING OF TEXTILE MATERIALS AND ARTICLES THEREOF; TEXTILE FIBRES, NOT EXCEEDING 5 MM IN LENGTH (FLOCK), TEXTILE DUST AND MILL NEPS - WADDING; OTHER ARTICLES OF WADDING : OF COTTON : ABSORBENT COTTON WOOL",12%,,01/07/2017,
56012190,"WADDING OF TEXTILE MATERIALS AND ARTICLES THEREOF; TEXTILE FIBRES, NOT EXCEEDING 5 MM IN LENGTH (FLOCK), TEXTILE DUST AND MILL NEPS - WADDING; OTHER ARTICLES OF WADDING : OF COTTON : OTHER",12%,,01/07/2017,
56012200,"WADDING OF TEXTILE MATERIALS AND ARTICLES THEREOF; TEXTILE FIBRES, NOT EXCEEDING 5 MM IN LENGTH (FLOCK), TEXTILE DUST AND MILL NEPS - WADDING; OTHER ARTICLES OF WADDING : OF MAN-MADE FIBRES",18%,,25/01/2018,
56012900,"WADDING OF TEXTILE MATERIALS AND ARTICLES THEREOF; TEXTILE FIBRES, NOT EXCEEDING 5 MM IN LENGTH (FLOCK), TEXTILE DUST AND MILL NEPS - WADDING; OTHER ARTICLES OF WADDING : OTHER",12%,,01/07/2017,
56013000,"WADDING OF TEXTILE MATERIALS AND ARTICLES THEREOF; TEXTILE FIBRES, NOT EXCEEDING 5 MM IN LENGTH (FLOCK), TEXTILE DUST AND MILL NEPS TEXTILE FLOCK AND DUST AND MILL NEPS",12%,,01/07/2017,
5602,"FELT, WHETHER OR NOT IMPREGNATED, COATED, COVERED OR LAMINATED",12%,,01/07/2017,
56021000,"FELT, WHETHER OR NOT IMPREGNATED, COATED, COVERED OR LAMINATED NEEDLELOOM FELT AND STITCH-BONDED FIBRE FABRICS",12%,,01/07/2017,
56022100,"FELT, WHETHER OR NOT IMPREGNATED, COATED, COVERED OR LAMINATED - OTHER FELT, NOT IMPREGNATED, COATED, COVERED OR LAMINATED : OF WOOL OR FINE ANIMAL HAIR",12%,,01/07/2017,
560229,OF OTHER TEXTILE MATERIALS,12%,,01/07/2017,
56022910,"FELT, WHETHER OR NOT IMPREGNATED, COATED, COVERED OR LAMINATED - OTHER FELT, NOT IMPREGNATED, COATED, COVERED OR LAMINATED : - OF OTHER TEXTILE MATERIALS : FOR MACHINES OTHER THAN COTTON MACHINERY",12%,,01/07/2017,
