HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
5701,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS, KNOTTED, WHETHER OR NOT MADE UP",12%,,01/07/2017,
570110,OF WOOL OR FINE ANIMAL HAIR,12%,,01/07/2017,
57011000,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS, KNOTTED, WHETHER OR NOT MADE UP - OF WOOL OR FINE ANIMAL HAIR",12%,,01/07/2017,
57011010,HAND-MADE,12%,,01/07/2017,
57011090,OTHER,12%,,01/07/2017,
570190,OF OTHER TEXTILE MATERIALS;,12%,,01/07/2017,
57019010,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS, KNOTTED, WHETHER OR NOT MADE UP - OF OTHER TEXTILE MATERIALS : OF COTTON",12%,,01/07/2017,
57019011,HAND-MADE,12%,,01/07/2017,
57019019,OTHER,12%,,01/07/2017,
57019020,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS, KNOTTED, WHETHER OR NOT MADE UP - OF COIR INCLUDING GEO TEXTILE",12%,,01/07/2017,
57019031,HAND-MADE,12%,,01/07/2017,
57019039,OTHER,12%,,01/07/2017,
57019090,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS, KNOTTED, WHETHER OR NOT MADE UP - OF OTHER TEXTILE MATERIALS : OTHER",12%,,01/07/2017,
5702,"Coir mats, matting, floor
covering and handloom durries",5%,,13/10/2017,
5702,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS,WOVEN, NOT TUFTED OR FLOCKED, WHETHER OR NOT MADE UP, INCLUDING KELEM"",""SCHUMACKS"", ""KARAMANIE"" AND SIMILAR HAND-WOVEN RUGS""",12%,,13/10/2017                       1/07/2017,
