HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
5801,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806",5%,,27/07/2018              22/09/2017,
58011000,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF WOOL OR FINE ANIMAL HAIR",5%,,27/07/2018              22/09/2017,
58012100,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF COTTON:UNCUT WEFT PILE FABRICS",5%,,27/07/2018              22/09/2017,
580122,CUT CORDUROY,5%,,27/07/2018              22/09/2017,
58012210,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF COTTON:- CUT CORDUROY: SOLELY OF COTTON",5%,,27/07/2018              22/09/2017,
58012290,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF COTTON:- CUT CORDUROY:OTHER",5%,,27/07/2018              22/09/2017,
58012300,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF COTTON:OTHER WEFT PILE FABRICS",5%,,27/07/2018              22/09/2017,
58012600,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF COTTON:CHENILLE FABRICS",5%,,27/07/2018              22/09/2017,
580127,WARP PILE FABRICS,5%,,27/07/2018              22/09/2017,
58012710,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF COTTON--WARP PILE FABRICS---WARP PILE FABRICS,EPINGLE""(UNCUT)""",5%,,27/07/2018              22/09/2017,
58012720,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF COTTON--WARP PILE FABRICS---WARP PILE FABRICS,CUT",5%,,27/07/2018              22/09/2017,
58012790,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF COTTON--WARP PILE FABRICS---OTHER",5%,,27/07/2018              22/09/2017,
58013100,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF MAN-MADE FIBRES: UNCUT WEFT PILE FABRICS",5%,,27/07/2018              22/09/2017,
58013200,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF MAN-MADE FIBRES: CUT CORDUROY",5%,,27/07/2018              22/09/2017,
58013300,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF MAN-MADE FIBRES: OTHER WEFT PILE FABRICS",5%,,27/07/2018              22/09/2017,
580134,"WARP PILE FABRICS, EPINGLE (UNCUT)",5%,,27/07/2018              22/09/2017,
580136,CHENILLE FABRICS,5%,,27/07/2018              22/09/2017,
58013610,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF MAN-MADE FIBRES: - CHENILLE FABRICS:CARDUROYS",5%,,27/07/2018              22/09/2017,
58013690,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF MAN-MADE FIBRES: - CHENILLE FABRICS:OTHER",5%,,27/07/2018              22/09/2017,
580137,WARP PILE FABRICS,5%,,27/07/2018              22/09/2017,
58013710,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806-WARP PILE FABRICS--WARP PILE FABRICS, UNCUT",5%,,27/07/2018              22/09/2017,
58013720,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF COTTON--WARP PILE FABRICS---WARP PILE FABRICS,CUT",5%,,27/07/2018              22/09/2017,
58013790,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806 - OF COTTON--WARP PILE FABRICS---OTHER",5%,,27/07/2018              22/09/2017,
580190,OF OTHER TEXTILE MATERIALS,5%,,27/07/2018              22/09/2017,
58019010,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806- OF OTHER TEXTILE MATERIALS:PILE FABRICS AND CHENILLE FABRICS OF SILK CONTAINING MORE THAN 50% BY WEIGHT OF SILK, BUT NOT CONTAINING WOOL OR HAIR",5%,,27/07/2018              22/09/2017,
58019090,"WOVEN PILE FABRICS AND CHENILLE FABRICS, OTHER THAN FABRICS OF HEADING 5802 OR 5806- OF OTHER TEXTILE MATERIALS:PILE FABRICS AND CHENILLE FABRICS NOT ELSEWHERE SPECIFIED OR INCLUDED",5%,,27/07/2018              22/09/2017,
5802,"TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OTHER THAN NARROW FABRICS OF HEADING 5806; TUFTED TEXTILE FABRICS, OTHER THAN PRODUCTS OF HEADING 5703 - TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OF COTTON",12%,,01/07/2017,
58021100,"TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OTHER THAN NARROW FABRICS OF HEADING 5806; TUFTED TEXTILE FABRICS, OTHER THAN PRODUCTS OF HEADING 5703 - TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OF COTTON:UNBLEACHED",12%,,01/07/2017,
580219,OTHER,12%,,01/07/2017,
58021910,"TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OTHER THAN NARROW FABRICS OF HEADING 5806; TUFTED TEXTILE FABRICS, OTHER THAN PRODUCTS OF HEADING 5703 - TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OF COTTON: - OTHER:BLEACHED",12%,,01/07/2017,
58021920,"TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OTHER THAN NARROW FABRICS OF HEADING 5806; TUFTED TEXTILE FABRICS, OTHER THAN PRODUCTS OF HEADING 5703 - TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OF COTTON: - OTHER:PIECE DYED",12%,,01/07/2017,
58021930,"TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OTHER THAN NARROW FABRICS OF HEADING 5806; TUFTED TEXTILE FABRICS, OTHER THAN PRODUCTS OF HEADING 5703 - TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OF COTTON: - OTHER:YARN DYED",12%,,01/07/2017,
58021940,"TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OTHER THAN NARROW FABRICS OF HEADING 5806; TUFTED TEXTILE FABRICS, OTHER THAN PRODUCTS OF HEADING 5703 - TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OF COTTON: - OTHER:PRINTED",12%,,01/07/2017,
58021950,"TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OF COTTON - OF HANDLOOM",12%,,01/07/2017,
58021990,"TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OTHER THAN NARROW FABRICS OF HEADING 5806; TUFTED TEXTILE FABRICS, OTHER THAN PRODUCTS OF HEADING 5703 - TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OF COTTON: - OTHER:OTHER",12%,,01/07/2017,
58022000,"TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OTHER THAN NARROW FABRICS OF HEADING 5806; TUFTED TEXTILE FABRICS, OTHER THAN PRODUCTS OF HEADING 5703 - TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OF OTHER TEXTILE MATERIALS",12%,,01/07/2017,
58023000,"TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OTHER THAN NARROW FABRICS OF HEADING 5806; TUFTED TEXTILE FABRICS, OTHER THAN PRODUCTS OF HEADING 5703 - TUFTED TEXTILE FABRICS",12%,,01/07/2017,
