HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
5901,"TEXTILE FABRICS COATED WITH GUM OR AMYLACEOUS SUBSTANCES, OF A KIND USED FOR THE OUTER COVERS OF BOOKS OR THE LIKE; TRACING CLOTH; PREPARED PAINTING CANVAS; BUCKRAM AND SIMILAR STIFFENED TEXTILE FABRICS OF A KIND USED FOR HAT FOUNDATIONS",12%,,01/07/2017,
590110,"TEXTILE FABRICS COATED WITH GUM OR AMYLACEOUS SUBSTANCES, OF A KIND USED FOR THE OUTER COVERS OF BOOKS OR THE LIKE",12%,,01/07/2017,
59011010,"TEXTILE FABRICS COATED WITH GUM OR AMYLACEOUS SUBSTANCES, OF A KIND USED FOR THE OUTER COVERS OF BOOKS OR THE LIKE; TRACING CLOTH; PREPARED PAINTING CANVAS; BUCKRAM AND SIMILAR STIFFENED TEXTILE FABRICS OF A KIND USED FOR HAT FOUNDATIONS - TEXTILE FABRICS",12%,,01/07/2017,
59011020,"TEXTILE FABRICS COATED WITH GUM OR AMYLACEOUS SUBSTANCES, OF A KIND USED FOR THE OUTER COVERS OF BOOKS OR THE LIKE; TRACING CLOTH; PREPARED PAINTING CANVAS; BUCKRAM AND SIMILAR STIFFENED TEXTILE FABRICS OF A KIND USED FOR HAT FOUNDATIONS - TEXTILE FABRICS",12%,,01/07/2017,
59011090,"TEXTILE FABRICS COATED WITH GUM OR AMYLACEOUS SUBSTANCES, OF A KIND USED FOR THE OUTER COVERS OF BOOKS OR THE LIKE; TRACING CLOTH; PREPARED PAINTING CANVAS; BUCKRAM AND SIMILAR STIFFENED TEXTILE FABRICS OF A KIND USED FOR HAT FOUNDATIONS - TEXTILE FABRICS",12%,,01/07/2017,
590190,OTHER,12%,,01/07/2017,
59019010,"TEXTILE FABRICS COATED WITH GUM OR AMYLACEOUS SUBSTANCES, OF A KIND USED FOR THE OUTER COVERS OF BOOKS OR THE LIKE; TRACING CLOTH; PREPARED PAINTING CANVAS; BUCKRAM AND SIMILAR STIFFENED TEXTILE FABRICS OF A KIND USED FOR HAT FOUNDATIONS - OTHER : TRACING",12%,,01/07/2017,
59019020,"TEXTILE FABRICS COATED WITH GUM OR AMYLACEOUS SUBSTANCES, OF A KIND USED FOR THE OUTER COVERS OF BOOKS OR THE LIKE; TRACING CLOTH; PREPARED PAINTING CANVAS; BUCKRAM AND SIMILAR STIFFENED TEXTILE FABRICS OF A KIND USED FOR HAT FOUNDATIONS - OTHER : VARNISH",12%,,01/07/2017,
59019090,"TEXTILE FABRICS COATED WITH GUM OR AMYLACEOUS SUBSTANCES, OF A KIND USED FOR THE OUTER COVERS OF BOOKS OR THE LIKE; TRACING CLOTH; PREPARED PAINTING CANVAS; BUCKRAM AND SIMILAR STIFFENED TEXTILE FABRICS OF A KIND USED FOR HAT FOUNDATIONS - OTHER : OTHER",12%,,01/07/2017,
5902,"TYRE CORD FABRIC OF HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES, POLYESTERS OR VISCOSE RAYON",12%,,01/07/2017,
