HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
6001,"PILE FABRICS, INCLUDING LONG PILE"" FABRICS AND TERRY FABRICS, KNITTED OR CROCHETED",5%,,01/07/2017,
600110,"""LONG PILE"" FABRICS",5%,,01/07/2017,
60011010,"PILE FABRICS, INCLUDING LONG PILE FABRICS AND TERRY FABRICS, KNITTED OR CROCHETED - LONG PILE FABRICS: OF COTTON",5%,,01/07/2017,
60011020,"PILE FABRICS, INCLUDING LONG PILE FABRICS AND TERRY FABRICS, KNITTED OR CROCHETED - LONG PILE FABRICS: OF MAN-MADE FIBRES",5%,,01/07/2017,
60011090,"PILE FABRICS, INCLUDING LONG PILE FABRICS AND TERRY FABRICS, KNITTED OR CROCHETED - LONG PILE FABRICS: OF OTHER TEXTILE MATERIALS",5%,,01/07/2017,
60012100,"PILE FABRICS, INCLUDING LONG PILE FABRICS AND TERRY FABRICS, KNITTED OR CROCHETED - LOOPED PILE FABRICS:OF COTTON",5%,,01/07/2017,
60012200,"PILE FABRICS, INCLUDING LONG PILE FABRICS AND TERRY FABRICS, KNITTED OR CROCHETED - LOOPED PILE FABRICS:OF MAN-MADE FIBRES",5%,,01/07/2017,
60012900,"PILE FABRICS, INCLUDING LONG PILE FABRICS AND TERRY FABRICS, KNITTED OR CROCHETED - LOOPED PILE FABRICS:OF OTHER TEXTILE MATERIALS",5%,,01/07/2017,
60019100,"PILE FABRICS, INCLUDING LONG PILE FABRICS AND TERRY FABRICS, KNITTED OR CROCHETED - OTHER:OF COTTON",5%,,01/07/2017,
60019200,"PILE FABRICS, INCLUDING LONG PILE FABRICS AND TERRY FABRICS, KNITTED OR CROCHETED - OTHER: OF MAN-MADE FIBRES",5%,,01/07/2017,
600199,OF OTHER TEXTILE MATERIALS,5%,,01/07/2017,
60019910,"PILE FABRICS, INCLUDING LONG PILE FABRICS AND TERRY FABRICS, KNITTED OR CROCHETED - OTHER:- OF OTHER TEXTILE MATERIALS:OF WOOL OR FINE ANIMAL HAIR",5%,,01/07/2017,
60019990,"PILE FABRICS, INCLUDING LONG PILE FABRICS AND TERRY FABRICS, KNITTED OR CROCHETED - OTHER:- OF OTHER TEXTILE MATERIALS:OTHER",5%,,01/07/2017,
