HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
6101,"MEN'S OR BOYS OVERCOATS, CARCOATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKIJACKETS), WIND-CHEATERS, WINDJACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6103(sale value not exceeding Rs 1000 per piece)",5%,,01/07/2017,
6101,"MEN'S OR BOYS OVERCOATS, CARCOATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKIJACKETS), WIND-CHEATERS, WINDJACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6103(sale value exceeding Rs 1000 per piece)",12%,,01/07/2017,
61011010,"MENS OR BOYS OVERCOATS, CARCOATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKI-JACKETS), WIND-CHEATERS, WINDJACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6103 - OF WOOL OR FINE ANIMAL HAIR : OF WOOL",12%,,01/07/2017,
61011020,"MENS OR BOYS OVERCOATS, CARCOATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKI-JACKETS), WIND-CHEATERS, WINDJACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6103 - OF WOOL OR FINE ANIMAL HAIR : OF KASHMIR (CASHMERE) GOATS",12%,,01/07/2017,
61011090,"MENS OR BOYS OVERCOATS, CARCOATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKI-JACKETS), WIND-CHEATERS, WINDJACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6103 - OF WOOL OR FINE ANIMAL HAIR : OTHER",12%,,01/07/2017,
61012000,"MENS OR BOYS OVERCOATS, CARCOATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKI-JACKETS), WIND-CHEATERS, WINDJACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6103 - OF COTTON",12%,,01/07/2017,
610130,OF MAN-MADE FIBRES,12%,,01/07/2017,
61013010,"MENS OR BOYS OVERCOATS, CARCOATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKI-JACKETS), WIND-CHEATERS, WINDJACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6103 - OF MAN-MADE FIBRES : OF SYNTHETIC FIBRES",12%,,01/07/2017,
61013020,"MENS OR BOYS OVERCOATS, CARCOATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKI-JACKETS), WIND-CHEATERS, WINDJACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6103 - OF MAN-MADE FIBRES : OF ARTIFICIAL FIBRES",12%,,01/07/2017,
610190,OTHER,12%,,01/07/2017,
61019010,"MENS OR BOYS OVERCOATS, CARCOATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKI-JACKETS), WIND-CHEATERS, WINDJACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6103 - OTHER : OF SILK",12%,,01/07/2017,
61019090,"MENS OR BOYS OVERCOATS, CARCOATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKI-JACKETS), WIND-CHEATERS, WINDJACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6103 - OTHER : OTHER",12%,,01/07/2017,
6102,"WOMEN'SOR GIRLS OVERCOATS,CAR-COATS, CAPES, CLOAKS,ANORAKS (INCLUDING SKIJACKETS), WIND-CHEATERS, WINDJACKETS AND SIMILAR ARTICLES, NITTED OR CROCHETED, OTHER HAN THOSE OF HEADING 6104(sale value not exceeding Rs 1000 per piece)",5%,,01/07/2017,
6102,"WOMEN'SOR GIRLS OVERCOATS,CAR-COATS, CAPES, CLOAKS,ANORAKS (INCLUDING SKIJACKETS), WIND-CHEATERS, WINDJACKETS AND SIMILAR ARTICLES, NITTED OR CROCHETED, OTHER HAN THOSE OF HEADING 6104(sale value exceeding Rs 1000 per piece)",12%,,01/07/2017,
61021000,"WOMENS OR GIRLS OVERCOATS, CAR-COATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKIJACKETS), WIND-CHEATERS, WIND-JACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6104 - OF WOOL OR FINE ANIMAL HAIR",12%,,01/07/2017,
61022000,"WOMENS OR GIRLS OVERCOATS, CAR-COATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKIJACKETS), WIND-CHEATERS, WIND-JACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6104 - OF COTTON",12%,,01/07/2017,
610230,OF MAN-MADE FIBRES,12%,,01/07/2017,
61023010,"WOMENS OR GIRLS OVERCOATS, CAR-COATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKIJACKETS), WIND-CHEATERS, WIND-JACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6104 - OF MAN-MADE FIBRES : OF SYNTHETIC FIBRES",12%,,01/07/2017,
61023020,"WOMENS OR GIRLS OVERCOATS, CAR-COATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKIJACKETS), WIND-CHEATERS, WIND-JACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6104 - OF MAN-MADE FIBRES : OF ARTIFICIAL FIBRES",12%,,01/07/2017,
610290,OTHER,12%,,01/07/2017,
61029010,"WOMENS OR GIRLS OVERCOATS, CAR-COATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKIJACKETS), WIND-CHEATERS, WIND-JACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6104 - OTHER : OF SILK",12%,,01/07/2017,
61029090,"WOMENS OR GIRLS OVERCOATS, CAR-COATS, CAPES, CLOAKS, ANORAKS (INCLUDING SKIJACKETS), WIND-CHEATERS, WIND-JACKETS AND SIMILAR ARTICLES, KNITTED OR CROCHETED, OTHER THAN THOSE OF HEADING 6104 - OTHER : OTHER",12%,,01/07/2017,
6103,"MEN'S OR BOYS' SUITS, ENSEMBLES, JACKETS, BLAZERS,TROUSERS, BIBAND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED(sale value not exceeding Rs 1000 per piece)",5%,,01/07/2017,
6103,"MEN'S OR BOYS' SUITS, ENSEMBLES, JACKETS, BLAZERS,TROUSERS, BIBAND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED(sale value exceeding Rs 1000 per piece)",12%,,01/07/2017,
610310,SUITS,12%,,01/07/2017,
61031010,SUITS OF SILK,12%,,01/07/2017,
61031020,SUITS OF COTTON,12%,,01/07/2017,
61031030,SUITS OF ARTIFICIAL FIBRES,12%,,01/07/2017,
61031090,OTHER SUITS,12%,,01/07/2017,
61031100,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - SUITS : OF WOOL OR FINE ANIMAL HAIR",12%,,01/07/2017,
61031200,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - SUITS : OF SYNTHETIC FIBRES",12%,,01/07/2017,
61031910,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - SUITS :OTHER : OF SILK",12%,,01/07/2017,
61031920,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - SUITS :OTHER : OF COTTON",12%,,01/07/2017,
61031930,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - SUITS :OTHER : OF ARTIFICIAL FIBRES",12%,,01/07/2017,
61031990,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - SUITS :OTHER : OTHER",12%,,01/07/2017,
61032100,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - ENSEMBLES : OF WOOL OR FINE ANIMAL HAIR",12%,,01/07/2017,
61032200,"MEN OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - ENSEMBLES : OF COTTON",12%,,01/07/2017,
61032300,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - ENSEMBLES : OF SYNTHETIC FIBRES",12%,,01/07/2017,
610329,OF OTHER TEXTILE MATERIALS,12%,,01/07/2017,
61032910,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - ENSEMBLES :OF OTHER TEXTILE MATERIALS : OF SILK",12%,,01/07/2017,
61032920,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - ENSEMBLES :OF OTHER TEXTILE MATERIALS : OF ARTIFICIAL FIBRES",12%,,01/07/2017,
61032990,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - ENSEMBLES :OF OTHER TEXTILE MATERIALS : OTHER",12%,,01/07/2017,
61033100,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - JACKETS AND BLAZERS : OF WOOL OR FINE ANIMAL HAIR",12%,,01/07/2017,
61033200,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - JACKETS AND BLAZERS : OF COTTON",12%,,01/07/2017,
61033300,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - JACKETS AND BLAZERS : OF SYNTHETIC FIBRES",12%,,01/07/2017,
610339,OF OTHER TEXTILE MATERIALS,12%,,01/07/2017,
61033910,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - JACKETS AND BLAZERS :OF OTHER TEXTILE MATERIALS : OF SILK",12%,,01/07/2017,
61033920,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - JACKETS AND BLAZERS :OF OTHER TEXTILE MATERIALS : OF ARTIFICIAL FIBRES",12%,,01/07/2017,
61033990,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - JACKETS AND BLAZERS :OF OTHER TEXTILE MATERIALS : OTHER",12%,,01/07/2017,
61034100,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS : OF WOOL OR FINE ANIMAL HAIR",12%,,01/07/2017,
61034200,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS : OF COTTON",12%,,01/07/2017,
61034300,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS : OF SYNTHETIC FIBRES",12%,,01/07/2017,
610349,OF OTHER TEXTILE MATERIALS,12%,,01/07/2017,
61034910,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS :OF OTHER TEXTILE MATERIALS : OF SILK",12%,,01/07/2017,
61034920,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS :OF OTHER TEXTILE MATERIALS : OF ARTIFICIAL FIBRES",12%,,01/07/2017,
61034990,"MENS OR BOYS SUITS, ENSEMBLES, JACKETS, BLAZERS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS :OF OTHER TEXTILE MATERIALS : OTHER",12%,,01/07/2017,
6104,"WOMEN'SOR GIRLS SUITS, ENSEMBLES, JACKETS, BLAZERS, DRESSES, SKIRTS, DIVIDED SKIRTS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED ---- SUITS(sale value not exceeding Rs 1000 per piece)",5%,,01/07/2017,
6104,"WOMEN'SOR GIRLS SUITS, ENSEMBLES, JACKETS, BLAZERS, DRESSES, SKIRTS, DIVIDED SKIRTS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED ---- SUITS(sale value exceeding Rs 1000 per piece)",12%,,01/07/2017,
61041100,"WOMENS OR GIRLS SUITS, ENSEMBLES, JACKETS, BLAZERS, DRESSES, SKIRTS, DIVIDED SKIRTS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - SUITS : OF WOOL OR FINE ANIMAL HAIR",12%,,01/07/2017,
61041200,"WOMENS OR GIRLS SUITS, ENSEMBLES, JACKETS, BLAZERS, DRESSES, SKIRTS, DIVIDED SKIRTS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - SUITS : OF COTTON",12%,,01/07/2017,
61041300,"WOMENS OR GIRLS SUITS, ENSEMBLES, JACKETS, BLAZERS, DRESSES, SKIRTS, DIVIDED SKIRTS, TROUSERS, BIB AND BRACE OVERALLS, BREECHES AND SHORTS (OTHER THAN SWIM WEAR), KNITTED OR CROCHETED - SUITS : OF SYNTHETIC FIBRES",12%,,01/07/2017,
