HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
6301,BLANKETS AND TRAVELLING RUGS(sale value not exceeding Rs. 1000 per piece),5%,,01/07/2017,
6301,BLANKETS AND TRAVELLING RUGS(sale value exceeding Rs. 1000 per piece),12%,,15/11/2017        1/07/2017,
63011000,BLANKETS AND TRAVELLING RUGS ELECTRIC BLANKETS,12%,,15/11/2017        1/07/2017,
63012000,"BLANKETS AND TRAVELLING RUGS BLANKETS (OTHER THAN ELECTRIC BLANKETS) AND TRAVELLING RUGS, OF WOOL OR FINE ANIMAL HAIR",12%,,15/11/2017        1/07/2017,
63013000,"BLANKETS AND TRAVELLING RUGS BLANKETS (OTHER THAN ELECTRIC BLANKETS) AND TRAVELLING RUGS, OF COTTON",12%,,15/11/2017        1/07/2017,
63014000,"BLANKETS AND TRAVELLING RUGS BLANKETS (OTHER THAN ELECTRIC BLANKETS) AND TRAVELLING RUGS, OF SYNTHETIC FIBRES",12%,,15/11/2017        1/07/2017,
630190,OTHER BLANKETS AND TRAVELLING RUGS,12%,,15/11/2017        1/07/2017,
63019010,BLANKETS AND TRAVELLING RUGS OTHER BLANKETS AND TRAVELLING RUGS:JUTE BLANKETS INCLUDING BLANKETS OF BLENDED JUTE,12%,,15/11/2017        1/07/2017,
63019090,BLANKETS AND TRAVELLING RUGS OTHER BLANKETS AND TRAVELLING RUGS: OTHER,12%,,15/11/2017        1/07/2017,
6302,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN(sale value not exceeding Rs. 1000 per piece)",5%,,01/07/2017,
6302,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN(sale value exceeding Rs. 1000 per piece)",12%,,15/11/2017        1/07/2017,
630210,"BED LINEN, KNITTED OR CROCHETED",12%,,15/11/2017        1/07/2017,
63021010,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN BED LINEN, KNITTED OR CROCHETED: OF COTTON",12%,,15/11/2017        1/07/2017,
63021090,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN BED LINEN, KNITTED OR CROCHETED: OTHER",12%,,15/11/2017        1/07/2017,
630221,OF COTTON,12%,,15/11/2017        1/07/2017,
63022110,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN - OF COTTON - OF HANDLOOM",12%,,15/11/2017        1/07/2017,
63022190,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN - OF COTTON - OTHER",12%,,15/11/2017        1/07/2017,
63022200,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN OTHER BED LINEN, PRINTED: OF MAN-MADE FIBRES",12%,,15/11/2017        1/07/2017,
63022900,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN OTHER BED LINEN, PRINTED: OF OTHER TEXTILE MATERIALS",12%,,15/11/2017        1/07/2017,
63023100,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN OTHER BED LINEN: OF COTTON",12%,,15/11/2017        1/07/2017,
63023200,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN OTHER BED LINEN: OF MAN-MADE FIBRES",12%,,15/11/2017        1/07/2017,
63023900,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN OTHER BED LINEN: OF OTHER TEXTILE MATERIALS",12%,,15/11/2017        1/07/2017,
630240,"TABLE LINEN, KNITTED OR CROCHETED",12%,,15/11/2017        1/07/2017,
63024010,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN TABLE LINEN, KNITTED OR CROCHETED: OF SILK",12%,,15/11/2017        1/07/2017,
63024020,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN TABLE LINEN, KNITTED OR CROCHETED: OF WOOL OR FINE ANIMAL HAIR",12%,,15/11/2017        1/07/2017,
63024030,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN TABLE LINEN, KNITTED OR CROCHETED: OF COTTON",12%,,15/11/2017        1/07/2017,
63024040,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN TABLE LINEN, KNITTED OR CROCHETED: OF MAN-MADE FIBRES",12%,,15/11/2017        1/07/2017,
63024090,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN TABLE LINEN, KNITTED OR CROCHETED: OTHER",12%,,15/11/2017        1/07/2017,
630251,OF COTTON,12%,,15/11/2017        1/07/2017,
63025110,OTHER TABLE LINEN - OF COTTON - OF HANDLOOM,12%,,15/11/2017        1/07/2017,
63025190,OTHER TABLE LINEN- OF COTTON - OTHER,12%,,15/11/2017        1/07/2017,
63025200,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN OTHER TABLE LINEN: OF FLAX",12%,,15/11/2017        1/07/2017,
63025300,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN OTHER TABLE LINEN: OF MAN-MADE FIBRES",12%,,15/11/2017        1/07/2017,
63025900,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN OTHER TABLE LINEN: OF OTHER TEXTILE MATERIALS",12%,,15/11/2017        1/07/2017,
63026010,"TOILET LINEN AND KITCHEN LINEN, OF TERRY TOWELLING OR SIMILAR TERRY FABRICS, OF COTTON - OF HANDLOOM",12%,,15/11/2017        1/07/2017,
63026090,"TOILET LINEN AND KITCHEN LINEN, OF TERRY TOWELLING OR SIMILAR TERRY FABRICS, OF COTTON - OTHER",12%,,15/11/2017        1/07/2017,
63029110,"BED LINEN, TABLE LINEN, TOILET LINEN AND KITCHEN LINEN - OF COTTON - HANDLOOM",12%,,15/11/2017        1/07/2017,
