HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
6401,"WATERPROOF FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR OF PLASTICS, THE UPPERS OF WHICH ARE NEITHER FIXED TO THE SOLE NOR ASSEMBLED BY STITCHING, RIVETING, NAILING, SCREWING, PLUGGING OR SIMILAR PROCESSES",18%,,01/07/2017,
640110,FOOTWEAR INCORPORATING A PROTECTIVE METAL TOE-CAP,18%,,01/07/2017,
64011010,"WATERPROOF FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR OF PLASTICS, THE UPPERS OF WHICH ARE NEITHER FIXED TO THE SOLE NOR ASSEMBLED BY STITCHING, RIVETING, NAILING, SCREWING, PLUGGING OR SIMILAR PROCESSES FOOTWEAR INCORPORATING A PROTECTIVE METAL TO",18%,,01/07/2017,
64011090,"WATERPROOF FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR OF PLASTICS, THE UPPERS OF WHICH ARE NEITHER FIXED TO THE SOLE NOR ASSEMBLED BY STITCHING, RIVETING, NAILING, SCREWING, PLUGGING OR SIMILAR PROCESSES FOOTWEAR INCORPORATING A PROTECTIVE METAL TO",18%,,01/07/2017,
64019110,"WATERPROOF FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR OF PLASTICS, THE UPPERS OF WHICH ARE NEITHER FIXED TO THE SOLE NOR ASSEMBLED BY STITCHING, RIVETING, NAILING, SCREWING, PLUGGING OR SIMILAR PROCESSES OTHER FOOTWEAR : COVERING THE KNEE: OF RUBBE",18%,,01/07/2017,
64019190,"WATERPROOF FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR OF PLASTICS, THE UPPERS OF WHICH ARE NEITHER FIXED TO THE SOLE NOR ASSEMBLED BY STITCHING, RIVETING, NAILING, SCREWING, PLUGGING OR SIMILAR PROCESSES OTHER FOOTWEAR : COVERING THE KNEE: OTHER",18%,,01/07/2017,
640192,COVERING THE ANKLE BUT NOT COVERING THE KNEE,18%,,01/07/2017,
64019210,"WATERPROOF FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR OF PLASTICS, THE UPPERS OF WHICH ARE NEITHER FIXED TO THE SOLE NOR ASSEMBLED BY STITCHING, RIVETING, NAILING, SCREWING, PLUGGING OR SIMILAR PROCESSES OTHER FOOTWEAR : COVERING THE ANKLE BUT NOT",18%,,01/07/2017,
64019290,"WATERPROOF FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR OF PLASTICS, THE UPPERS OF WHICH ARE NEITHER FIXED TO THE SOLE NOR ASSEMBLED BY STITCHING, RIVETING, NAILING, SCREWING, PLUGGING OR SIMILAR PROCESSES OTHER FOOTWEAR : COVERING THE ANKLE BUT NOT",18%,,01/07/2017,
640199,OTHER,18%,,01/07/2017,
64019910,"WATERPROOF FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR OF PLASTICS, THE UPPERS OF WHICH ARE NEITHER FIXED TO THE SOLE NOR ASSEMBLED BY STITCHING, RIVETING, NAILING, SCREWING, PLUGGING OR SIMILAR PROCESSES OTHER FOOTWEAR : OTHER: OF RUBBER",18%,,01/07/2017,
64019990,"WATERPROOF FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR OF PLASTICS, THE UPPERS OF WHICH ARE NEITHER FIXED TO THE SOLE NOR ASSEMBLED BY STITCHING, RIVETING, NAILING, SCREWING, PLUGGING OR SIMILAR PROCESSES OTHER FOOTWEAR : OTHER: OTHER",18%,,01/07/2017,
6402,OTHER FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS - SPORTS FOOTWEAR,18%,,01/07/2017,
640212,"SKI-BOOTS, CROSS-COUNTRY SKI FOOTWEAR AND SNOWBOARD BOOTS",18%,,01/07/2017,
64021210,"OTHER FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS SPORTS FOOTWEAR : SKI-BOOTS, CROSS-COUNTRY SKI FOOTWEAR AND SNOWBOARD BOOTS: OF RUBBER",18%,,01/07/2017,
64021290,"OTHER FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS SPORTS FOOTWEAR : SKI-BOOTS, CROSS-COUNTRY SKI FOOTWEAR AND SNOWBOARD BOOTS: OTHER",18%,,01/07/2017,
640219,OTHER,18%,,01/07/2017,
64021910,OTHER FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS SPORTS FOOTWEAR : OTHER : OF RUBBER,18%,,01/07/2017,
64021990,OTHER FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS SPORTS FOOTWEAR : OTHER : OTHER,18%,,01/07/2017,
640220,FOOTWEAR WITH UPPER STRAPS OR THONGS ASSEMBLED TO THE SOLE BY MEANS OF PLUGS,18%,,01/07/2017,
64022010,OTHER FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS FOOTWEAR WITH UPPER STRAPS OR THONGS ASSEMBLED TO THE SOLE BY MEANS OF PLUGS: OF RUBBER,18%,,01/07/2017,
64022090,OTHER FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS FOOTWEAR WITH UPPER STRAPS OR THONGS ASSEMBLED TO THE SOLE BY MEANS OF PLUGS: OTHER,18%,,01/07/2017,
64023010,"OTHER FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS OTHER FOOTWEAR, INCORPORATING A PROTECTIVE METAL TOE-CAP: OF RUBBER",18%,,01/07/2017,
64023090,"OTHER FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS OTHER FOOTWEAR, INCORPORATING A PROTECTIVE METAL TOE-CAP: OTHER",18%,,01/07/2017,
640291,COVERING THE ANKLE,18%,,01/07/2017,
64029110,OTHER FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS OTHER FOOTWEAR :COVERING THE ANKLE:OF RUBBER,18%,,01/07/2017,
64029190,OTHER FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS OTHER FOOTWEAR :COVERING THE ANKLE:OTHER,18%,,01/07/2017,
640299,OTHER,18%,,01/07/2017,
64029910,OTHER FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS OTHER FOOTWEAR :OTHER: OF RUBBER,18%,,01/07/2017,
64029990,OTHER FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS OTHER FOOTWEAR :OTHER: OTHER,18%,,01/07/2017,
6403,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER - SPORTS FOOTWEAR",18%,,01/07/2017,
64031200,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER SPORTS FOOTWEAR : SKI-BOOTS, CROSS-COUNTRY SKI FOOTWEAR AND SNOWBOARD BOOTS",18%,,01/07/2017,
640319,OTHER,18%,,01/07/2017,
64031910,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER SPORTS FOOTWEAR : OTHER: WITH OUTER SOLES OF LEATHER",18%,,01/07/2017,
64031920,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER SPORTS FOOTWEAR : OTHER: WITH OUTER SOLES OF RUBBER",18%,,01/07/2017,
64031990,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER SPORTS FOOTWEAR :OTHER: OTHER",18%,,01/07/2017,
640320,"FOOTWEAR WITH OUTER SOLES OF LEATHER, AND UPPERS WHICH CONSIST OF LEATHER STRAPS ACROSS THE INSTEP AND AROUND THE BIG TOE",18%,,01/07/2017,
64032011,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER FOOTWEAR WITH OUTER SOLES OF LEATHER, AND UPPERS WHICH CONSIST OF LEATHER STRAPS ACROSS THE INSTEP AND AROUND THE BIG TOE: ALL LEATHER, CLOSED TOE: FOR MEN",18%,,01/07/2017,
64032012,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER FOOTWEAR WITH OUTER SOLES OF LEATHER, AND UPPERS WHICH CONSIST OF LEATHER STRAPS ACROSS THE INSTEP AND AROUND THE BIG TOE: ALL LEATHER, CLOSED TOE: FOR WOM",18%,,01/07/2017,
64032013,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER FOOTWEAR WITH OUTER SOLES OF LEATHER, AND UPPERS WHICH CONSIST OF LEATHER STRAPS ACROSS THE INSTEP AND AROUND THE BIG TOE: ALL LEATHER, CLOSED TOE: FOR CHI",18%,,01/07/2017,
64032019,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER FOOTWEAR WITH OUTER SOLES OF LEATHER, AND UPPERS WHICH CONSIST OF LEATHER STRAPS ACROSS THE INSTEP AND AROUND THE BIG TOE: ALL LEATHER, CLOSED TOE: OTHER",18%,,01/07/2017,
64032021,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER FOOTWEAR WITH OUTER SOLES OF LEATHER, AND UPPERS WHICH CONSIST OF LEATHER STRAPS ACROSS THE INSTEP AND AROUND THE BIG TOE: ALL LEATHER, OPEN TOE: FOR MEN",18%,,01/07/2017,
64032022,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER FOOTWEAR WITH OUTER SOLES OF LEATHER, AND UPPERS WHICH CONSIST OF LEATHER STRAPS ACROSS THE INSTEP AND AROUND THE BIG TOE: ALL LEATHER, OPEN TOE:FOR WOMEN",18%,,01/07/2017,
64032023,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER FOOTWEAR WITH OUTER SOLES OF LEATHER, AND UPPERS WHICH CONSIST OF LEATHER STRAPS ACROSS THE INSTEP AND AROUND THE BIG TOE: ALL LEATHER, OPEN TOE:FOR CHILDR",18%,,01/07/2017,
64032029,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER FOOTWEAR WITH OUTER SOLES OF LEATHER, AND UPPERS WHICH CONSIST OF LEATHER STRAPS ACROSS THE INSTEP AND AROUND THE BIG TOE: ALL LEATHER, OPEN TOE:OTHERS",18%,,01/07/2017,
64032030,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER FOOTWEAR WITH OUTER SOLES OF LEATHER, AND UPPERS WHICH CONSIST OF LEATHER STRAPS ACROSS THE INSTEP AND AROUND THE BIG TOE: OF LEATHER SOLES WITH EMBROIDERE",18%,,01/07/2017,
64032040,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER FOOTWEAR WITH OUTER SOLES OF LEATHER, AND UPPERS WHICH CONSIST OF LEATHER STRAPS ACROSS THE INSTEP AND AROUND THE BIG TOE: KOLAPURI CHAPPALS AND SIMILAR FO",18%,,01/07/2017,
64032090,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER FOOTWEAR WITH OUTER SOLES OF LEATHER, AND UPPERS WHICH CONSIST OF LEATHER STRAPS ACROSS THE INSTEP AND AROUND THE BIG TOE: OTHER",18%,,01/07/2017,
64033000,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER FOOTWEAR MADE ON A BASE OR PLATFORM OF WOOD, NOT HAVING AN INNER SOLE OR A PROTECTIVE METAL TOE-CAP",18%,,01/07/2017,
64034000,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER OTHER FOOTWEAR, INCORPORATING A PROTECTIVE METAL TOE-CAP",18%,,01/07/2017,
640351,COVERING THE ANKLE,18%,,01/07/2017,
64035111,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER OTHER FOOTWEAR, WITH OUTER SOLES OF LEATHER : COVERING THE ANKLE: ALL LEATHER SHOES: FOR MEN",18%,,01/07/2017,
64035112,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER OTHER FOOTWEAR, WITH OUTER SOLES OF LEATHER : COVERING THE ANKLE: ALL LEATHER SHOES: FOR WOMEN",18%,,01/07/2017,
64035113,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER OTHER FOOTWEAR, WITH OUTER SOLES OF LEATHER : COVERING THE ANKLE: ALL LEATHER SHOES: FOR CHILDREN",18%,,01/07/2017,
64035119,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER OTHER FOOTWEAR, WITH OUTER SOLES OF LEATHER : COVERING THE ANKLE: ALL LEATHER SHOES: OTHER",18%,,01/07/2017,
64035190,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER OTHER FOOTWEAR, WITH OUTER SOLES OF LEATHER : COVERING THE ANKLE: OTHER",18%,,01/07/2017,
640359,OTHER,18%,,01/07/2017,
64035910,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER OTHER FOOTWEAR, WITH OUTER SOLES OF LEATHER : OTHER: FOR MEN",18%,,01/07/2017,
64035920,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER OTHER FOOTWEAR, WITH OUTER SOLES OF LEATHER : OTHER: FOR WOMEN",18%,,01/07/2017,
64035930,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER OTHER FOOTWEAR, WITH OUTER SOLES OF LEATHER : OTHER: FOR CHILDREN",18%,,01/07/2017,
64035990,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER OTHER FOOTWEAR, WITH OUTER SOLES OF LEATHER : OTHER: OTHER",18%,,01/07/2017,
640391,COVERING THE ANKLE,18%,,01/07/2017,
64039110,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER OTHER FOOTWEAR: COVERING THE ANKLE: LEATHER BOOTS AND OTHER FOOTWEAR WITH RUBBER SOLE",18%,,01/07/2017,
64039120,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER OTHER FOOTWEAR: COVERING THE ANKLE: LEATHER FOOTWEAR WITH PLASTIC AND SYNTHETIC SOLE",18%,,01/07/2017,
64039190,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER OTHER FOOTWEAR: COVERING THE ANKLE: OTHER",18%,,01/07/2017,
640399,OTHER,18%,,01/07/2017,
64039910,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER OTHER FOOTWEAR: OTHER: LEATHER SANDALS WITH RUBBER SOLE",18%,,01/07/2017,
64039920,"FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF LEATHER OTHER FOOTWEAR: OTHER: LEATHER SANDALS WITH PLASTIC OR SYNTHETIC SOLE",18%,,01/07/2017,
