HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
6501,"Article of apparel and clothing accessories or cap/topi, knitted or crocheted, of sale value not exceeding Rs 1000 per piece",5%,,27/07/2018,
6501,Textile caps,12%,,22/09/2017,
6501,"HATS AND OTHER HEADGER, KNITTED OR CROCHETED, OR MADE UP FROM LACE, FELT OR OTHER TEXTILE FABRIC, IN THE PIECE (BUT NOT IN STRIPS), WHETHER OR NOT LINED OR TRIMMED; HAIR-NETS OF ANY MATERIAL, WHETHER OR NOT LINED OR TRIMMED",18%,,27/07/2018               22/09/2017                          1/07/2017,
650100,"HAT-FORMS, HAT BODIES AND HOODS OF FELT, NEITHER BLOCKED TO SHAPE NOR WITH MADE BRIMS; PLATEAUX AND MANCHONS (INCLUDING SLIT MANCHONS), OF FELT",,,27/07/2018               22/09/2017                          1/07/2017,
65010010,"HAT-FORMS, HAT BODIES AND HOODS OF FELT, NEITHER BLOCKED TO SHAPE NOR WITH MADE BRIMS; PLATEAUX AND MANCHONS (INCLUDING SLIT MANCHONS), OF FELT HAT-FORMS, HAT BODIES AND HOODS OF FELT, NEITHER BLOCKED TO SHAPE NOR WITH MADE BRIMS; PLATEAUX AND MANCHONS (I",18%,,27/07/2018               22/09/2017                          1/07/2017,
65010020,"HAT-FORMS, HAT BODIES AND HOODS OF FELT, NEITHER BLOCKED TO SHAPE NOR WITH MADE BRIMS; PLATEAUX AND MANCHONS (INCLUDING SLIT MANCHONS), OF FELT HAT-FORMS, HAT BODIES AND HOODS OF FELT, NEITHER BLOCKED TO SHAPE NOR WITH MADE BRIMS; PLATEAUX AND MANCHONS (I",18%,,27/07/2018               22/09/2017                          1/07/2017,
65010090,"HAT-FORMS, HAT BODIES AND HOODS OF FELT, NEITHER BLOCKED TO SHAPE NOR WITH MADE BRIMS; PLATEAUX AND MANCHONS (INCLUDING SLIT MANCHONS), OF FELT HAT-FORMS, HAT BODIES AND HOODS OF FELT, NEITHER BLOCKED TO SHAPE NOR WITH MADE BRIMS; PLATEAUX AND MANCHONS (I",18%,,27/07/2018               22/09/2017                          1/07/2017,
6502,"HAT-SHAPES, PLAITED OR MADE BY ASSEMBLING STRIPS OF ANY MATERIAL, NEITHER BLOCKED TO SHAPE, NOR WITH MADE BRIMS, NOR LINED, NOR TRIMMED",18%,,01/07/2017,
650200,"HAT-SHAPES, PLAITED OR MADE BY ASSEMBLING STRIPS OF ANY MATERIAL, NEITHER BLOCKED TO SHAPE, NOR WITH MADE BRIMS, NOR LINED, NOR TRIMMED",18%,,01/07/2017,
65020010,"HAT-SHAPES, PLAITED OR MADE BY ASSEMBLING STRIPS OF ANY MATERIAL, NEITHER BLOCKED TO SHAPE, NOR WITH MADE BRIMS, NOR LINED, NOR TRIMMED HAT-SHAPES, PLAITED OR MADE BY ASSEMBLING STRIPS OF ANY MATERIAL, NEITHER BLOCKED TO SHAPE, NOR WITH MADE BRIMS, NOR LI",18%,,01/07/2017,
65020020,"HAT-SHAPES, PLAITED OR MADE BY ASSEMBLING STRIPS OF ANY MATERIAL, NEITHER BLOCKED TO SHAPE, NOR WITH MADE BRIMS, NOR LINED, NOR TRIMMED HAT-SHAPES, PLAITED OR MADE BY ASSEMBLING STRIPS OF ANY MATERIAL, NEITHER BLOCKED TO SHAPE, NOR WITH MADE BRIMS, NOR LI",18%,,01/07/2017,
65020090,"HAT-SHAPES, PLAITED OR MADE BY ASSEMBLING STRIPS OF ANY MATERIAL, NEITHER BLOCKED TO SHAPE, NOR WITH MADE BRIMS, NOR LINED, NOR TRIMMED HAT-SHAPES, PLAITED OR MADE BY ASSEMBLING STRIPS OF ANY MATERIAL, NEITHER BLOCKED TO SHAPE, NOR WITH MADE BRIMS, NOR LI",18%,,01/07/2017,
6503,OMITTED,0%,,01/07/2017,
65030000,OMITTED,0%,,01/07/2017,
6504,"HATS AND OTHER HEADGEAR, PLAITED OR MADE BY ASSEMBLING STRIPS OF ANY MATERIAL, WHETHER ORNOT LINED OR TRIMMED",0%,,01/07/2017,
650400,HATS AND OTHER HEAD GEAR,0%,,01/07/2017,
65040000,"HATS AND OTHER HEADGEAR, PLAITED OR MADE BY ASSEMBLING STRIPS OF ANY MATERIAL, WHETHER ORNOT LINED OR TRIMMED",18%,,01/07/2017,
6505,"Article of apparel and clothing accessories or cap/topi, knitted or crocheted, of sale value not exceeding Rs 1000 per piece",5%,,27/07/2018,
6505,Hats (knitted/crocheted) or made up from lace or other textile fabrics,12%,,15/11/2017,
6505,"HATS AND OTHER HEADGEAR, KNITTED OR CROCHETED, OR MADE UP FROM LACE, FELT OR OTHER TEXTILE FABRIC, IN THE PIECE (BUT NOT IN STRIPS), WHETHER OR NOT LINED OR TRIMMED; HAIR-NETS OF ANY MATERIAL, WHETHER OR NOT LINED OR TRIMMED",18%,,27/07/2018                          15/11/2017                        1/07/2017,
650500,"HATS AND OTHER HEADGEAR, KNITTED OR CROCHETED, OR MADE UP FROM LACE, FELT OR OTHER TEXTILE FABRIC, IN THE PIECE (BUT NOT IN STRIPS), WHETHER OR NOT LINED OR TRIMMED; HAIR-NETS OF ANY MATERIAL, WHETHER OR NOT LINED OR TRIMMED",18%,,27/07/2018                          15/11/2017                        1/07/2017,
65050010,"HATS AND OTHER HEADGEAR, KNITTED OR CROCHETED, OR MADE UP FROM LACE, FELT OR OTHER TEXTILE FABRIC, IN THE PIECE (BUT NOT IN STRIPS), WHETHER OR NOT LINED OR TRIMMED; HAIR-NETS OF ANY MATERIAL, WHETHER OR NOT LINED OR TRIMMED--- HAIR-NETS",18%,,27/07/2018                          15/11/2017                        1/07/2017,
65050090,"HATS AND OTHER HEADGEAR, KNITTED OR CROCHETED, OR MADE UP FROM LACE, FELT OR OTHER TEXTILE FABRIC, IN THE PIECE (BUT NOT IN STRIPS), WHETHER OR NOT LINED OR TRIMMED; HAIR-NETS OF ANY MATERIAL, WHETHER OR NOT LINED OR TRIMME---OTHER",18%,,27/07/2018                          15/11/2017                        1/07/2017,
6506,"OTHER HEADGEAR, WHETHER OR NOT LINED OR TRIMMED",18%,,01/07/2017,
650610,SAFETY HEADGEAR,18%,,01/07/2017,
65061010,"OTHER HEADGEAR, WHETHER OR NOT LINED OR TRIMMED SAFETY HEADGEAR: SPEED GLASS WELDING HELMETS OR OTHER HELMETS MEANT FOR INDUSTRIAL USE",18%,,01/07/2017,
65061090,"OTHER HEADGEAR, WHETHER OR NOT LINED OR TRIMMED SAFETY HEADGEAR: OTHER",18%,,01/07/2017,
65069100,"OTHER HEADGEAR, WHETHER OR NOT LINED OR TRIMMED OTHER:OF RUBBER OR OF PLASTICS",18%,,01/07/2017,
65069200,"OTHER HEADGEAR, WHETHER OR NOT LINED OR TRIMMED OTHER:OF FURSKIN",18%,,01/07/2017,
65069900,"OTHER HEADGEAR, WHETHER OR NOT LINED OR TRIMMED OTHER:OF OTHER MATERIALS",18%,,01/07/2017,
6507,"HEAD-BANDS, LININGS, COVERS, HAT FOUNDATIONS, HAT FRAMES, PEAKS AND CHINSTRAPS, FOR HEADGEAR",18%,,01/07/2017,
65070000,"HEAD-BANDS, LININGS, COVERS, HAT FOUNDATIONS, HAT FRAMES, PEAKS AND CHINSTRAPS, FOR HEADGEAR",18%,,01/07/2017,
