HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
6601,"UMBRELLAS AND SUN UMBRELLAS (INCLUDING WALKING-STICK UMBRELLAS, GARDEN UMBRELLAS AND SIMILAR UMBRELLAS)",12%,,01/07/2017,
66011000,"UMBRELLAS AND SUN UMBRELLAS (INCLUDING WALKINGSTICK UMBRELLAS, GARDEN UMBRELLAS AND SIMILAR UMBRELLAS) - GARDEN OR SIMILAR UMBRELLAS",12%,,01/07/2017,
66019100,"UMBRELLAS AND SUN UMBRELLAS (INCLUDING WALKINGSTICK UMBRELLAS, GARDEN UMBRELLAS AND SIMILAR UMBRELLAS)- OTHER: HAVING A TELESCOPIC SHAFT",12%,,01/07/2017,
66019900,"UMBRELLAS AND SUN UMBRELLAS (INCLUDING WALKINGSTICK UMBRELLAS, GARDEN UMBRELLAS AND SIMILAR UMBRELLAS)- OTHER: OTHER",12%,,01/07/2017,
6602,"WALKING-STICKS, SEAT-STICKS, WHIPS, RIDING CROPS AND THE LIKE",12%,,01/07/2017,
66020000,"WALKING-STICKS, SEAT-STICKS, WHIPS, RIDING CROPS AND THE LIKE",5%,,01/01/2019                         1/07/2017,
6603,"PARTS, TRIMMINGS AND ACCESSORIES OF ARTICLES OF HEADING 6601 TO 6602",12%,,01/07/2017,
66031010,"PARTS, TRIMMINGS AND ACCESSORIES OF ARTICLES OF HEADING 6601 TO 6602- HANDLES AND KNOBS:UMBRELLA HANDLES WITH OR WITHOUT STEMS, PLASTIC",12%,,01/07/2017,
66031090,"PARTS, TRIMMINGS AND ACCESSORIES OF ARTICLES OF HEADING 6601 TO 6602- HANDLES AND KNOBS:OTHER",12%,,01/07/2017,
66032000,"PARTS, TRIMMINGS AND ACCESSORIES OF ARTICLES OF HEADING 6601 TO 6602 - UMBRELLA FRAMES, INCLUDING FRAMES MOUNTED ON SHAFTS (STICKS)",12%,,01/07/2017,
660390,OTHER,12%,,01/07/2017,
66039010,"PARTS, TRIMMINGS AND ACCESSORIES OF ARTICLES OF HEADING 6601 TO 6602- OTHER:UMBRELLA RIBS",12%,,01/07/2017,
66039090,"PARTS, TRIMMINGS AND ACCESSORIES OF ARTICLES OF HEADING 6601 TO 6602- OTHER:OTHER",12%,,01/07/2017,
