HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
6801,"SETTS, CURBSTONES AND FLAGSTONES, OF NATURAL STONE (EXCEPT SLATE)",18%,,15/11/2017                           -                                 1/07/2017,
68010000,"SETTS, CURBSTONES AND FLAGSTONES, OF NATURAL STONE (EXCEPT SLATE)",18%,,15/11/2017                           -                                 1/07/2017,
6802,"Ecaussine and other calcareous monumental or building stone alabaster [other than marble and
travertine], other than mirror polished stone which is ready to use",5%,,01/07/2017,
6802,"Statues, statuettes, pedestals; high or low reliefs, crosses, figures of animals, bowls, vases, cups, cachou boxes, writing sets, ashtrays, paper weights, artificial fruit and foliage, etc.; other ornamental goods essentially of stone",12%,,22/09/2017,
6802,"WORKED MONUMENTAL OR BUILDING STONE (EXCEPT SLATE) AND ARTICLES THEREOF, OTHER THAN GOODS OF HEADING 6801; MOSAIC CUBES AND THE LIKE, OF NATURAL STONE (INCLUDING SLATE), WHETHER OR NOT ON A BACKING; ARTIFICIALLY COLOURED GRANULES, CHIPPINGS AND POWDER, OF",18%,,15/11/2017                -                           13/10/2017            22/09/2017,
68021000,"WORKED MONUMENTAL OR BUILDING STONE (EXCEPT SLATE) AND ARTICLES THEREOF, OTHER THAN GOODS OF HEADING 6801; MOSAIC CUBES AND THE LIKE, OF NATURAL STONE (INCLUDING SLATE), WHETHER OR NOT ON A BACKING; ARTIFICIALLY COLOURED GRANULES, CHIPPINGS AND POWDER, OF",18%,,15/11/2017                -                           13/10/2017            22/09/2017,
680221,"MARBLE, TRAVERTINE AND ALABASTER",18%,,15/11/2017                -                           13/10/2017            22/09/2017,
68022110,"WORKED MONUMENTAL OR BUILDING STONE (EXCEPT SLATE) AND ARTICLES THEREOF, OTHER THAN GOODS OF HEADING 6801; MOSAIC CUBES AND THE LIKE, OF NATURAL STONE (INCLUDING SLATE), WHETHER OR NOT ON A BACKING; ARTIFICIALLY COLOURED GRANULES, CHIPPINGS AND POWDER, OF",18%,,15/11/2017                -                           13/10/2017            22/09/2017,
68022120,"WORKED MONUMENTAL OR BUILDING STONE (EXCEPT SLATE) AND ARTICLES THEREOF, OTHER THAN GOODS OF HEADING 6801; MOSAIC CUBES AND THE LIKE, OF NATURAL STONE (INCLUDING SLATE), WHETHER OR NOT ON A BACKING; ARTIFICIALLY COLOURED GRANULES, CHIPPINGS AND POWDER, OF",18%,,15/11/2017                -                           13/10/2017            22/09/2017,
68022190,"WORKED MONUMENTAL OR BUILDING STONE (EXCEPT SLATE) AND ARTICLES THEREOF, OTHER THAN GOODS OF HEADING 6801; MOSAIC CUBES AND THE LIKE, OF NATURAL STONE (INCLUDING SLATE), WHETHER OR NOT ON A BACKING; ARTIFICIALLY COLOURED GRANULES, CHIPPINGS AND POWDER, OF",18%,,15/11/2017                -                           13/10/2017            22/09/2017,
68022200,"WORKED MONUMENTAL OR BUILDING STONE (EXCEPT SLATE) AND ARTICLES THEREOF, OTHER THAN GOODS OF HEADING 6801; MOSAIC CUBES AND THE LIKE, OF NATURAL STONE (INCLUDING SLATE), WHETHER OR NOT ON A BACKING; ARTIFICIALLY COLOURED GRANULES, CHIPPINGS AND POWDER, OF",18%,,15/11/2017                -                           13/10/2017            22/09/2017,
680223,GRANITE,18%,,15/11/2017                -                           13/10/2017            22/09/2017,
68022310,"WORKED MONUMENTAL OR BUILDING STONE (EXCEPT SLATE) AND ARTICLES THEREOF, OTHER THAN GOODS OF HEADING 6801; MOSAIC CUBES AND THE LIKE, OF NATURAL STONE (INCLUDING SLATE), WHETHER OR NOT ON A BACKING; ARTIFICIALLY COLOURED GRANULES, CHIPPINGS AND POWDER, OF",18%,,15/11/2017                -                           13/10/2017            22/09/2017,
68022390,"WORKED MONUMENTAL OR BUILDING STONE (EXCEPT SLATE) AND ARTICLES THEREOF, OTHER THAN GOODS OF HEADING 6801; MOSAIC CUBES AND THE LIKE, OF NATURAL STONE (INCLUDING SLATE), WHETHER OR NOT ON A BACKING; ARTIFICIALLY COLOURED GRANULES, CHIPPINGS AND POWDER, OF",18%,,15/11/2017                -                           13/10/2017            22/09/2017,
68022900,"WORKED MONUMENTAL OR BUILDING STONE (EXCEPT SLATE) AND ARTICLES THEREOF, OTHER THAN GOODS OF HEADING 6801; MOSAIC CUBES AND THE LIKE, OF NATURAL STONE (INCLUDING SLATE), WHETHER OR NOT ON A BACKING; ARTIFICIALLY COLOURED GRANULES, CHIPPINGS AND POWDER, OF",18%,,15/11/2017                -                           13/10/2017            22/09/2017,
68029100,"WORKED MONUMENTAL OR BUILDING STONE (EXCEPT SLATE) AND ARTICLES THEREOF, OTHER THAN GOODS OF HEADING 6801; MOSAIC CUBES AND THE LIKE, OF NATURAL STONE (INCLUDING SLATE), WHETHER OR NOT ON A BACKING; ARTIFICIALLY COLOURED GRANULES, CHIPPINGS AND POWDER, OF",18%,,15/11/2017                -                           13/10/2017            22/09/2017,
