HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
449,"POTATOES, FRESH OR CHILLED",5%,,01/07/2017,
449,"POTATOES, FRESH OR CHILLED",0%,,01/07/2017,
1839616,"POTATOES, FRESH OR CHILLED SEED",5%,,01/07/2017,
7019000.0,"POTATOES, FRESH OR CHILLED OTHER",5%,,01/07/2017,
450,"TOMATOES, FRESH OR CHILLED",5%,,01/07/2017,
450,"TOMATOES, FRESH OR CHILLED",0%,,01/07/2017,
1843200,"TOMATOES, FRESH OR CHILLED",5%,,01/07/2017,
451,"ONIONS, SHALLOTS, GARLIC, LEEKS AND OTHER ALLIACEOUS VEGETABLES, FRESH OR CHILLED",5%,,01/07/2017,
451,"ONIONS, SHALLOTS, GARLIC, LEEKS AND OTHER ALLIACEOUS VEGETABLES, FRESH OR CHILLED",0%,,01/07/2017,
1847816,"ONIONS, SHALLOTS, GARLIC, LEEKS AND OTHERALLIACEOUS VEGETABLES, FRESH OR CHILLED ONIONS AND SHALLOTS ONIONS",5%,,01/07/2017,
1847824,"ONIONS, SHALLOTS, GARLIC, LEEKS AND OTHERALLIACEOUS VEGETABLES, FRESH OR CHILLED ONIONS AND SHALLOTS SHALLOTS",5%,,01/07/2017,
1848320,"ONIONS, SHALLOTS, GARLIC, LEEKS AND OTHERALLIACEOUS VEGETABLES, FRESH OR CHILLED GARLIC",5%,,01/07/2017,
7039000.0,"ONIONS, SHALLOTS, GARLIC, LEEKS AND OTHERALLIACEOUS VEGETABLES, FRESH OR CHILLED LEEKS AND OTHER ALLIACEOUS VEGETABLES",5%,,01/07/2017,
452,"CABBAGES, CAULIFLOWERS, KOHLRABI, KALE AND SIMILAR EDIBLE BRASSICAS, FRESH OR CHILLED",5%,,01/07/2017,
452,"CABBAGES, CAULIFLOWERS, KOHLRABI, KALE AND SIMILAR EDIBLE BRASSICAS, FRESH OR CHILLED",0%,,01/07/2017,
1851904,"CABBAGES, CAULIFLOWERS, KOHLRABI, KALEAND SIMILAR EDIBLE BRASSICAS, FRESH ORCHILLED CAULIFLOWERS AND HEADED BROCCOLI",5%,,01/07/2017,
1852416,"CABBAGES, CAULIFLOWERS, KOHLRABI, KALEAND SIMILAR EDIBLE BRASSICAS, FRESH ORCHILLED BRUSSELS SPROUTS",5%,,01/07/2017,
7049000.0,"CABBAGES, CAULIFLOWERS, KOHLRABI, KALEAND SIMILAR EDIBLE BRASSICAS, FRESH ORCHILLED OTHER",5%,,01/07/2017,
453,"LETTUCE (LACTUCASATIVA) AND CHICORY (CICHORIUM SPP. ), FRESH OR CHILLED - LETTUCE:",5%,,01/07/2017,
453,"LETTUCE (LACTUCASATIVA) AND CHICORY (CICHORIUM SPP. ), FRESH OR CHILLED - LETTUCE:",0%,,01/07/2017,
1856064,"LETTUCE (LACTUCASATIVA) AND CHICORY(CICHORIUM SPP. ), FRESH OR CHILLED LETTUCE : CABBAGE LETTUCE (HEAD LETTUCE)",5%,,01/07/2017,
7051900.0,"LETTUCE (LACTUCASATIVA) AND CHICORY(CICHORIUM SPP. ), FRESH OR CHILLED LETTUCE : OTHER",5%,,01/07/2017,
1856576,"LETTUCE (LACTUCASATIVA) AND CHICORY(CICHORIUM SPP. ), FRESH OR CHILLED CHICORY WITLOOF CHICORY (CICHORIUM INTYBUS VAR. FOLIOSUM)",5%,,01/07/2017,
7052900.0,"LETTUCE (LACTUCASATIVA) AND CHICORY(CICHORIUM SPP. ), FRESH OR CHILLEDCHICORY OTHER",5%,,01/07/2017,
454,"CARROTS, TURNIPS, SALAD BEETROOT, SALSIFY, CELERIAC, RADISHES AND SIMILAR EDIBLE ROOTS, FRESH OR CHILLED",5%,,01/07/2017,
454,"CARROTS, TURNIPS, SALAD BEETROOT, SALSIFY, CELERIAC, RADISHES AND SIMILAR EDIBLE ROOTS, FRESH OR CHILLED",0%,,01/07/2017,
1860096,"CARROTS, TURNIPS, SALAD BEETROOT, SALSIFY,CELERIAC, RADISHES AND SIMILAR EDIBLEROOTS, FRESH OR CHILLEDCARROTS AND TURNIPS",5%,,01/07/2017,
7069010.0,"CARROTS, TURNIPS, SALAD BEETROOT, SALSIFY,CELERIAC, RADISHES AND SIMILAR EDIBLEROOTS, FRESH OR CHILLED OTHER : HORSE RADISH",5%,,01/07/2017,
7069020.0,"CARROTS, TURNIPS, SALAD BEETROOT, SALSIFY,CELERIAC, RADISHES AND SIMILAR EDIBLEROOTS, FRESH OR CHILLED OTHER OTHER RADISH",5%,,01/07/2017,
7069030.0,"CARROTS, TURNIPS, SALAD BEETROOT, SALSIFY,CELERIAC, RADISHES AND SIMILAR EDIBLEROOTS, FRESH OR CHILLED OTHER SALAD BEETROOT",5%,,01/07/2017,
7069090.0,"CARROTS, TURNIPS, SALAD BEETROOT, SALSIFY,CELERIAC, RADISHES AND SIMILAR EDIBLEROOTS, FRESH OR CHILLED OTHER OTHER",5%,,01/07/2017,
455,"CUCUMBERS OR GHERKINS, FRESH OR CHILLED",5%,,01/07/2017,
455,"CUCUMBERS OR GHERKINS, FRESH OR CHILLED",0%,,01/07/2017,
1863680,"CUCUMBERS OR GHERKINS, FRESH OR CHILLED",5%,,01/07/2017,
708.0,"LEGUMINOUS VEGETABLES, SHELLED OR UNSHELLED, FRESH OR CHILLED",5%,,01/07/2017,
