HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
7001,CULLET AND OTHER WASTE AND SCRAP OF GLASS; GLASS IN THE MASS,5%,,13/10/2017,
700100,CULLET AND OTHER WASTE AND SCRAP OF GLASS; GLASS IN THE MASS,5%,,13/10/2017,
70010010,CULLET AND OTHER WASTE AND SCRAP OF GLASS; GLASS IN THE MASS - CULLET AND OTHER WASTE AND SCRAP OF GLASS; GLASS IN THE MASS: CULLET AND OTHER WASTE AND SCRAP OF GLASS,5%,,13/10/2017,
70010020,CULLET AND OTHER WASTE AND SCRAP OF GLASS; GLASS IN THE MASS - CULLET AND OTHER WASTE AND SCRAP OF GLASS; GLASS IN THE MASS: ENAMEL GLASS IN THE MASS,5%,,13/10/2017,
70010090,CULLET AND OTHER WASTE AND SCRAP OF GLASS; GLASS IN THE MASS - CULLET AND OTHER WASTE AND SCRAP OF GLASS; GLASS IN THE MASS: OTHER,5%,,13/10/2017,
7002,"GLASS IN BALLS (OTHER THAN MICROSPHERES OF HEADING 7018), RODS OR TUBES, UNWORKED",18%,,01/07/2017,
70021000,"GLASS IN BALLS (OTHER THAN MICROSPHERES OF HEADING 7018), RODS OR TUBES, UNWORKED - BALLS",18%,,01/07/2017,
700220,RODS,18%,,01/07/2017,
70022010,"GLASS IN BALLS (OTHER THAN MICROSPHERES OF HEADING 7018), RODS OR TUBES, UNWORKED - RODS: ENAMEL GLASS RODS",18%,,01/07/2017,
70022090,"GLASS IN BALLS (OTHER THAN MICROSPHERES OF HEADING 7018), RODS OR TUBES, UNWORKED - RODS: OTHER",18%,,01/07/2017,
70023100,"GLASS IN BALLS (OTHER THAN MICROSPHERES OF HEADING 7018), RODS OR TUBES, UNWORKED - TUBES: OF FUSED QUARTZ OR OTHER FUSED SILICA",18%,,01/07/2017,
70023200,"GLASS IN BALLS (OTHER THAN MICROSPHERES OF HEADING 7018), RODS OR TUBES, UNWORKED - TUBES: OF OTHER GLASS HAVING A LINEAR COEFFICIENT OF EXPANSION NOT EXCEEDING 5 X 10-6 PER KELVIN WITHIN A TEMPERATURE RANGE OF 00C TO 3000C",18%,,01/07/2017,
70023900,"GLASS IN BALLS (OTHER THAN MICROSPHERES OF HEADING 7018), RODS OR TUBES, UNWORKED - TUBES: OTHER",18%,,01/07/2017,
7003,"CAST GLASS AND ROLLED GLASS, IN SHEETS OR PROFILES, WHETHER OR NOT HAVING AN ABSORBENT, REFLECTING OR NON-REFLECTING LAYER, BUT NOT OTHERWISE WORKED - NON-WIRED SHEETS",18%,,15/11/2017,
700312,"COLOURED THROUGHOUT THE MASS (BODY-TINTED), OPACIFIED, FLASHED OR HAVING AN ABSORBENT, REFLECTING OR NON-REFLECTING LAYER",18%,,15/11/2017,
70031210,"CAST GLASS AND ROLLED GLASS, IN SHEETS OR PROFILES, WHETHER OR NOT HAVING AN ABSORBENT, REFLECTING OR NON-REFLECTING LAYER, BUT NOT OTHERWISE WORKED - NON-WIRED SHEETS : COLOURED THROUGHOUT THE MASS (BODY-TINTED), OPACIFIED, FLASHED OR HAVING AN ABSORBENT",18%,,15/11/2017,
70031290,"CAST GLASS AND ROLLED GLASS, IN SHEETS OR PROFILES, WHETHER OR NOT HAVING AN ABSORBENT, REFLECTING OR NON-REFLECTING LAYER, BUT NOT OTHERWISE WORKED - NON-WIRED SHEETS : COLOURED THROUGHOUT THE MASS (BODY-TINTED), OPACIFIED, FLASHED OR HAVING AN ABSORBENT",18%,,15/11/2017,
700319,OTHER,18%,,15/11/2017,
70031910,"CAST GLASS AND ROLLED GLASS, IN SHEETS OR PROFILES, WHETHER OR NOT HAVING AN ABSORBENT, REFLECTING OR NON-REFLECTING LAYER, BUT NOT OTHERWISE WORKED - NON-WIRED SHEETS : OTHER: TINTED",18%,,15/11/2017,
