HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
7101,"PEARLS, NATURAL OR CULTURED, WHETHER OR NOT WORKED OR GRADED BUT NOT STRUNG, MOUNTED OR SET; PEARLS, NATURAL OR CULTURED, TEMPORARILY STRUNG FOR CONVENIENCE OF TRANSPORT",3%,,01/07/2017,
710110,NATURAL PEARLS,3%,,01/07/2017,
71011010,"PEARLS, NATURAL OR CULTURED, WHETHER OR NOT WORKED OR GRADED BUT NOT STRUNG, MOUNTED OR SET; PEARLS, NATURAL OR CULTURED, TEMPORARILY STRUNG FOR CONVENIENCE OF TRANSPORT - NATURAL PEARLS: UNWORKED",3%,,01/07/2017,
71011020,"PEARLS, NATURAL OR CULTURED, WHETHER OR NOT WORKED OR GRADED BUT NOT STRUNG, MOUNTED OR SET; PEARLS, NATURAL OR CULTURED, TEMPORARILY STRUNG FOR CONVENIENCE OF TRANSPORT - NATURAL PEARLS: WORKED",3%,,01/07/2017,
71012100,"PEARLS, NATURAL OR CULTURED, WHETHER OR NOT WORKED OR GRADED BUT NOT STRUNG, MOUNTED OR SET; PEARLS, NATURAL OR CULTURED, TEMPORARILY STRUNG FOR CONVENIENCE OF TRANSPORT - CULTURED PEARLS: UNWORKED",3%,,01/07/2017,
71012200,"PEARLS, NATURAL OR CULTURED, WHETHER OR NOT WORKED OR GRADED BUT NOT STRUNG, MOUNTED OR SET; PEARLS, NATURAL OR CULTURED, TEMPORARILY STRUNG FOR CONVENIENCE OF TRANSPORT - CULTURED PEARLS: WORKED",3%,,01/07/2017,
7102,"DIAMONDS, WHETHER OR NOT WORKED, BUT NOT MOUNTED OR SET",0%,,25/01/2018            1/07/2017,
71021000,"DIAMONDS, WHETHER OR NOT WORKED, BUT NOT MOUNTED OR SET - UNSORTED",0%,,25/01/2018            1/07/2017,
710221,"UNWORKED OR SIMPLY SAWN, CLEAVED OR BRUTED",0%,,25/01/2018            1/07/2017,
71022110,"21 DIAMONDS, WHETHER OR NOT WORKED, BUT NOT MOUNTED OR SET - INDUSTRIAL : UNWORKED OR SIMPLY SAWN, CLEAVED OR BRUTED: SORTED",0%,,25/01/2018            1/07/2017,
71022120,"21 DIAMONDS, WHETHER OR NOT WORKED, BUT NOT MOUNTED OR SET - INDUSTRIAL : UNWORKED OR SIMPLY SAWN, CLEAVED OR BRUTED: UNSORTED",0%,,25/01/2018            1/07/2017,
710229,OTHER,0%,,25/01/2018            1/07/2017,
71022910,"DIAMONDS, WHETHER OR NOT WORKED, BUT NOT MOUNTED OR SET - INDUSTRIAL : OTHER: CRUSHED",0%,,25/01/2018            1/07/2017,
71022990,"DIAMONDS, WHETHER OR NOT WORKED, BUT NOT MOUNTED OR SET - INDUSTRIAL : OTHER: OTHER",0%,,25/01/2018            1/07/2017,
71023100,"DIAMONDS, WHETHER OR NOT WORKED, BUT NOT MOUNTED OR SET - NON-INDUSTRIAL: UNWORKED OR SIMPLY SAWN, CLEAVED OR BRUTED",0%,,25/01/2018            1/07/2017,
710239,OTHERS,0%,,25/01/2018            1/07/2017,
71023910,"DIAMONDS, WHETHER OR NOT WORKED, BUT NOT MOUNTED OR SET - NON-INDUSTRIAL: OTHERS: DIAMOND, CUT OR OTHERWISE WORKED BUT NOT MOUNTED OR SET",0%,,25/01/2018            1/07/2017,
71023990,"DIAMONDS, WHETHER OR NOT WORKED, BUT NOT MOUNTED OR SET - NON-INDUSTRIAL: OTHERS: OTHER",0%,,25/01/2018            1/07/2017,
7103,"PRECIOUS STONES (OTHER THAN DIAMONDS) AND SEMI-PRECIOUS STONES, WHETHER OR NOT WORKED OR GRADED BUT NOT STRUNG, MOUNTED OR SET; UNGRADED PRECIOUS STONES (OTHER THAN DIAMONDS) AND SEMI-PRECIOUS STONES, TEMPORARILY STRUNG FOR CONVENIENCE OF TRANSPORT",0%,,1/10/2019                 1/07/2017,
710310,UNWORKED OR SIMPLY SAWN OR ROUGHLY SHAPED,0%,,1/10/2019                 1/07/2017,
71031011,"PRECIOUS STONES (OTHER THAN DIAMONDS) AND SEMIPRECIOUS STONES, WHETHER OR NOT WORKED OR GRADED BUT NOT STRUNG, MOUNTED OR SET; UNGRADED PRECIOUS STONES (OTHER THAN DIAMONDS) AND SEMI-PRECIOUS STONES, TEMPORARILY STRUNG FOR CONVENIENCE OF TRANSPORT - UNWOR",0%,,1/10/2019                 1/07/2017,
71031012,"PRECIOUS STONES (OTHER THAN DIAMONDS) AND SEMIPRECIOUS STONES, WHETHER OR NOT WORKED OR GRADED BUT NOT STRUNG, MOUNTED OR SET; UNGRADED PRECIOUS STONES (OTHER THAN DIAMONDS) AND SEMI-PRECIOUS STONES, TEMPORARILY STRUNG FOR CONVENIENCE OF TRANSPORT - UNWOR",0%,,1/10/2019                 1/07/2017,
