HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
7201,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS",18%,,01/07/2017,
72011000,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS - NON-ALLOY PIG IRON CONTAINING BY WEIGHT 0.5% OR LESS OF PHOSPHORUS",18%,,01/07/2017,
72012000,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS - NON-ALLOY PIG IRON CONTAINING BY WEIGHT MORE THAN 0.5% OF PHOSPHORUS",18%,,01/07/2017,
720150,ALLOY PIG IRON; SPIEGELEISEN,18%,,01/07/2017,
72015010,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS - ALLOY PIG IRON; SPIEGELEISEN : CAST IRON",18%,,01/07/2017,
72015090,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS - ALLOY PIG IRON; SPIEGELEISEN : OTHER",18%,,01/07/2017,
7202,FERRO-ALLOYS,18%,,01/07/2017,
72021100,FERRO-ALLOYS - FERRO-MANGANESE : CONTAINING BY WEIGHT MORE THAN 2% OF CARBON,18%,,01/07/2017,
72021900,FERRO-ALLOYS - FERRO-MANGANESE : OTHER,18%,,01/07/2017,
72022100,FERRO-ALLOYS - FERRO-SILICON: CONTAINING BY WEIGHT MORE THAN 55% OF SILICON,18%,,01/07/2017,
72022900,FERRO-ALLOYS - FERRO-SILICON: OTHER,18%,,01/07/2017,
72023000,FERRO-ALLOYS - FERRO-SILICO-MANGANESE,18%,,01/07/2017,
72024100,FERRO-ALLOYS - FERRO-CHROMIUM : CONTAINING BY WEIGHT MORE THAN 4% OF CARBON,18%,,01/07/2017,
72024900,FERRO-ALLOYS - FERRO-CHROMIUM : OTHER,18%,,01/07/2017,
72025000,FERRO-ALLOYS - FERRO-SILICO-CHROMIUM,18%,,01/07/2017,
72026000,FERRO-ALLOYS - FERRO-NICKEL,18%,,01/07/2017,
72027000,FERRO-ALLOYS - FERRO-MOLYBDENUM,18%,,01/07/2017,
72028000,FERRO-ALLOYS - FERRO TUNGSTEN AND FERRO-SILICO-TUNGSTEN,18%,,01/07/2017,
72029100,FERRO-ALLOYS - OTHER : FERRO-TITANIUM AND FERRO-SILICO-TITANIUM,18%,,01/07/2017,
72029200,FERRO-ALLOYS - OTHER : FERRO-VANADIUM,18%,,01/07/2017,
72029300,FERRO-ALLOYS - OTHER : FERRO-NIOBIUM,18%,,01/07/2017,
720299,OTHER,18%,,01/07/2017,
72029911,"FERRO-ALLOYS - OTHER : OTHER : FERRO-PHOSPHORUS, FERRO-SELENIUM, FERROCOBALT, FERRO-COLUMBIUM, FERRO-ZIRCONIUM, FERRO-TANTALUM: FERRO-PHOSPHORUS",18%,,01/07/2017,
