HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
7401,COPPER MATTES; CEMENT COPPER (PRECIPITATED COPPER),18%,,01/07/2017,
740100,COPPER MATTES; CEMENT COPPER (PRECIPITATED COPPER),18%,,01/07/2017,
74010010,COPPER MATTES; CEMENT COPPER (PRECIPITATED COPPER) - COPPER MATTES,18%,,01/07/2017,
74010090,COPPER MATTES; CEMENT COPPER (PRECIPITATED COPPER) - CEMENT COPPER (PRECIPITATED COPPER),18%,,01/07/2017,
74011000,COPPER MATTES; CEMENT COPPER (PRECIPITATED COPPER) - COPPER MATTES,18%,,01/07/2017,
74012000,COPPER MATTES; CEMENT COPPER (PRECIPITATED COPPER) - CEMENT COPPER (PRECIPITATED COPPER),18%,,01/07/2017,
7402,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING,18%,,01/07/2017,
740200,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING,18%,,01/07/2017,
74020010,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING - UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING : BLISTER COPPER,18%,,01/07/2017,
74020090,UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING - UNREFINED COPPER; COPPER ANODES FOR ELECTROLYTIC REFINING : OTHER,18%,,01/07/2017,
7403,"REFINED COPPER AND COPPER ALLOYS, UNWROUGHT - REFINED COPPER",18%,,01/07/2017,
74031100,"REFINED COPPER AND COPPER ALLOYS, UNWROUGHT - REFINED COPPER : CATHODES AND SECTIONS OF CATHODES",18%,,01/07/2017,
74031200,"REFINED COPPER AND COPPER ALLOYS, UNWROUGHT - REFINED COPPER : WIRE-BARS",18%,,01/07/2017,
74031300,"REFINED COPPER AND COPPER ALLOYS, UNWROUGHT - REFINED COPPER : BILLETS",18%,,01/07/2017,
74031900,"REFINED COPPER AND COPPER ALLOYS, UNWROUGHT - REFINED COPPER : OTHER",18%,,01/07/2017,
74032100,"REFINED COPPER AND COPPER ALLOYS, UNWROUGHT - COPPER ALLOYS : COPPER-ZINC BASE ALLOYS (BRASS)",18%,,01/07/2017,
740322,COPPER-TIN BASE ALLOYS (BRONZE),18%,,01/07/2017,
74032210,"REFINED COPPER AND COPPER ALLOYS, UNWROUGHT - COPPER ALLOYS : COPPER-TIN BASE ALLOYS (BRONZE) : PHOSPHOR BRONZE",18%,,01/07/2017,
74032290,"REFINED COPPER AND COPPER ALLOYS, UNWROUGHT - COPPER ALLOYS : COPPER-TIN BASE ALLOYS (BRONZE) : OTHER",18%,,01/07/2017,
74032310,"REFINED COPPER AND COPPER ALLOYS, UNWROUGHT - COPPER ALLOYS : COPPER-NICKEL BASE ALLOYS( CUPRO-NICKEL) OR COPPER-NICKEL-ZINC BASE ALLOYS (NICKEL SILVER) : COPPER-NICKEL BASE ALLOYS (CUPRO-NICKEL)",18%,,01/07/2017,
74032320,"REFINED COPPER AND COPPER ALLOYS, UNWROUGHT - COPPER ALLOYS : COPPER-NICKEL BASE ALLOYS( CUPRO-NICKEL) OR COPPER-NICKEL-ZINC BASE ALLOYS (NICKEL SILVER) : COPPER-NICKEL-ZINC BASE ALLOYS(NICKEL SILVER)",18%,,01/07/2017,
74032900,"REFINED COPPER AND COPPER ALLOYS, UNWROUGHT - COPPER ALLOYS : OTHER COPPER ALLOYS (OTHER THAN MASTER ALLOYS OF HEADING 7405)",18%,,01/07/2017,
7404,COPPER WASTE AND SCRAP,18%,,01/07/2017,
740400,COPPER WASTE AND SCRAP,18%,,01/07/2017,
74040011,COPPER WASTE AND SCRAP - COPPER WASTE AND SCRAP: OF COPPER : EMPTY OR DISCHARGED CARTRIDGES OF ALL BORES AND SIZES,18%,,01/07/2017,
74040012,"COPPER WASTE AND SCRAP - COPPER WASTE AND SCRAP: OF COPPER :COPPER SCRAP, NAMELY THE FOLLOWING : COPPER WIRE SCRAP COVERED BY ISRI CODE WORDS BARLEY, BERRY AND BIRCH; HEAVY COPPER SCRAP COVERED BY ISRI CODE WORD CANDY; UNALLOYED COPPER SCRAP COVERED BY IS",18%,,01/07/2017,
74040019,COPPER WASTE AND SCRAP - COPPER WASTE AND SCRAP: OF COPPER :OTHER,18%,,01/07/2017,
