HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
7503,NICKEL WASTE AND SCRAP,18%,,01/07/2017,
750300,NICKEL WASTE AND SCRAP,18%,,01/07/2017,
75030010,"NICKEL WASTE AND SCRAP - NICKEL WASTE AND SCRAP : NICKEL SCRAP, NAMELY THE FOLLOWING : NEW NICKEL SCRAP COVERED BY ISRI CODE WORD `AROMA; OLD NICKEL SCRAP COVERED BY ISRI CODE WORD `BURLY; NEW CUPRO NICKEL CLIPS AND SOLIDS COVERED BY ISRI CODE WORD `DANDY",18%,,01/07/2017,
75030090,NICKEL WASTE AND SCRAP - NICKEL WASTE AND SCRAP : OTHER,18%,,01/07/2017,
7504,NICKEL POWDERS AND FLAKES,18%,,01/07/2017,
75040000,NICKEL POWDERS AND FLAKES,18%,,01/07/2017,
7505,"NICKEL BARS, RODS, PROFILES AND WIRE - BARS, RODS AND PROFILES",18%,,01/07/2017,
750511,"OF NICKEL, NOT ALLOYED",18%,,01/07/2017,
75051110,"NICKEL BARS, RODS, PROFILES AND WIRE - BARS, RODS AND PROFILES : OF NICKEL, NOT ALLOYED : HOLLOW BARS",18%,,01/07/2017,
75051120,"NICKEL BARS, RODS, PROFILES AND WIRE - BARS, RODS AND PROFILES : OF NICKEL, NOT ALLOYED : OTHER BARS; RODS AND PROFILES",18%,,01/07/2017,
750512,OF NICKEL ALLOYS,18%,,01/07/2017,
75051210,"NICKEL BARS, RODS, PROFILES AND WIRE - BARS, RODS AND PROFILES : OF NICKEL ALLOYS : HOLLOW BARS",18%,,01/07/2017,
75051220,"NICKEL BARS, RODS, PROFILES AND WIRE - BARS, RODS AND PROFILES : OF NICKEL ALLOYS : OTHER BARS; RODS AND PROFILES",18%,,01/07/2017,
75052100,"NICKEL BARS, RODS, PROFILES AND WIRE - WIRE : OF NICKEL, NOT ALLOYED",18%,,01/07/2017,
75052200,"NICKEL BARS, RODS, PROFILES AND WIRE - WIRE : OF NICKEL ALLOYS",18%,,01/07/2017,
7506,"NICKEL PLATES, SHEETS, STRIP AND FOIL",18%,,01/07/2017,
75061000,"NICKEL PLATES, SHEETS, STRIP AND FOIL - OF NICKEL, NOT ALLOYED",18%,,01/07/2017,
75062000,"NICKEL PLATES, SHEETS, STRIP AND FOIL - OF NICKEL ALLOYS",18%,,01/07/2017,
7507,"NICKEL TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES) - TUBES AND PIPES",18%,,01/07/2017,
75071100,"NICKEL TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES) - TUBES AND PIPES : OF NICKEL, NOT ALLOYED",18%,,01/07/2017,
75071200,"NICKEL TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES) - TUBES AND PIPES : OF NICKEL ALLOYS",18%,,01/07/2017,
75072000,"NICKEL TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES) - TUBE OR PIPE FITTINGS",18%,,01/07/2017,
7508,OTHER ARTICLES OF NICKEL,18%,,01/07/2017,
75081000,"OTHER ARTICLES OF NICKEL - CLOTH, GRILL AND NETTING, OF NICKEL WIRE",18%,,01/07/2017,
750890,OTHER,18%,,01/07/2017,
75089010,OTHER ARTICLES OF NICKEL - OTHER : ELECTROPLATING ANODES OF NICKEL,18%,,01/07/2017,
75089020,OTHER ARTICLES OF NICKEL - OTHER : BLANKS ORDINARILY USED FOR MANUFACTURING TUBES AND PIPES OF NICKEL,18%,,01/07/2017,
75089030,OTHER ARTICLES OF NICKEL - OTHER : NICKEL SCREEN,18%,,01/07/2017,
75089090,OTHER ARTICLES OF NICKEL - OTHER : OTHER ARTICLES OF NICKEL AND NICKEL ALLOY,18%,,01/07/2017,
