HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
7601,UNWROUGHT ALUMINIUM,18%,,01/07/2017,
760110,"ALUMINIUM, NOT ALLOYED",18%,,01/07/2017,
76011010,"UNWROUGHT ALUMINIUM - ALUMINIUM, NOT ALLOYED : INGOTS",18%,,01/07/2017,
76011020,"UNWROUGHT ALUMINIUM - ALUMINIUM, NOT ALLOYED : BILLETS",18%,,01/07/2017,
76011030,"UNWROUGHT ALUMINIUM - ALUMINIUM, NOT ALLOYED : WIRE BARS",18%,,01/07/2017,
76011040,"UNWROUGHT ALUMINIUM - ALUMINIUM, NOT ALLOYED : WIRE RODS",18%,,01/07/2017,
76011090,"UNWROUGHT ALUMINIUM - ALUMINIUM, NOT ALLOYED : OTHER",18%,,01/07/2017,
760120,ALUMINIUM ALLOYS,18%,,01/07/2017,
76012010,UNWROUGHT ALUMINIUM - ALUMINIUM ALLOYS : INGOTS,18%,,01/07/2017,
76012020,UNWROUGHT ALUMINIUM - ALUMINIUM ALLOYS : BILLETS,18%,,01/07/2017,
76012030,UNWROUGHT ALUMINIUM - ALUMINIUM ALLOYS : WIRE BARS,18%,,01/07/2017,
76012040,UNWROUGHT ALUMINIUM - ALUMINIUM ALLOYS : WIRE RODS,18%,,01/07/2017,
76012090,UNWROUGHT ALUMINIUM - ALUMINIUM ALLOYS : OTHER,18%,,01/07/2017,
7602,ALUMINIUM WASTE AND SCRAP,18%,,01/07/2017,
760200,ALUMINIUM WASTE AND SCRAP,18%,,01/07/2017,
76020010,"ALUMINIUM WASTE AND SCRAP - ALUMINIUM WASTE AND SCRAP : ALUMINIUM SCRAP, NAMELY THE FOLLOWING : CLEAN ALUMINIUM LITHOGRAPHIC SHEETS (ISRI) NEW, CLEAN ALUMINIUM LITHOGRAPHIC SHEETS (ISRI)MIXED LOW COPPER ALUMINIUM CLIPPINGS AND SOLIDS (ISRI) CLEAN MIXED OL",18%,,01/07/2017,
76020090,ALUMINIUM WASTE AND SCRAP - ALUMINIUM WASTE AND SCRAP : OTHER WASTE AND SCRAP,18%,,01/07/2017,
7603,ALUMINIUM POWDERS AND FLAKES,18%,,01/07/2017,
760310,POWDERS OF NON-LAMELLAR STRUCTURE,18%,,01/07/2017,
76031010,ALUMINIUM POWDERS AND FLAKES - POWDERS OF NON-LAMELLAR STRUCTURE : ALUMINIUM POWDER FOR THERMIT PROCESS,18%,,01/07/2017,
76031090,ALUMINIUM POWDERS AND FLAKES - POWDERS OF NON-LAMELLAR STRUCTURE : OTHER,18%,,01/07/2017,
76032000,ALUMINIUM POWDERS AND FLAKES - POWDERS OF LAMELLAR STRUCTURE; FLAKES,18%,,01/07/2017,
7604,"ALUMINIUM BARS, RODS AND PROFILES",18%,,01/07/2017,
760410,"OF ALUMINIUM, NOT ALLOYED",18%,,01/07/2017,
76041010,"ALUMINIUM BARS, RODS AND PROFILES - OF ALUMINIUM, NOT ALLOYED : WIRE RODS",18%,,01/07/2017,
76041020,"ALUMINIUM BARS, RODS AND PROFILES - OF ALUMINIUM, NOT ALLOYED : BARS AND RODS, OTHER THAN WIRE RODS",18%,,01/07/2017,
76041031,"ALUMINIUM BARS, RODS AND PROFILES - OF ALUMINIUM, NOT ALLOYED : PROFILES : HOLLOW",18%,,01/07/2017,
76041039,"ALUMINIUM BARS, RODS AND PROFILES - OF ALUMINIUM, NOT ALLOYED : PROFILES : OTHER",18%,,01/07/2017,
76042100,"ALUMINIUM BARS, RODS AND PROFILES - OF ALUMINIUM ALLOYS : HOLLOW PROFILES",18%,,01/07/2017,
760429,OTHER,18%,,01/07/2017,
76042910,"ALUMINIUM BARS, RODS AND PROFILES - OF ALUMINIUM ALLOYS : OTHER : HARD DRAWN BARE ALUMINIUM CONDUCTORS STEEL RE-INFORCED (A.C.S.R.)",18%,,01/07/2017,
76042920,"ALUMINIUM BARS, RODS AND PROFILES - OF ALUMINIUM ALLOYS : OTHER : WIRE RODS",18%,,01/07/2017,
76042930,"ALUMINIUM BARS, RODS AND PROFILES - OF ALUMINIUM ALLOYS : OTHER : BARS AND RODS, OTHER THAN WIRE RODS",18%,,01/07/2017,
76042990,"ALUMINIUM BARS, RODS AND PROFILES - OF ALUMINIUM ALLOYS : OTHER : OTHER",18%,,01/07/2017,
7605,ALUMINIUM WIRE,18%,,01/07/2017,
76051100,"ALUMINIUM WIRE - OF ALUMINIUM, NOT ALLOYED : OF WHICH THE MAXIMUM CROSS-SECTIONAL DIMENSION EXCEEDS 7 MM",18%,,01/07/2017,
760519,OTHER,18%,,01/07/2017,
76051910,"ALUMINIUM WIRE - OF ALUMINIUM, NOT ALLOYED : OTHER : OF WHICH THE MAXIMUM CROSS-SECTIONAL DIMENSION EXCEEDS 6 MM BUT DOES NOT EXCEED 7 MM",18%,,01/07/2017,
76051991,"ALUMINIUM WIRE - OF ALUMINIUM, NOT ALLOYED : OTHER : OTHER : HARD DRAWN BARE-SOLID",18%,,01/07/2017,
76051999,"ALUMINIUM WIRE - OF ALUMINIUM, NOT ALLOYED : OTHER : OTHER : OTHER",18%,,01/07/2017,
76052100,ALUMINIUM WIRE - OF ALUMINIUM ALLOYS : OF WHICH THE MAXIMUM CROSS-SECTIONAL DIMENSION EXCEEDS 7 MM,18%,,01/07/2017,
760529,OTHER,18%,,01/07/2017,
76052910,ALUMINIUM WIRE - OF ALUMINIUM ALLOYS : OTHER : OF WHICH THE MAXIMUM CROSS-SECTIONAL DIMENSION EXCEEDS 6 MM BUT DOES NOT EXCEED 7 MM,18%,,01/07/2017,
76052990,ALUMINIUM WIRE - OF ALUMINIUM ALLOYS : OTHER : OTHER,18%,,01/07/2017,
7606,"ALUMINIUM PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.2 MM",18%,,01/07/2017,
760611,"OF ALUMINIUM, NOT ALLOYED",18%,,01/07/2017,
76061110,"ALUMINIUM PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.2 MM - RECTANGULAR (INCLUDING SQUARE) : OF ALUMINIUM, NOT ALLOYED : ELECTROLYTIC PLATES OR SHEETS",18%,,01/07/2017,
76061190,"ALUMINIUM PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.2 MM - RECTANGULAR (INCLUDING SQUARE) : OF ALUMINIUM, NOT ALLOYED : OTHER",18%,,01/07/2017,
76061200,"ALUMINIUM PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.2 MM - RECTANGULAR (INCLUDING SQUARE) : OF ALUMINIUM ALLOYS",18%,,01/07/2017,
760691,"OF ALUMINIUM, NOT ALLOYED",18%,,01/07/2017,
76069110,"ALUMINIUM PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.2 MM - OTHER : OF ALUMINIUM, NOT ALLOYED : CIRCLES",18%,,01/07/2017,
76069120,"ALUMINIUM PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.2 MM - OTHER : OF ALUMINIUM, NOT ALLOYED : ELECTROLYTIC PLATES OR SHEETS",18%,,01/07/2017,
76069190,"ALUMINIUM PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.2 MM - OTHER : OF ALUMINIUM, NOT ALLOYED : OTHER",18%,,01/07/2017,
760692,OF ALUMINIUM ALLOYS,18%,,01/07/2017,
76069210,"ALUMINIUM PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.2 MM - OTHER : OF ALUMINIUM ALLOYS : CIRCLES",18%,,01/07/2017,
76069290,"ALUMINIUM PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.2 MM - OTHER : OF ALUMINIUM ALLOYS : OTHER",18%,,01/07/2017,
7607,"ALUMINIUM FOIL (WHETHER OR NOT PRINTED OR BACKED WITH PAPER, PAPERBOARD, PLASTICS OR SIMILAR BACKING MATERIALS) OF A THICKNESS (EXCLUDING ANY BACKING) NOT EXCEEDING 0.2 MM - NOT BACKED",18%,,01/07/2017,
760711,ROLLED BUT NOT FURTHER WORKED,18%,,01/07/2017,
