HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
7801,UNWROUGHT LEAD,18%,,01/07/2017,
78011000,UNWROUGHT LEAD : REFINED LEAD,18%,,01/07/2017,
78019100,UNWROUGHT LEAD - OTHER: CONTAINING BY WEIGHT ANTIMONY AS THE PRINCIPAL OTHER ELEMENT,18%,,01/07/2017,
780199,OTHER,18%,,01/07/2017,
78019910,UNWROUGHT LEAD - OTHER: OTHER: PIG LEAD,18%,,01/07/2017,
78019920,UNWROUGHT LEAD - OTHER: OTHER: UNREFINED LEAD,18%,,01/07/2017,
78019930,UNWROUGHT LEAD - OTHER: OTHER: UNREFINED LEAD ALLOYS,18%,,01/07/2017,
78019990,UNWROUGHT LEAD - OTHER: OTHER: OTHER,18%,,01/07/2017,
7802,LEAD WASTE AND SCRAP,18%,,01/07/2017,
780200,LEAD WASTE AND SCRAP,18%,,01/07/2017,
78020010,"LEAD WASTE AND SCRAP - LEAD WASTE AND SCRAP: LEAD SCRAP, NAMELY THE FOLLOWING: SCRAP LEAD-SOFT COVERED BY ISRI CODE WORD `RACKS; MIXED HARD OR SOFT SCRAP LEAD COVERED BY ISRI CODE WORD `RADIO; LEAD COVERED COPPER CABLE COVERED BY ISRI CODE WORD `RELAY; WH",18%,,01/07/2017,
78020090,LEAD WASTE AND SCRAP - LEAD WASTE AND SCRAP: OTHER,18%,,01/07/2017,
7803,OMITTED,0%,,01/07/2017,
78030011,"LEAD BARS, RODS, PROFILES AND WIRE - LEAD BARS, RODS, PROFILES AND WIRE: BARS AND RODS: HOLLOW BARS",0%,,01/07/2017,
78030019,"LEAD BARS, RODS, PROFILES AND WIRE - LEAD BARS, RODS, PROFILES AND WIRE: BARS AND RODS: OTHER",0%,,01/07/2017,
78030021,"LEAD BARS, RODS, PROFILES AND WIRE - LEAD BARS, RODS, PROFILES AND WIRE: PROFILES: HOLLOW",0%,,01/07/2017,
78030029,"LEAD BARS, RODS, PROFILES AND WIRE - LEAD BARS, RODS, PROFILES AND WIRE: PROFILES: OTHER",0%,,01/07/2017,
78030030,"LEAD BARS, RODS, PROFILES AND WIRE - LEAD BARS, RODS, PROFILES AND WIRE: WIRE",0%,,01/07/2017,
7804,"LEAD PLATES, SHEETS, STRIP AND FOIL; LEAD POWDERS AND FLAKES",18%,,01/07/2017,
780411,"SHEETS, STRIP AND FOIL OF A THICKNESS (EXCLUDING ANY BACKING) NOT EXCEEDING 0.2 MM",18%,,01/07/2017,
78041110,"LEAD PLATES, SHEETS, STRIP AND FOIL; LEAD POWDERS AND FLAKES - PLATES, SHEETS, STRIP AND FOIL: SHEETS, STRIP AND FOIL OF A THICKNESS (EXCLUDING ANY BACKING) NOT EXCEEDING 0.2 MM: SHEETS AND STRIP",18%,,01/07/2017,
78041120,"LEAD PLATES, SHEETS, STRIP AND FOIL; LEAD POWDERS AND FLAKES - PLATES, SHEETS, STRIP AND FOIL: SHEETS, STRIP AND FOIL OF A THICKNESS (EXCLUDING ANY BACKING) NOT EXCEEDING 0.2 MM: FOIL",18%,,01/07/2017,
780419,OTHER,18%,,01/07/2017,
78041910,"LEAD PLATES, SHEETS, STRIP AND FOIL; LEAD POWDERS AND FLAKES - PLATES, SHEETS, STRIP AND FOIL: OTHER: PLATES",18%,,01/07/2017,
78041990,"LEAD PLATES, SHEETS, STRIP AND FOIL; LEAD POWDERS AND FLAKES - PLATES, SHEETS, STRIP AND FOIL: OTHER: OTHER",18%,,01/07/2017,
78042000,"LEAD PLATES, SHEETS, STRIP AND FOIL; LEAD POWDERS AND FLAKES : POWDERS AND FLAKES",18%,,01/07/2017,
7805,OMITTED,0%,,01/07/2017,
78050010,"LEAD TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLING, ELBOWS, SLEEVES) - LEAD TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLING, ELBOWS, SLEEVES): TUBES AND PIPES",0%,,01/07/2017,
78050020,"LEAD TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLING, ELBOWS, SLEEVES) - LEAD TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLING, ELBOWS, SLEEVES): TUBE OR PIPE FITTINGS",0%,,01/07/2017,
7806,OTHER ARTICLES OF LEAD,18%,,01/07/2017,
780600,OTHER ARTICLES OF LEAD,18%,,01/07/2017,
78060010,OTHER ARTICLES OF LEAD - OTHER ARTICLES OF LEAD : SANITARY FIXTURES,18%,,01/07/2017,
78060020,OTHER ARTICLES OF LEAD - OTHER ARTICLES OF LEAD : INDIAN LEAD SEALS,18%,,01/07/2017,
78060030,OTHER ARTICLES OF LEAD - OTHER ARTICLES OF LEAD : BLANKS,18%,,01/07/2017,
78060090,OTHER ARTICLES OF LEAD - OTHER ARTICLES OF LEAD : OTHER,18%,,01/07/2017,
