HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
7901,"UNWROUGHT ZINC - ZINC, NOT ALLOYED",18%,,01/07/2017,
79011100,"UNWROUGHT ZINC - ZINC, NOT ALLOYED : CONTAINING BY WEIGHT 99.99% OR MORE OF ZINC",18%,,01/07/2017,
79011200,"UNWROUGHT ZINC - ZINC, NOT ALLOYED : CONTAINING BY WEIGHT LESS THAN 99.99% OF ZINC",18%,,01/07/2017,
790120,ZINC ALLOYS,18%,,01/07/2017,
79012010,UNWROUGHT ZINC - ZINC ALLOYS :MOZAK OR ALLOYS OF ZINC AND ALUMINIUM CONTAINING NOT LESS THAN 94% BY WEIGHT OF ZINC,18%,,01/07/2017,
79012090,UNWROUGHT ZINC - ZINC ALLOYS : OTHER,18%,,01/07/2017,
7902,ZINC WASTE AND SCRAP,18%,,01/07/2017,
790200,ZINC WASTE AND SCRAP,18%,,01/07/2017,
79020010,"ZINC WASTE AND SCRAP - ZINC WASTE AND SCRAP : ZINC SCRAP, NAMELY THE FOLLOWING : OLD ZINC DIE CAST SCRAP COVERED BY ISRI CODE WORD `SAVES; NEW ZINC DIE CAST SCRAP COVERED BY ISRI CODE WORD `SCABS; NEW PLATED ZINC DIE CAST SCRAP COVERED BY ISRI CODE WORD `",18%,,01/07/2017,
79020090,ZINC WASTE AND SCRAP - ZINC WASTE AND SCRAP :OTHER,18%,,01/07/2017,
7903,"ZINC DUST, POWDERS AND FLAKES",18%,,01/07/2017,
79031000,"ZINC DUST, POWDERS AND FLAKES : ZINC DUST",18%,,01/07/2017,
79039000,"ZINC DUST, POWDERS AND FLAKES : OTHER",18%,,01/07/2017,
7904,"ZINC BARS, RODS, PROFILES AND WIRE",18%,,01/07/2017,
790400,"ZINC BARS, RODS, PROFILES AND WIRE",18%,,01/07/2017,
79040011,"ZINC BARS, RODS, PROFILES AND WIRE - ZINC BARS, RODS, PROFILES AND WIRE : BARS AND RODS :HOLLOW BARS",18%,,01/07/2017,
79040012,"ZINC BARS, RODS, PROFILES AND WIRE - ZINC BARS, RODS, PROFILES AND WIRE : BARS AND RODS :RODS, INCLUDING WIRE RODS",18%,,01/07/2017,
79040019,"ZINC BARS, RODS, PROFILES AND WIRE - ZINC BARS, RODS, PROFILES AND WIRE : BARS AND RODS :OTHER",18%,,01/07/2017,
79040021,"ZINC BARS, RODS, PROFILES AND WIRE - ZINC BARS, RODS, PROFILES AND WIRE : PROFILES : HOLLOW",18%,,01/07/2017,
79040022,"ZINC BARS, RODS, PROFILES AND WIRE - ZINC BARS, RODS, PROFILES AND WIRE : PROFILES : ANGLES, SHAPES AND SECTIONS",18%,,01/07/2017,
79040029,"ZINC BARS, RODS, PROFILES AND WIRE - ZINC BARS, RODS, PROFILES AND WIRE : PROFILES : OTHER",18%,,01/07/2017,
79040030,"ZINC BARS, RODS, PROFILES AND WIRE - ZINC BARS, RODS, PROFILES AND WIRE : WIRE",18%,,01/07/2017,
7905,"ZINC PLATES, SHEETS, STRIP AND FOIL",18%,,01/07/2017,
790500,"ZINC PLATES, SHEETS, STRIP AND FOIL",18%,,01/07/2017,
79050010,"ZINC PLATES, SHEETS, STRIP AND FOIL - ZINC PLATES, SHEETS, STRIP AND FOIL :CALOTS",18%,,01/07/2017,
79050020,"ZINC PLATES, SHEETS, STRIP AND FOIL - ZINC PLATES, SHEETS, STRIP AND FOIL :PLATES",18%,,01/07/2017,
79050030,"ZINC PLATES, SHEETS, STRIP AND FOIL - ZINC PLATES, SHEETS, STRIP AND FOIL :SHEETS, STRIP AND CIRCLES",18%,,01/07/2017,
79050040,"ZINC PLATES, SHEETS, STRIP AND FOIL - ZINC PLATES, SHEETS, STRIP AND FOIL :FOIL",18%,,01/07/2017,
7906,OMITTED,0%,,01/07/2017,
79060010,"ZINC TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES)- ZINC TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES) :TUBES AND PIPES",0%,,01/07/2017,
79060020,"ZINC TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES)- ZINC TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES) : TUBE OR PIPE FITTINGS",0%,,01/07/2017,
7907,OTHER ARTICLES OF ZINC,18%,,01/07/2017,
790700,OTHER ARTICLES OF ZINC,18%,,01/07/2017,
79070010,OTHER ARTICLES OF ZINC : SANITARY FIXTURES,18%,,01/07/2017,
79070090,OTHER ARTICLES OF ZINC : OTHER,18%,,01/07/2017,
