HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
801.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - COCONUTS:(Brazil nuts)",12%,,01/07/2017,
801.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - COCONUTS: (Cashew nuts)",5%,,01/07/2017,
801.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - COCONUTS: (Coconuts)",5%,,01/07/2017,
801.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - COCONUTS: (Coconuts and Brazil nuts)",0%,,01/07/2017,
8011100.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS,FRESH OR DRIED, WHETHER OR NOT SHELLEDOR PEELED COCONUTS : DESICCATED",5%,,01/07/2017,
8011210.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS,FRESH OR DRIED, WHETHER OR NOT SHELLEDOR PEELED COCONUTS --IN THE INNER SHELL (ENDOCARP): ---FRESH",Nil,,01/07/2017,
8011220.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS,FRESH OR DRIED, WHETHER OR NOT SHELLEDOR PEELED COCONUTS --IN THE INNER SHELL ---DRIED",12%,,01/07/2017,
8011290.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS,FRESH OR DRIED, WHETHER OR NOT SHELLEDOR PEELED COCONUTS --IN THE INNER SHELL (ENDOCARP)---OTHER",12%,,01/07/2017,
8011910.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS,FRESH OR DRIED, WHETHER OR NOT SHELLEDOR PEELED OTHER : FRESH",Nil,,01/07/2017,
8011920.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS,FRESH OR DRIED, WHETHER OR NOT SHELLEDOR PEELED OTHER : DRIED",12%,,01/07/2017,
8011990.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS,FRESH OR DRIED, WHETHER OR NOT SHELLEDOR PEELED OTHER : OTHER",12%,,01/07/2017,
8012100.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS,FRESH OR DRIED, WHETHER OR NOT SHELLEDOR PEELEDBRAZIL NUTS : IN SHELL",12%,,01/07/2017,
8012200.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS,FRESH OR DRIED, WHETHER OR NOT SHELLEDOR PEELEDBRAZIL NUTS : SHELLED",12%,,01/07/2017,
8013210.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS,FRESH OR DRIED, WHETHER OR NOT SHELLEDOR PEELEDCASHEW NUTS SHELLED CASHEW KERNEL, BROKEN",5%,,01/07/2017,
8013220.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS,FRESH OR DRIED, WHETHER OR NOT SHELLEDOR PEELEDCASHEW NUTS SHELLED SHELLED : CASHEW KERNEL, WHOLE",5%,,01/07/2017,
8013290.0,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS,FRESH OR DRIED, WHETHER OR NOT SHELLEDOR PEELEDCASHEW NUTS SHELLED OTHER",5%,,01/07/2017,
802.0,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - ALMONDS (Walnuts)",5%,,22/09/2017,
802.0,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - ALMONDS",12%,,22/09/2017                            1/07/2017,
802.0,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - ALMONDS",0%,,01/07/2017,
8021100.0,"OTHER NUTS, FRESH OR DRIED, WHETHEROR NOT SHELLED OR PEELEDALMONDS : IN SHELL",12%,,22/09/2017                            1/07/2017,
8021200.0,"OTHER NUTS, FRESH OR DRIED, WHETHEROR NOT SHELLED OR PEELEDALMONDS : SHELLED",12%,,22/09/2017                            1/07/2017,
8022100.0,"OTHER NUTS, FRESH OR DRIED, WHETHEROR NOT SHELLED OR PEE HAZELNUTS OR FILBERTS (CORYLUS SPP.) : IN SHELL",12%,,22/09/2017                            1/07/2017,
8022200.0,"OTHER NUTS, FRESH OR DRIED, WHETHEROR NOT SHELLED OR PEE HAZELNUTS OR FILBERTS (CORYLUS SPP.) : SHELLED",12%,,22/09/2017                            1/07/2017,
8023100.0,"OTHER NUTS, FRESH OR DRIED, WHETHEROR NOT SHELLED OR PEELED WALNUTS : IN SHELL",5%,,22/09/2017                            1/07/2017,
8023200.0,"OTHER NUTS, FRESH OR DRIED, WHETHEROR NOT SHELLED OR PEELED WALNUTS : SHELLED",5%,,22/09/2017                            1/07/2017,
8024100.0,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - CHESTNUTS (CASTANEA SPP.) : -- IN SHELL",5%,,22/09/2017                            1/07/2017,
8024200.0,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - CHESTNUTS (CASTANEA SPP.) : -- SHELLED",5%,,22/09/2017                            1/07/2017,
8025100.0,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - PISTACHIOS -- IN SHELL",12%,,22/09/2017                            1/07/2017,
8025200.0,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - PISTACHIOS --SHELLED",12%,,22/09/2017                            1/07/2017,
8026100.0,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - MACADEMIA NUTS -- IN SHELL",12%,,22/09/2017                            1/07/2017,
8026200.0,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - MACADEMIA NUTS -- SHELLED",12%,,22/09/2017                            1/07/2017,
8027000.0,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - KOLA NUTS (COLA SPP.)",12%,,22/09/2017                            1/07/2017,
8028010.0,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - ARECA NUTS ---WHOLE",5%,,22/09/2017                            1/07/2017,
8028020.0,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - ARECA NUTS ---SPLIT",5%,,22/09/2017                            1/07/2017,
8028030.0,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - ARECA NUTS ---GROUND",5%,,22/09/2017                            1/07/2017,
8028090.0,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - ARECA NUTS ---OTHER",5%,,22/09/2017                            1/07/2017,
8029000.0,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED - OTHER",12%,,22/09/2017                            1/07/2017,
803.0,"BANANAS, INCLUDING PLANTAINS, FRESH OR DRIED",5%,,01/07/2017,
803.0,"BANANAS, INCLUDING PLANTAINS, FRESH OR DRIED",0%,,01/07/2017,
8031010.0,"BANANAS, INCLUDING PLANTAINS, FRESH OR DRIED - PLANTAINS --- CURRY PLANTAIN",5%,,01/07/2017,
8031090.0,"BANANAS, INCLUDING PLANTAINS, FRESH OR DRIED - PLANTAINS --- OTHER",5%,,01/07/2017,
8039010.0,"BANANAS, INCLUDING PLANTAINS, FRESH OR DRIED - OTHER --- BANANAS, FRESH",5%,,01/07/2017,
8039090.0,"BANANAS, INCLUDING PLANTAINS, FRESH OR DRIED - OTHER --- OTHER",5%,,01/07/2017,
804.0,"Mangoes sliced, dried",5%,,13/10/2017,
804.0,"DATES, FIGS, PINEAPPLES, AVOCADOS, GUAVAS, MANGOES, AND MANGOSTEENS, FRESH OR DRIED",12%,,13/10/2017                             1/07/2017,
804.0,"DATES, FIGS, PINEAPPLES, AVOCADOS, GUAVAS, MANGOES, AND MANGOSTEENS, FRESH OR DRIED",0%,,01/07/2017,
8041010.0,"DATES, FIGS, PINEAPPLES, AVOCADOS, GUAVAS,MANGOES, AND MANGOSTEENS, FRESH OR DRIEDDATES : FRESH (EXCLUDING WET DATES)",12%,,13/10/2017                             1/07/2017,
8041020.0,"DATES, FIGS, PINEAPPLES, AVOCADOS, GUAVAS,MANGOES, AND MANGOSTEENS, FRESH OR DRIEDDATES : SOFT (KHAYZUR OR WET DATES)",12%,,13/10/2017                             1/07/2017,
