HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
8001,UNWROUGHT TIN,18%,,01/07/2017,
800110,"TIN, NOT ALLOYED",18%,,01/07/2017,
80011010,"UNWROUGHT TIN - TIN, NOT ALLOYED : BLOCKS",18%,,01/07/2017,
80011090,"UNWROUGHT TIN - TIN, NOT ALLOYED : INGOTS, PIGS, SLABS AND OTHER PRIMARY FORMS OF TIN",18%,,01/07/2017,
80012000,UNWROUGHT TIN TIN ALLOYS,18%,,01/07/2017,
8002,TIN WASTE AND SCRAP,18%,,01/07/2017,
800200,TIN WASTE AND SCRAP,18%,,01/07/2017,
80020010,"TIN WASTE AND SCRAP - TIN WASTE AND SCRAP : TIN SCRAP, NAMELY THE FOLLOWING : BLOCK TIN COVERED BY ISRI CODE WORD `RANCH; HIGH TIN BASE BABBIT COVERED BY ISRI CODE WORD `RAVES; PEWTER COVERED BY ISRI CODE WORD `RANKS",18%,,01/07/2017,
80020090,TIN WASTE AND SCRAP - TIN WASTE AND SCRAP : OTHER,18%,,01/07/2017,
8003,"TIN BARS, RODS, PROFILES AND WIRE",18%,,01/07/2017,
800300,"TIN BARS, RODS, PROFILES AND WIRE",18%,,01/07/2017,
80030010,"TIN BARS, RODS, PROFILES AND WIRE - TIN BARS, RODS, PROFILES AND WIRE : HOLLOW BARS",18%,,01/07/2017,
80030020,"TIN BARS, RODS, PROFILES AND WIRE - TIN BARS, RODS, PROFILES AND WIRE : BARS, OTHER THAN HOLLOW BARS; RODS",18%,,01/07/2017,
80030030,"TIN BARS, RODS, PROFILES AND WIRE - TIN BARS, RODS, PROFILES AND WIRE : PROFILES",18%,,01/07/2017,
80030040,"TIN BARS, RODS, PROFILES AND WIRE - TIN BARS, RODS, PROFILES AND WIRE : WIRE",18%,,01/07/2017,
8004,OMITTED,0%,,01/07/2017,
80040010,"TIN PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.2 MM - TIN PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.2 MM : ELECTROLYTIC PLATES AND SHEETS",0%,,01/07/2017,
80040090,"TIN PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.2 MM - TIN PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.2 MM : OTHER",0%,,01/07/2017,
8005,OMITTED,0%,,01/07/2017,
80050000,OMITTED,0%,,01/07/2017,
8006,OMITTED,0%,,01/07/2017,
80060010,"TIN TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES)- TIN TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES) : TUBES AND PIPES",0%,,01/07/2017,
80060020,"TIN TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES)- TIN TUBES, PIPES AND TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES) : TUBE OR PIPE FITTINGS",0%,,01/07/2017,
8007,OTHER ARTICLES OF TIN,18%,,01/07/2017,
800700,OTHER ARTICLES OF TIN,18%,,01/07/2017,
80070010,OTHER ARTICLES OF TIN - OTHER ARTICLES OF TIN : BLANKS,18%,,01/07/2017,
80070090,OTHER ARTICLES OF TIN - OTHER ARTICLES OF TIN : OTHER,18%,,01/07/2017,
8011,COCONUTS,0%,,01/07/2017,
8012,BRAZIL NUTS,0%,,01/07/2017,
8013,CASHEW NUTS,0%,,01/07/2017,
8021,ALMONDS,0%,,01/07/2017,
8022,HAZELNUTS OR FIBERTS (CORYLUS SPP.),0%,,01/07/2017,
8023,WALNUTS,0%,,01/07/2017,
802901,BETEL NUTS,0%,,01/07/2017,
8071,MELONS (INCLUDING WATERMELONS),0%,,01/07/2017,
