HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
8101,"TUNGSTEN (WOLFRAM) AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP",18%,,01/07/2017,
81011000,"TUNGSTEN (WOLFRAM) AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP POWDERS",18%,,01/07/2017,
81019400,"TUNGSTEN (WOLFRAM) AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP - OTHER: UNWROUGHT TUNGSTEN, INCLUDING BARS AND RODS OBTAINED SIMPLY BY SINTERING",18%,,01/07/2017,
81019510,"TUNGSTEN (WOLFRAM) AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP - OTHER: - BARS AND RODS, OTHER THAN THOSE OBTAINED SIMPLY BY SINTERING, PROFILES, PLATES, SHEETS, STRIP AND FOIL: HOLLOW BARS AND RODS",18%,,01/07/2017,
81019590,"TUNGSTEN (WOLFRAM) AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP - OTHER: - BARS AND RODS, OTHER THAN THOSE OBTAINED SIMPLY BY SINTERING, PROFILES, PLATES, SHEETS, STRIP AND FOIL: OTHER",18%,,01/07/2017,
81019600,"TUNGSTEN (WOLFRAM) AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP - OTHER: WIRE",18%,,01/07/2017,
81019700,"TUNGSTEN (WOLFRAM) AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP - OTHER: WASTE AND SCRAP",18%,,01/07/2017,
810199,OTHER,18%,,01/07/2017,
81019910,"TUNGSTEN (WOLFRAM) AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP - OTHER: - OTHER: TUNGSTEN FILAMENT",18%,,01/07/2017,
81019990,"TUNGSTEN (WOLFRAM) AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP - OTHER: - OTHER: OTHER",18%,,01/07/2017,
8102,"MOLYBDENUM AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP",18%,,01/07/2017,
81021000,"MOLYBDENUM AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP POWDERS",18%,,01/07/2017,
81029400,"MOLYBDENUM AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP - OTHER: UNWROUGHT MOLYBDENUM, INCLUDING BARS AND RODS OBTAINED SIMPLY BY SINTERING",18%,,01/07/2017,
810295,"BARS AND RODS, OTHER THAN THOSE OBTAINED SIMPLY BY SINTERING, PROFILES, PLATES, SHEETS, STRIP AND FOIL",18%,,01/07/2017,
81029510,"MOLYBDENUM AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP - OTHER: - BARS AND RODS, OTHER THAN THOSE OBTAINED SIMPLY BY SINTERING, PROFILES, PLATES, SHEETS, STRIP AND FOIL: HOLLOW BARS",18%,,01/07/2017,
81029590,"MOLYBDENUM AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP - OTHER: - BARS AND RODS, OTHER THAN THOSE OBTAINED SIMPLY BY SINTERING, PROFILES, PLATES, SHEETS, STRIP AND FOIL: OTHER",18%,,01/07/2017,
81029600,"MOLYBDENUM AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP - OTHER: WIRE",18%,,01/07/2017,
