HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
8301,"PADLOCKS AND LOCKS (KEY, COMBINATION OR ELECTRICALLY OPERATED), OF BASE METAL; CLASPS AND FRAMES WITH CLASPS, INCORPORATING LOCKS, OF BASE METAL; KEYS FOR ANY OF THE FOREGOING ARTICLES, OF BASE METAL",18%,,01/07/2017,
83011000,"PADLOCKS AND LOCKS (KEY, COMBINATION OR ELECTRICALLY OPERATED), OF BASE METAL; CLASPS AND FRAMES WITH CLASPS, INCORPORATING LOCKS, OF BASE METAL; KEYS FOR ANY OF THE FOREGOING ARTICLES, OF BASE METAL - PADLOCKS",18%,,01/07/2017,
83012000,"PADLOCKS AND LOCKS (KEY, COMBINATION OR ELECTRICALLY OPERATED), OF BASE METAL; CLASPS AND FRAMES WITH CLASPS, INCORPORATING LOCKS, OF BASE METAL; KEYS FOR ANY OF THE FOREGOING ARTICLES, OF BASE METAL - LOCKS OF A KIND USED FOR MOTOR VEHICLES",18%,,01/07/2017,
83013000,"PADLOCKS AND LOCKS (KEY, COMBINATION OR ELECTRICALLY OPERATED), OF BASE METAL; CLASPS AND FRAMES WITH CLASPS, INCORPORATING LOCKS, OF BASE METAL; KEYS FOR ANY OF THE FOREGOING ARTICLES, OF BASE METAL - LOCKS OF A KIND USED FOR FURNITURE",18%,,01/07/2017,
830140,OTHER LOCKS,18%,,01/07/2017,
83014010,"PADLOCKS AND LOCKS (KEY, COMBINATION OR ELECTRICALLY OPERATED), OF BASE METAL; CLASPS AND FRAMES WITH CLASPS, INCORPORATING LOCKS, OF BASE METAL; KEYS FOR ANY OF THE FOREGOING ARTICLES, OF BASE METAL - OTHER LOCKS: COMBINATION LOCKS",18%,,01/07/2017,
83014090,"PADLOCKS AND LOCKS (KEY, COMBINATION OR ELECTRICALLY OPERATED), OF BASE METAL; CLASPS AND FRAMES WITH CLASPS, INCORPORATING LOCKS, OF BASE METAL; KEYS FOR ANY OF THE FOREGOING ARTICLES, OF BASE METAL - OTHER LOCKS: OTHER",18%,,01/07/2017,
83015000,"PADLOCKS AND LOCKS (KEY, COMBINATION OR ELECTRICALLY OPERATED), OF BASE METAL; CLASPS AND FRAMES WITH CLASPS, INCORPORATING LOCKS, OF BASE METAL; KEYS FOR ANY OF THE FOREGOING ARTICLES, OF BASE METAL - CLASPS AND FRAMES WITH CLASPS, INCORPORATING LOCKS",18%,,01/07/2017,
83016000,"PADLOCKS AND LOCKS (KEY, COMBINATION OR ELECTRICALLY OPERATED), OF BASE METAL; CLASPS AND FRAMES WITH CLASPS, INCORPORATING LOCKS, OF BASE METAL; KEYS FOR ANY OF THE FOREGOING ARTICLES, OF BASE METAL - PARTS",18%,,01/07/2017,
83017000,"PADLOCKS AND LOCKS (KEY, COMBINATION OR ELECTRICALLY OPERATED), OF BASE METAL; CLASPS AND FRAMES WITH CLASPS, INCORPORATING LOCKS, OF BASE METAL; KEYS FOR ANY OF THE FOREGOING ARTICLES, OF BASE METAL - KEYS PRESENTED SEPARATELY",18%,,01/07/2017,
8302,"BASE METAL MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR FURNITURE, DOORS, STAIRCASES, WINDOWS, BLINDS, COACHWORK, SADDLERY, TRUNKS, CHESTS, CASKETS OR THE LIKE; BASE METAL HAT-RACKS, HAT-PEGS, BRACKETS AND SIMILAR FIXTURES; CASTORS WITH MOUNTING",18%,,15/11/2017,
830210,HINGES,18%,,15/11/2017,
83021010,"BASE METAL MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR FURNITURE, DOORS, STAIRCASES, WINDOWS, BLINDS, COACHWORK, SADDLERY, TRUNKS, CHESTS, CASKETS OR THE LIKE; BASE METAL HAT - RACKS, HAT - PEGS, BRACKETS AND SIMILAR FIXTURES; CASTORS WITH MOUNT",18%,,15/11/2017,
83021020,"BASE METAL MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR FURNITURE, DOORS, STAIRCASES, WINDOWS, BLINDS, COACHWORK, SADDLERY, TRUNKS, CHESTS, CASKETS OR THE LIKE; BASE METAL HAT - RACKS, HAT - PEGS, BRACKETS AND SIMILAR FIXTURES; CASTORS WITH MOUNT",18%,,15/11/2017,
83021090,"BASE METAL MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR FURNITURE, DOORS, STAIRCASES, WINDOWS, BLINDS, COACHWORK, SADDLERY, TRUNKS, CHESTS, CASKETS OR THE LIKE; BASE METAL HAT - RACKS, HAT - PEGS, BRACKETS AND SIMILAR FIXTURES; CASTORS WITH MOUNT",18%,,15/11/2017,
83022000,"BASE METAL MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR FURNITURE, DOORS, STAIRCASES, WINDOWS, BLINDS, COACHWORK, SADDLERY, TRUNKS, CHESTS, CASKETS OR THE LIKE; BASE METAL HAT - RACKS, HAT - PEGS, BRACKETS AND SIMILAR FIXTURES; CASTORS WITH MOUNT",18%,,15/11/2017,
830230,"OTHER MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR MOTOR VEHICLES",18%,,15/11/2017,
83023010,"BASE METAL MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR FURNITURE, DOORS, STAIRCASES, WINDOWS, BLINDS, COACHWORK, SADDLERY, TRUNKS, CHESTS, CASKETS OR THE LIKE; BASE METAL HAT - RACKS, HAT - PEGS, BRACKETS AND SIMILAR FIXTURES; CASTORS WITH MOUNT",18%,,15/11/2017,
83023090,"BASE METAL MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR FURNITURE, DOORS, STAIRCASES, WINDOWS, BLINDS, COACHWORK, SADDLERY, TRUNKS, CHESTS, CASKETS OR THE LIKE; BASE METAL HAT - RACKS, HAT - PEGS, BRACKETS AND SIMILAR FIXTURES; CASTORS WITH MOUNT",18%,,15/11/2017,
830241,SUITABLE FOR BUILDINGS,18%,,15/11/2017,
83024110,"BASE METAL MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR FURNITURE, DOORS, STAIRCASES, WINDOWS, BLINDS, COACHWORK, SADDLERY, TRUNKS, CHESTS, CASKETS OR THE LIKE; BASE METAL HAT - RACKS, HAT - PEGS, BRACKETS AND SIMILAR FIXTURES; CASTORS WITH MOUNT",18%,,15/11/2017,
83024120,"BASE METAL MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR FURNITURE, DOORS, STAIRCASES, WINDOWS, BLINDS, COACHWORK, SADDLERY, TRUNKS, CHESTS, CASKETS OR THE LIKE; BASE METAL HAT - RACKS, HAT - PEGS, BRACKETS AND SIMILAR FIXTURES; CASTORS WITH MOUNT",18%,,15/11/2017,
83024190,"BASE METAL MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR FURNITURE, DOORS, STAIRCASES, WINDOWS, BLINDS, COACHWORK, SADDLERY, TRUNKS, CHESTS, CASKETS OR THE LIKE; BASE METAL HAT - RACKS, HAT - PEGS, BRACKETS AND SIMILAR FIXTURES; CASTORS WITH MOUNT",18%,,15/11/2017,
83024200,"BASE METAL MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR FURNITURE, DOORS, STAIRCASES, WINDOWS, BLINDS, COACHWORK, SADDLERY, TRUNKS, CHESTS, CASKETS OR THE LIKE; BASE METAL HAT - RACKS, HAT - PEGS, BRACKETS AND SIMILAR FIXTURES; CASTORS WITH MOUNT",18%,,15/11/2017,
