HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
8401,"NUCLEAR REACTORS; FUEL ELEMENTS (CARTRIDGES), NON-IRRADIATED, FOR NUCLEAR REACTORS; MACHINERY AND APPARATUS FOR ISOTOPIC SEPARATION(Fuel elements (cartridges), non-irradiated, for nuclear reactors)",12%,,01/07/2017,
8401,"NUCLEAR REACTORS; FUEL ELEMENTS (CARTRIDGES), NON-IRRADIATED, FOR NUCLEAR REACTORS; MACHINERY AND APPARATUS FOR ISOTOPIC SEPARATION(Nuclear Reactor)",18%,,01/07/2017,
84011000,"NUCLEAR REACTORS; FUEL ELEMENTS (CARTRIDGES), NON-IRRADIATED, FOR NUCLEAR REACTORS; MACHINERY AND APPARATUS FOR ISOTOPIC SEPARATION NUCLEAR REACTORS",18%,,01/07/2017,
84012000,"NUCLEAR REACTORS; FUEL ELEMENTS (CARTRIDGES), NON-IRRADIATED, FOR NUCLEAR REACTORS; MACHINERY AND APPARATUS FOR ISOTOPIC SEPARATION MACHINERY AND APPARATUS FOR ISOTOPIC SEPARATION, AND PARTS THEREOF",18%,,01/07/2017,
84013000,"NUCLEAR REACTORS; FUEL ELEMENTS (CARTRIDGES), NON-IRRADIATED, FOR NUCLEAR REACTORS; MACHINERY AND APPARATUS FOR ISOTOPIC SEPARATION FUEL ELEMENTS (CARTRIDGES), NON-IRRADIATED",18%,,01/07/2017,
84014000,"NUCLEAR REACTORS; FUEL ELEMENTS (CARTRIDGES), NON-IRRADIATED, FOR NUCLEAR REACTORS; MACHINERY AND APPARATUS FOR ISOTOPIC SEPARATION PARTS OF NUCLEAR REACTORS",18%,,01/07/2017,
8402,STEAM OR OTHER VAPOUR GENERATING BOILERS (OTHER THAN CENTRAL HEATING HOT WATER BOILERS CAPABLE ALSO OF PRODUCING LOW PRESSURE STEAM); SUPER-HEATED WATER BOILERS - STEAM OR OTHER VAPOUR GENERATING BOILERS,18%,,01/07/2017,
84021100,STEAM OR OTHER VAPOUR GENERATING BOILERS (OTHER THAN CENTRAL HEATING HOT WATER BOILERS CAPABLE ALSO OF PRODUCING LOW PRESSURE STEAM); SUPERHEATED WATER BOILERS - STEAM OR OTHER VAPOUR GENERATING BOILERS: WATERTUBE BOILERS WITH A STEAM PRODUCTION EXCEEDING,18%,,01/07/2017,
84021200,STEAM OR OTHER VAPOUR GENERATING BOILERS (OTHER THAN CENTRAL HEATING HOT WATER BOILERS CAPABLE ALSO OF PRODUCING LOW PRESSURE STEAM); SUPERHEATED WATER BOILERS - STEAM OR OTHER VAPOUR GENERATING BOILERS: WATER TUBE BOILERS WITH A STEAM PRODUCTION NOT EXCE,18%,,01/07/2017,
840219,"OTHER VAPOUR GENERATING BOILERS, INCLUDING HYBRID BOILERS",18%,,01/07/2017,
