HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
8501,ELECTRIC MOTORS AND GENERATORS (EXCLUDING GENERATING SETS),18%,,01/07/2017,
850110,MOTORS OF AN OUTPUT NOT EXCEEDING 37.5 W,18%,,01/07/2017,
85011011,ELECTRIC MOTORS AND GENERATORS (EXCLUDING GENERATING SETS) MOTORS OF AN OUTPUT NOT EXCEEDING 37.5 W: - DC MOTOR: MICRO MOTOR,18%,,01/07/2017,
85011012,ELECTRIC MOTORS AND GENERATORS (EXCLUDING GENERATING SETS) MOTORS OF AN OUTPUT NOT EXCEEDING 37.5 W: - DC MOTOR: STEPPER MOTOR,18%,,01/07/2017,
85011013,ELECTRIC MOTORS AND GENERATORS (EXCLUDING GENERATING SETS) MOTORS OF AN OUTPUT NOT EXCEEDING 37.5 W: - DC MOTOR: WIPER MOTOR,18%,,01/07/2017,
85011019,ELECTRIC MOTORS AND GENERATORS (EXCLUDING GENERATING SETS) MOTORS OF AN OUTPUT NOT EXCEEDING 37.5 W: - DC MOTOR: OTHER,18%,,01/07/2017,
85011020,ELECTRIC MOTORS AND GENERATORS (EXCLUDING GENERATING SETS) MOTORS OF AN OUTPUT NOT EXCEEDING 37.5 W:AC MOTOR,18%,,01/07/2017,
85012000,ELECTRIC MOTORS AND GENERATORS (EXCLUDING GENERATING SETS) UNIVERSAL AC OR DC MOTORS OF AN OUTPUT EXCEEDING 37.5 W,18%,,01/07/2017,
850131,OF AN OUTPUT NOT EXCEEDING 750 W,18%,,01/07/2017,
85013111,ELECTRIC MOTORS AND GENERATORS (EXCLUDING GENERATING SETS) - OTHER DC MOTORS; DC GENERATORS: - OF AN OUTPUT NOT EXCEEDING 750 W: - DC MOTORS: MICRO MOTOR,18%,,01/07/2017,
85013112,ELECTRIC MOTORS AND GENERATORS (EXCLUDING GENERATING SETS) - OTHER DC MOTORS; DC GENERATORS: - OF AN OUTPUT NOT EXCEEDING 750 W: - DC MOTORS: STEPPER MOTOR,18%,,01/07/2017,
85013113,ELECTRIC MOTORS AND GENERATORS (EXCLUDING GENERATING SETS) - OTHER DC MOTORS; DC GENERATORS: - OF AN OUTPUT NOT EXCEEDING 750 W: - DC MOTORS: WIPER MOTOR,18%,,01/07/2017,
85013119,ELECTRIC MOTORS AND GENERATORS (EXCLUDING GENERATING SETS) - OTHER DC MOTORS; DC GENERATORS: - OF AN OUTPUT NOT EXCEEDING 750 W: - DC MOTORS: OTHER,18%,,01/07/2017,
85013120,ELECTRIC MOTORS AND GENERATORS (EXCLUDING GENERATING SETS) - OTHER DC MOTORS; DC GENERATORS: - OF AN OUTPUT NOT EXCEEDING 750 W: DC GENERATORS,18%,,01/07/2017,
850132,OF AN OUTPUT EXCEEDING 750 W BUT NOT EXCEEDING 75 KW,18%,,01/07/2017,
85013210,ELECTRIC MOTORS AND GENERATORS (EXCLUDING GENERATING SETS) - OTHER DC MOTORS; DC GENERATORS: - OF AN OUTPUT EXCEEDING 750 W BUT NOT EXCEEDING 75 KW: DC MOTOR,18%,,01/07/2017,
85013220,ELECTRIC MOTORS AND GENERATORS (EXCLUDING GENERATING SETS) - OTHER DC MOTORS; DC GENERATORS: - OF AN OUTPUT EXCEEDING 750 W BUT NOT EXCEEDING 75 KW: DC GENERATORS,18%,,01/07/2017,
850133,OF AN OUTPUT EXCEEDING 75 KW BUT NOT EXCEEDING 375 KW,18%,,01/07/2017,
85013310,ELECTRIC MOTORS AND GENERATORS (EXCLUDING GENERATING SETS) - OTHER DC MOTORS; DC GENERATORS:- OF AN OUTPUT EXCEEDING 75 KW BUT NOT EXCEEDING 375 KW: DC MOTORS,18%,,01/07/2017,
