HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
8701,TRACTORS (OTHER THAN TRACTORS OF HEADING 8709)(tractors),12%,Nil,01/08/2019                             1/07/2017,
8701,TRACTORS (OTHER THAN TRACTORS OF HEADING 8709)(road tractors more than 1800 cc capacity),28%,Nil,01/08/2019                             1/07/2017,
87011000,TRACTORS (OTHER THAN TRACTORS OF HEADING 8709) PEDESTRIAN CONTROLLED TRACTORS,28%,Nil,01/08/2019                             1/07/2017,
870120,ROAD TRACTORS FOR SEMI-TRAILERS,28%,Nil,01/08/2019                             1/07/2017,
87012010,"TRACTORS (OTHER THAN TRACTORS OF HEADING 8709) ROAD TRACTORS FOR SEMI-TRAILERS OF ENGINE CAPACITY NOT EXCEEDING 1,800 CC",12%,Nil,01/08/2019                             1/07/2017,
87012090,TRACTORS (OTHER THAN TRACTORS OFHEADING 8709) ROAD TRACTORS FOR SEMI-TRAILERS OTHER,28%,Nil,01/08/2019                             1/07/2017,
870130,TRACK-LAYING TRACTORS,28%,Nil,01/08/2019                             1/07/2017,
87013011,"TRACTORS (OTHER THAN TRACTORS OFHEADING 8709 TRACK-LAYING TRACTORS : GARDEN TRACTORS:OF ENGINE CAPACITY NOT EXCEEDING 1,800 CC",12%,Nil,01/08/2019                             1/07/2017,
87013019,TRACTORS (OTHER THAN TRACTORS OFHEADING 8709 TRACK-LAYING TRACTORS GARDEN TRACTORS: OTHER,28%,Nil,01/08/2019                             1/07/2017,
87013091,"TRACTORS (OTHER THAN TRACTORS OF HEADING 8709 OTHER :OF ENGINE CAPACITY NOT EXCEEDING 1,800 CC",12%,Nil,01/08/2019                             1/07/2017,
87013099,TRACTORS (OTHER THAN TRACTORS OFHEADING 8709 OTHER OTHER,28%,Nil,01/08/2019                             1/07/2017,
870190,OTHER,28%,Nil,01/08/2019                             1/07/2017,
87019010,"TRACTORS (OTHER THAN TRACTORS OF HEADING 8709 OTHER : OF ENGINE CAPACITY NOT EXCEEDING 1,800 CC",12%,Nil,01/08/2019                             1/07/2017,
87019090,TRACTORS (OTHER THAN TRACTORS OFHEADING 8709 OTHER :TRACTORS (OTHER THAN TRACTORS OFHEADING 8709 OTHER,28%,Nil,01/08/2019                             1/07/2017,
87019100,NOT EXCEEDING 18 KW,28%,Nil,01/08/2019                             1/07/2017,
87019200,EXCEEDING 18 KW BUT NOT EXCEEDING 37 KW,28%,Nil,01/08/2019                             1/07/2017,
87019300,EXCEEDING 37 KW BUT NOT EXCEEDING 75 KW,28%,Nil,01/08/2019                             1/07/2017,
87019400,EXCEEDING 75 KW BUT NOT EXCEEDING 130 KW,28%,Nil,01/08/2019                             1/07/2017,
87019500,EXCEEDING 130 KW,28%,Nil,01/08/2019                             1/07/2017,
8702,"MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS, INCLUDING THE DRIVER",28%,Nil,01/08/2019            25/01/2018                1/07/2017,
8702,Buses for use in public transport which exclusively run on Bio-fuels,18%,,25/01/2018,
870210,WITH ONLY COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINE (DIESEL OR SEMI-DIESEL),28%,Nil/15%,01/08/2019            25/01/2018                1/07/2017,
87021011,"MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS, INCLUDING THE DRIVER WITH COMPRESSION-IGNITION INTERNALCOMBUSTION PISTON ENGINE (DIESEL OR SEMIDIESEL) VEHICLES FOR TRANSPORT OF NOT MORE THAN3 PERSONS, INCLUDING THE DRIVER: INTEGRATED MONOCOQUE VE",28%,Nil/15%,01/08/2019            25/01/2018                1/07/2017,
87021012,"MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS, INCLUDING THE DRIVER WITH COMPRESSION-IGNITION INTERNALCOMBUSTION PISTON ENGINE (DIESEL OR SEMIDIESEL) VEHICLES FOR TRANSPORT OF NOT MORE THAN 13 PERSONS, INCLUDING THE DRIVER:AIR-CONDITIONED VEHICL",28%,Nil/15%,01/08/2019            25/01/2018                1/07/2017,
87021018,"OTHER, AIR-CONDITIONED",28%,Nil/15%,01/08/2019            25/01/2018                1/07/2017,
