HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
8801,"BALLOONS AND DIRIGIBLES, GLIDERS, HAND GLIDERS AND OTHER NON-POWERED AIRCRAFT",18%,,01/07/2017,
880100,"BALLOONS AND DIRIGIBLES; GLIDERS, HANG GLIDERS AND OTHER NON-POWERED AIRCRAFT",18%,,01/07/2017,
88010010,"BALLOONS AND DIRIGIBLES; GLIDERS, HANG GLIDERS AND OTHER NON-POWERED AIRCRAFT -BALLOONS AND DIRIGIBLES; GLIDERS, HANG GLIDERS AND OTHER NON-POWERED AIRCRAFT:--- GLIDERS AND HANG GLIDERS",18%,,01/07/2017,
88010020,"BALLOONS AND DIRIGIBLES; GLIDERS, HANG GLIDERS AND OTHER NON-POWERED AIRCRAFT-BALLOONS AND DIRIGIBLES; GLIDERS, HANG GLIDERS AND OTHER NON-POWERED AIRCRAFT: --BALLOONS",18%,,01/07/2017,
88010090,"BALLOONS AND DIRIGIBLES; GLIDERS, HANG GLIDERS AND OTHER NON-POWERED AIRCRAFT-BALLOONS AND DIRIGIBLES; GLIDERS, HANG GLIDERS AND OTHER NON-POWERED AIRCRAFT:---OTHER",18%,,01/07/2017,
88011000,"BALLOONS AND DIRIGIBLES; GLIDERS, HANG GLIDERS AND OTHER NON-POWERED AIRCRAFT GLIDERS AND HANG GLIDERS",18%,,01/07/2017,
88019010,"BALLOONS AND DIRIGIBLES; GLIDERS, HANG GLIDERS AND OTHER NON-POWERED AIRCRAFT - OTHER: BALLOONS",18%,,01/07/2017,
88019090,"BALLOONS AND DIRIGIBLES; GLIDERS, HANG GLIDERS AND OTHER NON-POWERED AIRCRAFT - OTHER: OTHER",18%,,01/07/2017,
8802,"OTHER AIRCRAFT (FOR EXAMPLE, HELICOPTERS, AEROPLANES); SPACECRAFT (INCLUDING SATELLITES) AND SUBORBITAL AND SPACECRAFT LAUNCH VEHICLES - HELICOPTER",5%,3%,01/07/2017,
8802,Aircrafts for personal use,28%,,01/07/2017,
88021100,"OTHER AIRCRAFT (FOR EXAMPLE, HELICOPTERS, AEROPLANES); SPACECRAFT (INCLUDING SATELLITES) AND SUBORBITAL AND SPACECRAFT LAUNCH VEHICLES - HELICOPTERS: OF AN UNLADEN WEIGHT NOT EXCEEDING 2,000 KG",5%,3%,01/07/2017,
88021200,"OTHER AIRCRAFT (FOR EXAMPLE, HELICOPTERS, AEROPLANES); SPACECRAFT (INCLUDING SATELLITES) AND SUBORBITAL AND SPACECRAFT LAUNCH VEHICLES - HELICOPTERS: OF AN UNLADEN WEIGHT EXCEEDING 2,000 KG",5%,3%,01/07/2017,
