HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
9101,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP-WATCHES, WITH CASE OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL - WRIST-WATCHES, ELECTRICALLY OPERATED WHETHER OR NOT INCORPORATING A STOP-WATCH FACILITY",18%,,15/11/2017,
91011100,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP-WATCHES, WITH CASE OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL - WRIST-WATCHES, ELECTRICALLY OPERATED WHETHER OR NOT INCORPORATING A STOP-WATCH FACILITY: WITH MECHANICAL DISPLAY ON",18%,,15/11/2017,
91011200,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP-WATCHES, WITH CASE OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL - WRIST-WATCHES, ELECTRICALLY OPERATED WHETHER OR NOT INCORPORATING A STOP-WATCH FACILITY: WITH OPTO-ELECTRONIC DISPL",18%,,15/11/2017,
91011900,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP-WATCHES, WITH CASE OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL - WRIST-WATCHES, ELECTRICALLY OPERATED WHETHER OR NOT INCORPORATING A STOP-WATCH FACILITY: OTHER",18%,,15/11/2017,
91012100,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP-WATCHES, WITH CASE OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL - OTHER WRIST-WATCHES, WHETHER OR NOT INCORPORATING A STOP-WATCH FACILITY: WITH AUTOMATIC WINDING",18%,,15/11/2017,
91012900,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP-WATCHES, WITH CASE OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL - OTHER WRIST-WATCHES, WHETHER OR NOT INCORPORATING A STOP-WATCH FACILITY: OTHER",18%,,15/11/2017,
910191,ELECTRICALLY OPERATED,18%,,15/11/2017,
91019110,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP-WATCHES, WITH CASE OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL - OTHER : - ELECTRICALLY OPERATED: POCKET WATCHES",18%,,15/11/2017,
91019120,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP-WATCHES, WITH CASE OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL - OTHER : - ELECTRICALLY OPERATED: STOP WATCHES",18%,,15/11/2017,
91019190,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP-WATCHES, WITH CASE OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL - OTHER : - ELECTRICALLY OPERATED: OTHER",18%,,15/11/2017,
910199,OTHER,18%,,15/11/2017,
91019910,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP-WATCHES, WITH CASE OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL - OTHER : OTHER: POCKET WATCHES",18%,,15/11/2017,
91019920,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP-WATCHES, WITH CASE OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL - OTHER : OTHER: STOP WATCHES",18%,,15/11/2017,
91019990,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP-WATCHES, WITH CASE OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL - OTHER : OTHER: OTHER",18%,,15/11/2017,
9102,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP WATCHES, OTHER THAN THOSE OF HEADING - WRIST-WATCHES, ELECTRICALLY OPERATED, WHETHER OR NOT INCORPORATING A STOP-WATCH FACILITY",18%,,15/11/2017,
91021100,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP WATCHES, OTHER THAN THOSE OF HEADING 9101 - WRIST-WATCHES, ELECTRICALLY OPERATED, WHETHER OR NOT INCORPORATING A STOP-WATCH FACILITY: WITH MECHANICAL DISPLAY ONLY",18%,,15/11/2017,
91021200,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP WATCHES, OTHER THAN THOSE OF HEADING 9101 - WRIST-WATCHES, ELECTRICALLY OPERATED, WHETHER OR NOT INCORPORATING A STOP-WATCH FACILITY: WITH OPTO-ELECTRONIC DISPLAY ONLY",18%,,15/11/2017,
91021900,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP WATCHES, OTHER THAN THOSE OF HEADING 9101 - WRIST-WATCHES, ELECTRICALLY OPERATED, WHETHER OR NOT INCORPORATING A STOP-WATCH FACILITY: OTHER",18%,,15/11/2017,
91022100,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP WATCHES, OTHER THAN THOSE OF HEADING 9101- OTHER WRIST-WATCHES, WHETHER OR NOT INCORPORATING A STOP-WATCH FACILITY: WITH AUTOMATIC WINDING",18%,,15/11/2017,
91022900,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP WATCHES, OTHER THAN THOSE OF HEADING 9101- OTHER WRIST-WATCHES, WHETHER OR NOT INCORPORATING A STOP-WATCH FACILITY: OTHER",18%,,15/11/2017,
910291,ELECTRICALLY OPERATED,18%,,15/11/2017,
91029110,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP WATCHES, OTHER THAN THOSE OF HEADING - OTHER: ELECTRICALLY OPERATED: POCKET WATCHES",18%,,15/11/2017,
91029120,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP WATCHES, OTHER THAN THOSE OF HEADING - OTHER: ELECTRICALLY OPERATED: STOP WATCHES",18%,,15/11/2017,
91029190,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP WATCHES, OTHER THAN THOSE OF HEADING - OTHER: ELECTRICALLY OPERATED: OTHER",18%,,15/11/2017,
910299,OTHER,18%,,15/11/2017,
91029910,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP WATCHES, OTHER THAN THOSE OF HEADING - OTHER - OTHER: POCKET WATCHES",18%,,15/11/2017,
91029920,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP WATCHES, OTHER THAN THOSE OF HEADING - OTHER - OTHER: STOP WATCHES",18%,,15/11/2017,
91029990,"WRIST-WATCHES, POCKET-WATCHES AND OTHER WATCHES, INCLUDING STOP WATCHES, OTHER THAN THOSE OF HEADING - OTHER - OTHER: OTHER",18%,,15/11/2017,
9103,"CLOCKS WITH WATCH MOVEMENTS, EXCLUDING CLOCKS OF HEADING 9104",18%,,01/07/2017,
91031000,"CLOCKS WITH WATCH MOVEMENTS, EXCLUDING CLOCKS OF HEADING 9104 - ELECTRICALLY OPERATED",18%,,01/07/2017,
