HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
9201,"PIANOS, INCLUDING AUTOMATIC PIANOS; HARPSI-CHORDS AND OTHER KEYBOARD STRINGED INSTRUMENTS",18%,,15/11/2017,
92011000,"PIANOS, INCLUDING AUTOMATIC PIANOS; HARPSI-CHORDS AND OTHER KEYBOARD STRINGED INSTRUMENTS UPRIGHT PIANOS",18%,,15/11/2017,
92012000,"PIANOS, INCLUDING AUTOMATIC PIANOS; HARPSI-CHORDS AND OTHER KEYBOARD STRINGED INSTRUMENTS GRAND PIANOS",18%,,15/11/2017,
92019000,"PIANOS, INCLUDING AUTOMATIC PIANOS; HARPSI-CHORDS AND OTHER KEYBOARD STRINGED INSTRUMENTS OTHER",18%,,15/11/2017,
9202,"OTHER STRING MUSICAL INSTRUMENTS (FOR EXAMPLE, GUITARS, VIOLINS, HARPS)",18%,,15/11/2017,
92021000,"OTHER STRING MUSICAL INSTRUMENTS (FOR EXAMPLE, GUITARS, VIOLINS, HARPS) PLAYED WITH A BOW",18%,,15/11/2017,
92029000,"OTHER STRING MUSICAL INSTRUMENTS (FOR EXAMPLE, GUITARS, VIOLINS, HARPS) OTHER",18%,,15/11/2017,
9203,OMITTED,0%,,01/07/2017,
92030010,KEYBOARD PIPE ORGANS; HARMONIUMS AND SIMILAR KEYBOARD INSTRUMENTS WITH FREE METAL REEDS 9203 00? KEYBOARD PIPE ORGANS; HARMONIUMS AND SIMILAR KEYBOARD INSTRUMENTS WITH FREE METAL REEDS KEYBOARD PIPE ORGANS; HARMONIUMS AND SIMILAR KEYBOARD INSTRUMENTS WITH,0%,,01/07/2017,
92030090,KEYBOARD PIPE ORGANS; HARMONIUMS AND SIMILAR KEYBOARD INSTRUMENTS WITH FREE METAL REEDS 9203 00? KEYBOARD PIPE ORGANS; HARMONIUMS AND SIMILAR KEYBOARD INSTRUMENTS WITH FREE METAL REEDS KEYBOARD PIPE ORGANS; HARMONIUMS AND SIMILAR KEYBOARD INSTRUMENTS WITH,0%,,01/07/2017,
9204,OMITTED,0%,,01/07/2017,
92041000,ACCORDIONS AND SIMILAR INSTRUMENTS; MOUTH ORGANS ACCORDIONS AND SIMILAR INSTRUMENTS,0%,,01/07/2017,
92042000,ACCORDIONS AND SIMILAR INSTRUMENTS; MOUTH ORGANS MOUTH ORGANS,0%,,01/07/2017,
9205,"WIND MUSICAL INSTRUMENTS (FOR EXAMPLE, KEYBOARD PIPE ORGANS, ACCORDIONS, CLARINETS, TRUMPETS, BAGPIPES) OTHER THAN FAIRGROUND ORGANS AND |MECHANICAL STREET ORGANS",18%,,15/11/2017,
92051000,"OTHER WIND MUSICAL INSTRUMENTS (FOR EXAMPLE, CLARINETS, TRUMPETS, BAGPIPES) BRASS-WIND INSTRUMENTS",18%,,15/11/2017,
920590,OTHER,18%,,15/11/2017,
92059010,"OTHER WIND MUSICAL INSTRUMENTS (FOR EXAMPLE, CLARINETS, TRUMPETS, BAGPIPES) - OTHER: FLUTES",18%,,15/11/2017,
92059020,"OTHER WIND MUSICAL INSTRUMENTS (FOR EXAMPLE, CLARINETS, TRUMPETS, BAGPIPES) - OTHER: CLARINETS",18%,,15/11/2017,
92059090,"OTHER WIND MUSICAL INSTRUMENTS (FOR EXAMPLE, CLARINETS, TRUMPETS, BAGPIPES) - OTHER: OTHER",18%,,15/11/2017,
9206,"PERCUSSION MUSICAL INSTRUMENTS (FOR EXAMPLE, DRUMS, XYLOPHONES, CYMBOLS, CASTANETS, MARACAS)",0%,,01/07/2017,
92060000,"PERCUSSION MUSICAL INSTRUMENTS (FOR EXAMPLE, DRUMS, XYLOPHONES, CYMBOLS, CASTANETS, MARACAS)",18%,,15/11/2017,
9207,"MUSICAL INSTRUMENTS, THE SOUND OF WHICH IS PRODUCED, OR MUST BE AMPLIFIED, ELECTRICALLY (FOR EXAMPLE, ORGANS, GUITARS, ACCORDIONS)",18%,,15/11/2017,
92071000,"MUSICAL INSTRUMENTS, THE SOUND OF WHICH IS PRODUCED, OR MUST BE AMPLIFIED, ELECTRICALLY (FOR EXAMPLE, ORGANS, GUITARS, ACCORDIONS)KEYBOARD INSTRUMENTS, OTHER THAN ACCORDIONS",18%,,15/11/2017,
92079000,"MUSICAL INSTRUMENTS, THE SOUND OF WHICH IS PRODUCED, OR MUST BE AMPLIFIED, ELECTRICALLY (FOR EXAMPLE, ORGANS, GUITARS, ACCORDIONS)OTHER",18%,,15/11/2017,
9208,"MUSICAL BOXES, FAIRGROUND ORGANS, MECHANICAL STREET ORGANS, MECHANICAL SINGING BIRDS, MUSICAL SAWS AND OTHER MUSICAL INSTRUMENTS NOT FALLING WITHIN ANY OTHER HEADING OF THIS CHAPTER; DECOY CALLS OF ALL KINDS; WHISTLES, CALL HORNS AND OTHER MOUTH-BLOWN SOU",18%,,15/11/2017,
92081000,"MUSICAL BOXES, FAIRGROUND ORGANS, MECHANICAL STREET ORGANS, MECHANICAL SINGING BIRDS, MUSICAL SAWS AND OTHER MUSICAL INSTRUMENTS NOT FALLING WITHIN ANY OTHER HEADING OF THIS CHAPTER; DECOY CALLS OF ALL KINDS; WHISTLES, CALL HORNS AND OTHER MOUTH-BLOWN SOU",18%,,15/11/2017,
92082000,"MUSICAL BOXES, FAIRGROUND ORGANS, MECHANICAL STREET ORGANS, MECHANICAL SINGING BIRDS, MUSICAL SAWS AND OTHER MUSICAL INSTRUMENTS NOT FALLING WITHIN ANY OTHER HEADING OF THIS CHAPTER; DECOY CALLS OF ALL KINDS; WHISTLES, CALL HORNS AND OTHER MOUTH-BLOWN SOU",18%,,15/11/2017,
92089000,"MUSICAL BOXES, FAIRGROUND ORGANS, MECHANICAL STREET ORGANS, MECHANICAL SINGING BIRDS, MUSICAL SAWS AND OTHER MUSICAL INSTRUMENTS NOT FALLING WITHIN ANY OTHER HEADING OF THIS CHAPTER; DECOY CALLS OF ALL KINDS; WHISTLES, CALL HORNS AND OTHER MOUTH-BLOWN SOU",18%,,15/11/2017,
9209,"PARTS (FOR EXAMPLE, MECHANISMS FOR MUSICAL BOXES) AND ACCESSORIES (FOR EXAMPLE, CARDS, DISCS AND ROLLS FOR MECHANICAL INSTRUMENTS) OF MUSICAL INSTRUMENTS; METRONOMES, TUNING FORKS AND PITCH PIPES OF ALL KINDS",18%,,15/11/2017,
92091000,"PARTS (FOR EXAMPLE, MECHANISMS FOR MUSICAL BOXES) AND ACCESSORIES (FOR EXAMPLE, CARDS, DISCS AND ROLLS FOR MECHANICAL INSTRUMENTS) OF MUSICAL INSTRUMENTS; METRONOMES, TUNING FORKS AND PITCH PIPES OF ALL KINDSMETRONOMES, TUNING FORKS AND PITCH PIPES",18%,,15/11/2017,
92092000,"PARTS (FOR EXAMPLE, MECHANISMS FOR MUSICAL BOXES) AND ACCESSORIES (FOR EXAMPLE, CARDS, DISCS AND ROLLS FOR MECHANICAL INSTRUMENTS) OF MUSICAL INSTRUMENTS; METRONOMES, TUNING FORKS AND PITCH PIPES OF ALL KINDSMECHANISMS FOR MUSICAL BOXES",18%,,15/11/2017,
92093000,"PARTS (FOR EXAMPLE, MECHANISMS FOR MUSICAL BOXES) AND ACCESSORIES (FOR EXAMPLE, CARDS, DISCS AND ROLLS FOR MECHANICAL INSTRUMENTS) OF MUSICAL INSTRUMENTS; METRONOMES, TUNING FORKS AND PITCH PIPES OF ALL KINDSMUSICAL INSTRUMENT STRINGS",18%,,15/11/2017,
92099100,"PARTS (FOR EXAMPLE, MECHANISMS FOR MUSICAL BOXES) AND ACCESSORIES (FOR EXAMPLE, CARDS, DISCS AND ROLLS FOR MECHANICAL INSTRUMENTS) OF MUSICAL INSTRUMENTS; METRONOMES, TUNING FORKS AND PITCH PIPES OF ALL KINDS- OTHER: PARTS AND ACCESSORIES FOR PIANOS",18%,,15/11/2017,
92099200,"PARTS (FOR EXAMPLE, MECHANISMS FOR MUSICAL BOXES) AND ACCESSORIES (FOR EXAMPLE, CARDS, DISCS AND ROLLS FOR MECHANICAL INSTRUMENTS) OF MUSICAL INSTRUMENTS; METRONOMES, TUNING FORKS AND PITCH PIPES OF ALL KINDS- OTHER: PARTS AND ACCESSORIES FOR THE MUSICAL",18%,,15/11/2017,
92099300,"PARTS (FOR EXAMPLE, MECHANISMS FOR MUSICAL BOXES) AND ACCESSORIES (FOR EXAMPLE, CARDS, DISCS AND ROLLS FOR MECHANICAL INSTRUMENTS) OF MUSICAL INSTRUMENTS; METRONOMES, TUNING FORKS AND PITCH PIPES OF ALL KINDS- OTHER: PARTS AND ACCESSORIES FOR THE MUSICAL",18%,,15/11/2017,
92099400,"PARTS (FOR EXAMPLE, MECHANISMS FOR MUSICAL BOXES) AND ACCESSORIES (FOR EXAMPLE, CARDS, DISCS AND ROLLS FOR MECHANICAL INSTRUMENTS) OF MUSICAL INSTRUMENTS; METRONOMES, TUNING FORKS AND PITCH PIPES OF ALL KINDS- OTHER: PARTS AND ACCESSORIES FOR THE MUSICAL",18%,,15/11/2017,
92099900,"PARTS (FOR EXAMPLE, MECHANISMS FOR MUSICAL BOXES) AND ACCESSORIES (FOR EXAMPLE, CARDS, DISCS AND ROLLS FOR MECHANICAL INSTRUMENTS) OF MUSICAL INSTRUMENTS; METRONOMES, TUNING FORKS AND PITCH PIPES OF ALL KINDS- OTHER: OTHER",18%,,15/11/2017,
