HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
9301,"MILITARY WEAPONS, OTHER THAN REVOLVERS, PISTOLS AND THE ARMS OF HEADING",18%,,01/07/2017,
930110,"ARTILLERY WEAPONS (FOR EXAPLE, GUNDS, HOWITZERS AND MORTARS)",18%,,01/07/2017,
93011010,SELF PROPELLED,18%,,01/07/2017,
93011090,OTHER,18%,,01/07/2017,
93012000,"MILITARY WEAPONS, OTHER THAN REVOLVERS, PISTOLS AND THE ARMS OF HEADING 9307 - ROCKET LAUNCHERS; FLAME-THROWERS; GRENADE LAUNCHERS; TORPEDO TUBES AND SIMILAR PROJECTORS",18%,,01/07/2017,
93019000,"MILITARY WEAPONS, OTHER THAN REVOLVERS, PISTOLS AND THE ARMS OF HEADING 9307 - OTHER",18%,,01/07/2017,
9302,"REVOLVERS AND PISTOLS, OTHER THAN THOSE OF HEADING 9303 OR 9304",28%,,01/07/2017,
93020000,"REVOLVERS AND PISTOLS, OTHER THAN THOSE OF HEADING 9303 OR 9304",28%,,01/07/2017,
9303,"OTHER FIREARMS AND SIMILAR DEVICES WHICH OPERATE BY THE FIRING OF AN EXPLOSIVE CHARGE (FOR EXAMPLE, SPORTING SHOTGUNS AND RIFLES, MUZZLE-LOADING FIREARMS, VERY PISTOLS AND OTHER DEVICES DESIGNED TO PROJECT ONLY SIGNAL FLARES, PISTOLS AND REVOLVERS FOR FIR",18%,,01/07/2017,
93031000,"OTHER FIREARMS AND SIMILAR DEVICES WHICH OPERATE BY THE FIRING OF AN EXPLOSIVE CHARGE (FOR EXAMPLE, SPORTING SHOTGUNS AND RIFLES, MUZZLE-LOADING FIREARMS, VERY PISTOLS AND OTHER DEVICES DESIGNED TO PROJECT ONLY SIGNAL FLARES, PISTOLS AND REVOLVERS FOR FIR",18%,,01/07/2017,
93032000,"OTHER FIREARMS AND SIMILAR DEVICES WHICH OPERATE BY THE FIRING OF AN EXPLOSIVE CHARGE (FOR EXAMPLE, SPORTING SHOTGUNS AND RIFLES, MUZZLE-LOADING FIREARMS, VERY PISTOLS AND OTHER DEVICES DESIGNED TO PROJECT ONLY SIGNAL FLARES, PISTOLS AND REVOLVERS FOR FIR",18%,,01/07/2017,
