HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
9401,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF",18%,,15/11/2017,
94011000,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF SEATS OF A KIND USED FOR AIRCRAFT",5%,,15/11/2017,
94012000,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF SEATS OF A KIND USED FOR MOTOR VEHICLES",18%,,15/11/2017,
94013000,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF SWIVEL SEATS AND VARIABLE HEIGHT ADJUSTMENT",18%,,15/11/2017,
94014000,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF SEATS OTHER THAN GARDEN SEATS OR CAMPING EQUIPMENT, CONVERTIBLE INTO BEDS",18%,,15/11/2017,
94015000,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF SEATS OF CANE, OSIER, BAMBOO OR SIMILAR MATERIALS",18%,,15/11/2017,
94015100,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF -SEATS OF CANE, OSIER, BAMBOO OR SIMILAR MATERIALS: -- OF BAMBOO OR RATTAN",18%,,15/11/2017,
94015200,OF BAMBOO,18%,,15/11/2017,
94015300,OF RATTAN,18%,,15/11/2017,
94015900,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF - SEATS OF CANE, OSIER, BAMBOO OR SIMILAR MATERIALS: -- OTHER",18%,,15/11/2017,
94016100,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF - OTHER SEATS, WITH WOODEN FRAMES: UPHOLSTERED",18%,,15/11/2017,
94016900,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF - OTHER SEATS, WITH WOODEN FRAMES: OTHER",18%,,15/11/2017,
94017100,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF - OTHER SEATS, WITH METAL FRAMES: UPHOLSTERED",18%,,15/11/2017,
94017900,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF - OTHER SEATS, WITH METAL FRAMES: OTHER",18%,,15/11/2017,
94018000,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF OTHER SEATS",18%,,15/11/2017,
94019000,"SEATS (OTHER THAN THOSE OF HEADING 9402), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF PARTS",18%,,15/11/2017,
9402,"MEDICAL, SURGICAL, DENTAL OR VETERINARY FURNITURE (FOR EXAMPLE, OPERATING TABLES, EXAMINATION TABLES, HOSPITAL BEDS WITH MECHANICAL FITTINGS, DENTISTS' CHAIRS); BARBERS' CHAIRS AND SIMILAR CHAIRS, HAVING ROTATING AS WELL AS BOTH RECLINING AND ELEVATING MO",18%,,01/07/2017,
940210,"DENTIST'S, BARBER'S OR SIMILAR CHAIRS AND PARTS THEREOF",18%,,01/07/2017,
94021010,"MEDICAL, SURGICAL, DENTAL OR VETERINARY FURNITURE (FOR EXAMPLE, OPERATING TABLES, EXAMINATION TABLES, HOSPITAL BEDS WITH MECHANICAL FITTINGS, DENTISTS' CHAIRS); BARBERS' CHAIRS AND SIMILAR CHAIRS, HAVING ROTATING AS WELL AS BOTH RECLINING AND ELEVATING MO",18%,,01/07/2017,
94021090,"MEDICAL, SURGICAL, DENTAL OR VETERINARY FURNITURE (FOR EXAMPLE, OPERATING TABLES, EXAMINATION TABLES, HOSPITAL BEDS WITH MECHANICAL FITTINGS, DENTISTS' CHAIRS); BARBERS' CHAIRS AND SIMILAR CHAIRS, HAVING ROTATING AS WELL AS BOTH RECLINING AND ELEVATING MO",18%,,01/07/2017,
940290,OTHER,18%,,01/07/2017,
94029010,"MEDICAL, SURGICAL, DENTAL OR VETERINARY FURNITURE (FOR EXAMPLE, OPERATING TABLES, EXAMINATION TABLES, HOSPITAL BEDS WITH MECHANICAL FITTINGS, DENTISTS' CHAIRS); BARBERS' CHAIRS AND SIMILAR CHAIRS, HAVING ROTATING AS WELL AS BOTH RECLINING AND ELEVATING MO",18%,,01/07/2017,
94029020,"MEDICAL, SURGICAL, DENTAL OR VETERINARY FURNITURE (FOR EXAMPLE, OPERATING TABLES, EXAMINATION TABLES, HOSPITAL BEDS WITH MECHANICAL FITTINGS, DENTISTS' CHAIRS); BARBERS' CHAIRS AND SIMILAR CHAIRS, HAVING ROTATING AS WELL AS BOTH RECLINING AND ELEVATING MO",18%,,01/07/2017,
94029090,"MEDICAL, SURGICAL, DENTAL OR VETERINARY FURNITURE (FOR EXAMPLE, OPERATING TABLES, EXAMINATION TABLES, HOSPITAL BEDS WITH MECHANICAL FITTINGS, DENTISTS' CHAIRS); BARBERS' CHAIRS AND SIMILAR CHAIRS, HAVING ROTATING AS WELL AS BOTH RECLINING AND ELEVATING MO",18%,,01/07/2017,
9403,"Furniture wholly made of bamboo, cane or rattan",12%,,15/11/2017        01/07/2017,
