HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
9501,OMITTED,0%,,01/07/2017,
95010010,"WHEELED TOYS DESIGNED TO BE RIDDEN BY CHILDREN (FOR EXAMPLE, TRICYCLES, SCOOTERS, PEDAL CARS); DOLLR CARRIAGES - WHEELED TOYS DESIGNED TO BE RIDDEN BY CHILDREN (FOR EXAMPLE, TRICYCLES, SCOOTERS, PEDAL CARS); DOLLR CARRIAGES: WHEEL TOYS DESIGNED TO BE RIDD",0%,,01/07/2017,
95010090,"WHEELED TOYS DESIGNED TO BE RIDDEN BY CHILDREN (FOR EXAMPLE, TRICYCLES, SCOOTERS, PEDAL CARS); DOLLR CARRIAGES - WHEELED TOYS DESIGNED TO BE RIDDEN BY CHILDREN (FOR EXAMPLE, TRICYCLES, SCOOTERS, PEDAL CARS); DOLLR CARRIAGES: PARTS",0%,,01/07/2017,
9502,OMITTED,0%,,01/07/2017,
95021010,"DOLLS REPRESENTING ONLY HUMAN BEINGS - DOLLS, WHETHER OR NOT DRESSED: OF WOOD",0%,,01/07/2017,
95021020,"DOLLS REPRESENTING ONLY HUMAN BEINGS - DOLLS, WHETHER OR NOT DRESSED: OF METAL",0%,,01/07/2017,
95021030,"DOLLS REPRESENTING ONLY HUMAN BEINGS - DOLLS, WHETHER OR NOT DRESSED: OF PLASTICS",0%,,01/07/2017,
95021090,"DOLLS REPRESENTING ONLY HUMAN BEINGS - DOLLS, WHETHER OR NOT DRESSED: OTHER",0%,,01/07/2017,
95029100,"DOLLS REPRESENTING ONLY HUMAN BEINGS - DOLLS, WHETHER OR NOT DRESSED: - PARTS AND ACCESSORIES: GARMENTS AND ACCESSORIES THEREFOR, FOOT-WEAR AND HEADGEAR",0%,,01/07/2017,
95029900,"DOLLS REPRESENTING ONLY HUMAN BEINGS - DOLLS, WHETHER OR NOT DRESSED: - PARTS AND ACCESSORIES: OTHER",0%,,01/07/2017,
9503,Toy balloons made of natural rubber latex,5%,,15/11/2017,
9503,"TRICYCLES, SCOOTERS, PEDAL CARS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT PUZZLES OF ALLKINDS"" WHEELED TOYS; DOLLS' CARRIAGES; DOLLS; OTHER TOYS; REDUCED-SIZE (SCALE"") MODELS AND SIMILAR(other than Electronic toys)",12%,,01/07/2017,
9503,"TRICYCLES, SCOOTERS, PEDAL CARS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT PUZZLES OF ALLKINDS"" WHEELED TOYS; DOLLS' CARRIAGES; DOLLS; OTHER TOYS; REDUCED-SIZE (SCALE"") MODELS AND SIMILAR(Electronic toys)",18%,,01/07/2017,
950300,"TRICYCLES, SCOOTERS, PEDAL CARS AND SIMILAR WHEELED TOYS; DOLL'S CARRIAGES; DOLLS; OTHER TOYS; REDUCED-SIZE (SCALE) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS",18%,,01/07/2017,
95030010,"TRICYCLES, SCOOTERS, PEDAL CARS AND SIMILAR WHEELED TOYS; DOLLS CARRIAGES; DOLLS; OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - TRICYCLES, SCOOTERS, PEDAL CARS AND SIMILAR WHEELED TOYS; D",18%,,01/07/2017,
95030020,"TRICYCLES, SCOOTERS, PEDAL CARS AND SIMILAR WHEELED TOYS; DOLLS CARRIAGES; DOLLS; OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - TRICYCLES, SCOOTERS, PEDAL CARS AND SIMILAR WHEELED TOYS; D",18%,,01/07/2017,
95030030,"TRICYCLES, SCOOTERS, PEDAL CARS AND SIMILAR WHEELED TOYS; DOLLS CARRIAGES; DOLLS; OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - TRICYCLES, SCOOTERS, PEDAL CARS AND SIMILAR WHEELED TOYS; D",18%,,01/07/2017,
95030090,"TRICYCLES, SCOOTERS, PEDAL CARS AND SIMILAR WHEELED TOYS; DOLLS CARRIAGES; DOLLS; OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS -TRICYCLES, SCOOTERS, PEDAL CARS AND SIMILAR WHEELED TOYS; DO",18%,,01/07/2017,
95031000,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS ELECTRIC TRAINS, INCLUDING TRACKS, SIGNALS AND OTHER ACCESSORIES THEREFORE",18%,,01/07/2017,
95032000,"OTHER TOYS; REDUCED-SIZE (SCALE) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS REDUCED-SIZE (SCALE) MODEL ASSEMBLY KITS, WHETHER OR NOT WORKING MODELS, EXCLUDING THOSE OF SUB-HEADING 9503 10",18%,,01/07/2017,
95033000,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS OTHER CONSTRUCTION SETS AND CONSTRUCTIONAL TOYS",18%,,01/07/2017,
95034100,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - TOYS REPRESENTING ANIMALS OR NON-HUMAN CREATURES: STUFFED",18%,,01/07/2017,
95034910,"OTHER TOYS; REDUCED-SIZE (SCALE) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - TOYS REPRESENTING ANIMALS OR NON-HUMAN CREATURES: - OTHER : OF WOOD",18%,,01/07/2017,
95034920,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - TOYS REPRESENTING ANIMALS OR NON-HUMAN CREATURES: - OTHER : OF METAL",18%,,01/07/2017,
95034930,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - TOYS REPRESENTING ANIMALS OR NON-HUMAN CREATURES: - OTHER : OF PLASTICS",18%,,01/07/2017,
95034990,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - TOYS REPRESENTING ANIMALS OR NON-HUMAN CREATURES: - OTHER : OTHER",18%,,01/07/2017,
95035010,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - TOY MUSICAL INSTRUMENTS AND APPARATUS: INSTRUMENTS AND APPARATUS",18%,,01/07/2017,
95035090,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - TOY MUSICAL INSTRUMENTS AND APPARATUS: PARTS",18%,,01/07/2017,
95036010,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - PUZZLES: OF WOOD",18%,,01/07/2017,
95036090,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - PUZZLES: OTHER",18%,,01/07/2017,
95037010,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - OTHER TOYS, PUT UP IN SETS OR OUTFITS : OF PLASTICS",18%,,01/07/2017,
95037090,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - OTHER TOYS, PUT UP IN SETS OR OUTFITS : OTHER",18%,,01/07/2017,
95038010,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - OTHER TOYS AND MODELS, INCORPORATING A MOTOR: TOYS AND MODELS",18%,,01/07/2017,
95038090,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - OTHER TOYS AND MODELS, INCORPORATING A MOTOR: PARTS",18%,,01/07/2017,
95039010,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - OTHER: TOY WEAPONS",18%,,01/07/2017,
95039020,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - OTHER: OTHER TOYS",18%,,01/07/2017,
95039090,"OTHER TOYS; REDUCED-SIZE (*SCALE*) MODELS AND SIMILAR RECREATIONAL MODELS, WORKING OR NOT; PUZZLES OF ALL KINDS - OTHER: PARTS",18%,,01/07/2017,
9504,"Playing cards, chess board, carom board and other board games, like ludo, etc. [other than Video game consoles and Machines], Ganjifa card",12%,,01/07/2017,
9504,"VIDEO GAME CONSOLES AND MACHINBES, ARTICALS OF FUNFAIR, TABLE OR PARLOUR GAMES, INCLUDING PINTABLES, BILLIARDS, SPECIAL TABLES FOR CASINO GAMES AND AUTOMATIC BOWLING ALLEY EQUIPMENT",18%,,01/01/2019                1/01/2019                   1/07/2017,
95042000,"ARTICLES FOR FUNFAIR, TABLE OR PARLOUR GAMES, INCLUDING PINTABLES, BILLIARDS, SPECIAL TABLES FOR CASINO GAMES AND AUTOMATIC BOWLING ALLEY EQUIPMENT- ARTICLES AND ACCESSORIES FOR BILLIARDS OF ALL KINDS",18%,,01/01/2019                1/01/2019                   1/07/2017,
950430,"OTHER GAMES, OPERATED BY COINS, BANK NOTES, BANK CARDS, TOKENS OR BY OTHER MEANS OF PAYMENT, OTHER THAN BOWLING ALLEY EQUIPMENT",18%,,01/01/2019                1/01/2019                   1/07/2017,
95043000,"ARTICLES FOR FUNFAIR, TABLE OR PARLOUR GAMES, INCLUDING PINTABLES, BILLIARDS, SPECIAL TABLES FOR CASINO GAMES AND AUTOMATIC BOWLING ALLEY EQUIPMENT - OTHER GAMES, OPERATED BY COINS, BANK NOTES, BANK CARDS, TOKENS OR BY OTHER MEANS OF PAYMENT, OTHER THAN B",18%,,01/01/2019                1/01/2019                   1/07/2017,
95044000,"ARTICLES FOR FUNFAIR, TABLE OR PARLOUR GAMES, INCLUDING PINTABLES, BILLIARDS, SPECIAL TABLES FOR CASINO GAMES AND AUTOMATIC BOWLING ALLEY EQUIPMENT - PLAYING CARDS",18%,,01/01/2019                1/01/2019                   1/07/2017,
950450,VIDEO GAME,18%,,01/01/2019                1/01/2019                   1/07/2017,
95045000,VIDEO GAME CONSOLES AND MACHINES OTHER THAN SUB-HEADING 9504 30,18%,,01/01/2019                1/01/2019                   1/07/2017,
950490,OTHER,18%,,01/01/2019                1/01/2019                   1/07/2017,
95049010,"ARTICLES FOR FUNFAIR, TABLE OR PARLOUR GAMES, INCLUDING PINTABLES, BILLIARDS, SPECIAL TABLES FOR CASINO GAMES AND AUTOMATIC BOWLING ALLEY EQUIPMENT - OTHER : CHESS SET, ALL TYPES",18%,,01/01/2019                1/01/2019                   1/07/2017,
95049020,"CAROM BOARD, WITH OR WITHOUT COINS AND STRIKERS",12%,,01/01/2019                1/01/2019                   1/07/2017,
95049090,"ARTICLES FOR FUNFAIR, TABLE OR PARLOUR GAMES, INCLUDING PINTABLES, BILLIARDS, SPECIAL TABLES FOR CASINO GAMES AND AUTOMATIC BOWLING ALLEY EQUIPMENT - OTHER : OTHER",18%,,01/01/2019                1/01/2019                   1/07/2017,
9505,"FESTIVE, CARNIVAL OR OTHER ENTERTAINMENT ARTICLES, INCLUDING CONJURING TRICKS AND NOVELTY JOKES",18%,,15/11/2017,
95051000,"FESTIVE, CARNIVAL OR OTHER ENTERTAINMENT ARTICLES, INCLUDING CONJURING TRICKS AND NOVELTY JOKES - ARTICLES FOR CHRISTMAS FESTIVITIES",18%,,15/11/2017,
950590,OTHER,18%,,15/11/2017,
95059010,"FESTIVE, CARNIVAL OR OTHER ENTERTAINMENT ARTICLES, INCLUDING CONJURING TRICKS AND NOVELTY JOKES - OTHER : MAGICAL EQUIPMENTS",18%,,15/11/2017,
95059090,"FESTIVE, CARNIVAL OR OTHER ENTERTAINMENT ARTICLES, INCLUDING CONJURING TRICKS AND NOVELTY JOKES - OTHER : OTHER",18%,,15/11/2017,
9506,Sports goods other than articles and equipments for general physical exercise,12%,,01/07/2017,
